Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Artisans Gallery,43152,745555-1,745555-1,78.25,10,0,745555,68.25,0,,ARTISANS GALLERY 022218 745555-1 N
Artisans Gallery,43152,746312-2,746312-2,78.25,10,0,746312,68.25,0,,ARTISANS GALLERY 022218 746312-2 N
Artisans Gallery,43152,747193-1,747193-1,78.25,10,0,747193,68.25,0,,ARTISANS GALLERY 022218 747193-1 N
Artisans Gallery,43152,747768-1,747768-1,78.25,10,0,747768,68.25,0,,ARTISANS GALLERY 022218 747768-1 N
Artisans Gallery,43152,748769-2,748769-2,78.25,10,0,748769,68.25,0,,ARTISANS GALLERY 022218 748769-2 N
Artisans Gallery,43151,748981-1,748981-1,172,0,0,748981,172,0,,ARTISANS GALLERY 022118 748981-1 N
Artisans Gallery,43151,750495-1,750495-1,172,0,0,750495,172,0,,ARTISANS GALLERY 022118 750495-1 N
Artisans Gallery,43152,750943-1,750943-1,78.25,10,0,750943,68.25,0,,ARTISANS GALLERY 022218 750943-1 N
Artisans Gallery,43153,751234-5,751234-5,94.8,15.8,0,751234,79,0,,ARTISANS GALLERY 022318 751234-5 N
Artisans Gallery,43152,752300-2,752300-2,161.05,23.8,0,752300,137.25,0,,ARTISANS GALLERY 022218 752300-2 N
Artisans Gallery,43152,752646-2,752646-2,78.25,10,0,752646,68.25,0,,ARTISANS GALLERY 022218 752646-2 N
Artisans Gallery,43153,753518-1,753518-1,161.25,22,0,753518,139.25,0,,ARTISANS GALLERY 022318 753518-1 N
Artisans Gallery,43152,753522-2,753522-2,156.5,20,0,753522,136.5,0,,ARTISANS GALLERY 022218 753522-2 N
Artisans Gallery,43150,754185-2,754185-2,32.78,4.28,0,754185,28.5,0,,ARTISANS GALLERY 022118 754185-2 N
Artisans Gallery,43150,754252-1,754252-1,63,6,0,754252,57,0,,ARTISANS GALLERY 022118 754252-1 N
Artisans Gallery,43151,754356-5,754356-5,342,24,0,754356,318,0,,ARTISANS GALLERY 022118 754356-5 N
Artisans Gallery,43152,754667-1,754667-1,78.25,10,0,754667,68.25,0,,ARTISANS GALLERY 022218 754667-1 N
Artisans Gallery,43153,755038-2,755038-2,83,12,0,755038,71,0,,ARTISANS GALLERY 022318 755038-2 N
Artisans Gallery,43153,755092-1,755092-1,156.5,20,0,755092,136.5,0,,ARTISANS GALLERY 022318 755092-1 N
Artisans Gallery,43152,755732-1,755732-1,39.68,5.18,0,755732,34.5,0,,ARTISANS GALLERY 022218 755732-1 N
Artisans Gallery,43153,756125-1,756125-1,60.6,6,0,756125,54.6,0,,ARTISANS GALLERY 022318 756125-1 N
Artisans Gallery,43153,756254-1,756254-1,73.6,9.6,0,756254,64,0,,ARTISANS GALLERY 022318 756254-1 N
Artisans Gallery,43153,756467-1,756467-1,81.9,13.65,0,756467,68.25,0,,ARTISANS GALLERY 022218 756467-1 N
Artisans Gallery,43153,756584-1,756584-1,60.6,6,0,756584,54.6,0,,ARTISANS GALLERY 022318 756584-1 N
"Artistic & Custom Woodturning, Inc.",43146,746258-1,5310,206,10,0,746258,196,0,,ARTISTIC CUSTOM WOOD 022118 5310 N
Authentic Models,43150,754765-1,1801510,30,10,0,754765,20,0,,AUTHENTIC MODELS 022018 1801510 N
Certified International Corporation,220,755887-1,755887-1,18.75,0,0,755887,18.75,0,,CERTIFIED INTL 022118 755887-1
Colorado Carpets,43148,743613-1,1802-3,107,0,0,743613,107,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,748408-2,1802-3,75.5,0,0,748408,75.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,748551-2,1802-3,75.5,0,0,748551,75.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,748973-2,1802-3,53.5,0,0,748973,53.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,749148-2,1802-3,298,0,0,749148,298,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,749288-1,1802-3,149,0,0,749288,149,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,749716-1,1802-3,151,0,0,749716,151,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,749735-1,1802-3,53.5,0,0,749735,53.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,749817-2,1802-3,75.5,0,0,749817,75.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,749936-2,1802-3,75.5,0,0,749936,75.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,749958-2,1802-3,149,0,0,749958,149,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750207-1,1802-3,593,0,0,750207,593,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750338-1,1802-3,75.5,0,0,750338,75.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750361-1,1802-3,75.5,0,0,750361,75.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750532-2,1802-3,48.5,0,0,750532,48.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750564-2,1802-3,53.5,0,0,750564,53.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750647-1,1802-3,75.5,0,0,750647,75.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750669-1,1802-3,48.5,0,0,750669,48.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750716-1,1802-3,53.5,0,0,750716,53.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,750866-1,1802-3,289,0,0,750866,289,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,751087-2,1802-3,149,0,0,751087,149,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,751089-1,1802-3,79.5,0,0,751089,79.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,751183-1,1802-3,289,0,0,751183,289,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,751254-1,1802-3,53.5,0,0,751254,53.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,751534-2,1802-3,75.5,0,0,751534,75.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,751585-1,1802-3,656.5,0,0,751585,656.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,751752-1,1802-3,79.5,0,0,751752,79.5,0,,COLORADO CARPET 021918 BFD1802-3 N
Colorado Carpets,43148,751969-1,1802-3,289,0,0,751969,289,0,,COLORADO CARPET 021918 BFD1802-3 N
Crestview Collection,43152,735882-3,294441,54.95,0,0,735882,54.95,0,,CRESTVIEW 022118 294440 N
Crestview Collection,43152,738638-2,294442,54.95,0,0,738638,54.95,0,,CRESTVIEW 022118 294442 N
Crestview Collection,43152,748304-6,294440,59.95,0,0,748304,119.9,0,,CRESTVIEW 022118 294440 N
Crestview Collection,43152,753105-1,294443,64.95,0,0,753105,64.95,0,,CRESTVIEW 022118 294442 N
Crestview Collection,43150,753638-5,293571,94.95,0,0,753638,94.95,0,,CRESTVIEW 021918 293571 N
Crestview Collection,43147,753666-1,293245,124.95,0,0,753666,124.95,0,,CRESTVIEW 021618 293245 N
Crestview Collection,43150,753694-2,293568,124.95,0,0,753694,124.95,0,,CRESTVIEW 021918 293568-69 N
Crestview Collection,43150,753890-2,293569,129.9,0,0,753890,129.9,0,,CRESTVIEW 021918 293568-69 N
Crestview Collection,43152,754001-1,294439,69.95,0,0,754001,69.95,0,,CRESTVIEW 022118 294438-39 N
Crestview Collection,43152,754366-1,294438,109.9,0,0,754366,109.9,0,,CRESTVIEW 022118 294438-39 N
"Crosses of Comfort, LLC",43138,750917-4,2499,175.5,0,0,750917,175.5,0,,CROSSES OF COMFORT 022018 2499 N
"Crosses of Comfort, LLC",43138,751659-1,2500,175.5,0,0,751659,175.5,0,,CROSSES OF COMFORT 022018 2500 N
Designers Fountain,43146,749070-2,92925351,68.75,5,0,749070,63.75,0,,DESIGNERS FTN 022218 92925351 N
Designers Fountain,43140,750482-1,92923668,229.85,5,0,750482,224.85,0,,DESIGNERS FTN 021918 (2) N
Designers Fountain,43143,751617-2,92923994,68.75,5,0,751617,63.75,0,,DESIGNERS FTN 021918 4 (N)
Designers Fountain,43143,751640-1,92923995,44.95,5,0,751640,39.95,0,,DESIGNERS FTN 021918 4 (N)
Designers Fountain,43143,751675-1,92923996,91.75,5,0,751675,86.75,0,,DESIGNERS FTN 021918 4 (N)
Designers Fountain,43143,752459-1,92923993,71.75,5,0,752459,66.75,0,,DESIGNERS FTN 021918 4 (N)
EVERGREEN ENTERPRISES,43147,750976-4,6435451,13.5,5,0,750976,8.5,0,,EVERGREEN 021918 6435451 N
EVERGREEN ENTERPRISES,43147,752562-3,6435450,70,5,0,752562,65,0,,EVERGREEN 021918 6435450 N
EVERGREEN ENTERPRISES,43147,753015-2,6435449,13.5,5,0,753015,8.5,0,,EVERGREEN 021918 6435449 N
HiEnd Accents,43147,753966-5,234675,24,5,0,753966,19,0,,HIEND 021918 (12) N
HiEnd Accents,43147,753980-1,234673,30,5,0,753980,25,0,,HIEND 021918 (12) N
HiEnd Accents,43147,753996-1,234663,185,5,0,753996,180,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754012-1,234667,160,5,0,754012,155,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754063-1,234674,30,5,0,754063,25,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754098-1,234668,115,5,0,754098,110,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754136-2,234664,50,5,0,754136,45,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754137-2,234665,137,5,0,754137,132,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754256-1,234671,125,5,0,754256,120,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754257-1,234670,125,5,0,754257,120,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754267-5,234666,200,5,0,754267,195,0,,HIEND 021918 (12) N
HiEnd Accents,43147,754313-2,234669,229,5,0,754313,224,0,,HIEND 021918 (12) N
HiEnd Accents,43150,754322-1,234802,324,5,0,754322,319,0,,HIEND 022018 (27.1) N
HiEnd Accents,43150,754368-2,234921,30,5,0,754368,25,0,,HIEND 022018 (27.1) N
