Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
C AND F ENTERPRISES,43473,895070-1,686559/,89.85,3,0,895070,82.81,-4.04,PO MISMATCH,7795577-20190111180006
CAPITOL IMPORTING,43474,892019-1,0186331-,31,3,0,892019,27.5,-0.5,PO MISMATCH,7802744-20190111180006
COAST LAMP,43364,835076-1,56235,163,5,0,835076,148,-10,PO MISMATCH,7546030-20190108180005
COAST LAMP,43378,841893-1,56563,99,5,0,841893,89.3,-4.7,PO MISMATCH,7665369-20190108180005
COAST LAMP,43385,842984-1,56630,193,5,0,842984,178.6,-9.4,PO MISMATCH,7671626-20190108180005
COAST LAMP,43413,854493-2,57054,96.5,2.5,0,854493,89.3,-4.7,PO MISMATCH,7724880-20190108180005
COAST LAMP,43440,870848-2,57638,112.1,0,0,870848,108,-4.1,PO MISMATCH,7726887-20190108180005
COAST LAMP,43440,871585-1,57635,79,0,0,871585,74,-5,PO MISMATCH,7726892-20190108180005
COAST LAMP,43440,871645-1,57634,79.8,0,0,871645,74,-5.8,PO MISMATCH,7726889-20190108180005
COAST LAMP,43469,885328-2,57955,79,0,0,885328,74,-5,PO MISMATCH,7785329-20190108180005
DONNA SHARP,43472,893895-2,-451221,44,0,0,893895,43.2,-0.8,PO MISMATCH,7792034-20190108180005
DONNA SHARP,43474,896024-1,-451433,83.8,0,0,896024,82.8,-1,PO MISMATCH,7796244-20190111180006
HERITAGE LACE,43469,891335-2,1295890,18,0,0,891335,13.5,-4.5,PO MISMATCH,7788734-20190108180005
HERITAGE LACE,43474,894147-1,1296486,18.5,0,0,894147,16.65,-1.85,PO MISMATCH,7796094-20190111180006
HERITAGE LACE,43474,895141-2,1296505,22.2,0,0,895141,20.2,-2,PO MISMATCH,7796096-20190111180006
Mayberry Rugs,43468,890918-1,122476,46,8,0,890918,36,-2,PO MISMATCH,7788768-20190108180005
Mayberry Rugs,43473,893952-3,122689,23,4,0,893952,18,-1,PO MISMATCH,7795506-20190111180006
Mayberry Rugs,43473,894084-2,122680,46,8,0,894084,36,-2,PO MISMATCH,7795496-20190111180006
OLLIIX,43472,892481-3,48475601-1,43.55,3.23,0,892481,35.18,-5.14,PO MISMATCH,7792063-20190108180005
P GRAHAM DUNN,43469,890095-2,2028947,22.4,8,0,890095,13.5,-0.9,PO MISMATCH,7785392-20190108180005
P GRAHAM DUNN,43469,890271-2,2028946,22.4,8,0,890271,13.5,-0.9,PO MISMATCH,7785391-20190108180005
P GRAHAM DUNN,43474,893412-1,2029437,22.4,8,0,893412,13.5,-0.9,PO MISMATCH,7799384-20190111180006
P GRAHAM DUNN,43474,894277-2,2029435,23.3,8,0,894277,14.4,-0.9,PO MISMATCH,7799383-20190111180006
P GRAHAM DUNN,43474,895187-2,2029465,23.3,8,0,895187,14.4,-0.9,PO MISMATCH,7799685-20190111180006
P GRAHAM DUNN,43474,895661-1,2029466,23.3,8,0,895661,14.4,-0.9,PO MISMATCH,7799385-20190111180006
S.P.I.,43473,895935-1,0639264-,165,0,0,895935,155,-10,PO MISMATCH,7795589-20190111180006
S.P.I.,43475,896646-2,0639333-,36,0,0,896646,34,-2,PO MISMATCH,7802841-20190111180006
Sierra Lifestyles,43472,895331-2,35920,234,0,0,895331,177.4,-56.6,PO MISMATCH,7802859-20190111180006
Sierra Lifestyles,43473,895449-1,35927,13,0,0,895449,12.8,-0.2,PO MISMATCH,7802865-20190111180006
Tayse International,43467,890739-2,502544,187.2,0,0,890739,187.2,-187.2,PO MISMATCH,7782130-20190108180005
Tayse International,43468,890739-2,503194,187.2,0,0,890739,187.2,-187.2,PO MISMATCH,7785394-20190108180005
VAXCEL,43468,890158-1,888830,160,0,0,890158,152,-8,PO MISMATCH,7792497-20190111180006
VAXCEL,43468,890473-1,888999,129,0,0,890473,122.55,-6.45,PO MISMATCH,7792496-20190111180006
VAXCEL,43469,890573-1,889277,206.1,0,0,890573,203.3,-2.8,PO MISMATCH,7792473-20190111180006
VAXCEL,43468,891459-1,889049,244,0,0,891459,231.8,-12.2,PO MISMATCH,7792480-20190111180006
VAXCEL,43469,892539-2,889271,406.5,0,0,892539,397.1,-9.4,PO MISMATCH,7792475-20190111180006
VAXCEL,43468,892650-1,889053,86,0,0,892650,81.7,-4.3,PO MISMATCH,7792477-20190111180006
VAXCEL,43472,893689-1,889758,45.6,0,0,893689,42.75,-2.85,PO MISMATCH,7795380-20190111180006
West Creation,43388,839999-1,20621,16.95,3,0,839999,13.05,-0.9,PO MISMATCH,7606979-20190108180005
West Creation,43388,840461-1,20622,26,3,0,840461,22.5,-0.5,PO MISMATCH,7606983-20190108180005
West Creation,43388,840481-3,20630,26,3,0,840481,22.5,-0.5,PO MISMATCH,7606984-20190108180005
West Creation,43388,842038-2,20634,90.5,0,0,842038,90,-0.5,PO MISMATCH,7606992-20190108180005
