Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
EVERGREEN ENTERPRISES,43444,872490-2,6714425,175,5,0,872490,153,-17,PO MISMATCH,7766640-20181225180010
EVERGREEN ENTERPRISES,43441,874858-2,6714428,197.5,5,0,874858,175,-17.5,PO MISMATCH,7766621-20181225180010
EVERGREEN ENTERPRISES,43449,882984-1,6719443,25,5,0,882984,17.5,-2.5,PO MISMATCH,7766683-20181225180010
EVERGREEN ENTERPRISES,43453,883410-1,6722516,135,5,0,883410,128,-2,PO MISMATCH,7766686-20181225180010
EVERGREEN ENTERPRISES,43453,883875-1,6722522,250,5,0,883875,225,-20,PO MISMATCH,7766688-20181225180010
Kimlor,43454,887603-1,879358,117.25,3,0,887603,89.5,-24.75,PO MISMATCH,7766552-20181225180010
HOMEFIRES,43460,888989-1,049124/,48,0,0,888989,45,-3,PO MISMATCH,7767610-20181228180018
"KAS Oriental Rugs, Inc.",43460,886433-1,744420,380.12,0,0,886433,237.5,-142.62,PO MISMATCH,7767621-20181228180018
Laural Home,43450,879377-4,30071,45,0,0,879377,45,-201.5,PO MISMATCH,7767567-20181228180018
Laural Home,43452,879377-4,30094,49,0,0,879377,45,-201.5,PO MISMATCH,7767571-20181228180018
Laural Home,43451,879377-4,30095,22.5,0,0,879377,45,-201.5,PO MISMATCH,7767572-20181228180018
Laural Home,43451,879377-4,30096,22.5,0,0,879377,45,-201.5,PO MISMATCH,7767573-20181228180018
Laural Home,43451,879377-4,30097,22.5,0,0,879377,45,-201.5,PO MISMATCH,7767574-20181228180018
Laural Home,43451,879377-4,30098,36,0,0,879377,45,-201.5,PO MISMATCH,7767575-20181228180018
Laural Home,43451,879377-4,30099,49,0,0,879377,45,-201.5,PO MISMATCH,7767576-20181228180018
Laural Home,43445,882004-1,29102,49,0,0,882004,49,-337.5,PO MISMATCH,7767557-20181228180018
Laural Home,43447,882004-1,29151,37,0,0,882004,49,-337.5,PO MISMATCH,7767558-20181228180018
Laural Home,43447,882004-1,29152,56.5,0,0,882004,49,-337.5,PO MISMATCH,7767559-20181228180018
Laural Home,43447,882004-1,29153,95,0,0,882004,49,-337.5,PO MISMATCH,7767560-20181228180018
Laural Home,43447,882004-1,29154,115,0,0,882004,49,-337.5,PO MISMATCH,7767561-20181228180018
Laural Home,43445,882004-1,29155,34,0,0,882004,49,-337.5,PO MISMATCH,7767562-20181228180018
Mohawk Factoring LLC,43452,865435-1,9523074,322.15,0,0,865435,295.8,-26.35,PO MISMATCH,7770104-20181228180018
Mohawk Factoring LLC,43452,884136-1,9523076,74.8,0,0,884136,73.95,-0.85,PO MISMATCH,7770106-20181228180018
