Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
BUCK SNORT,43258,795872-1,38987,35.6,3,7.25,795872,23.55,-1.8,PO MISMATCH,BUCK SNORT 060718 PMT RECPT 319.15C
CARSTENS INC,43255,791589-1,227814,39,3,0,791589,30,-6,PO MISMATCH,CARSTENS 060518 PMT RECPT 1093.00C
DONNA SHARP,6/10/1900,794700-1,425645,162.8,0,0,794700,162,-0.8,PO MISMATCH,DONNA SHARP 060418 425645C
DONNA SHARP,43255,794853-1,425769,145.7,0,0,794853,144.9,-0.8,PO MISMATCH,DONNA SHARP 060418 4257 425769C
DONNA SHARP,43256,796247-1,425863,44,0,0,796247,43.2,-0.8,PO MISMATCH,DONNA SHARP 060518 425863C
DONNA SHARP,43257,796950-1,425913,72.9,0,0,796950,51.3,-21.6,PO MISMATCH,DONNA SHARP 060618 425913C
DONNA SHARP,43258,797309-3,426000,299.7,0,0,797309,228.6,-71.1,PO MISMATCH,DONNA SHARP 060718 426000C
HERITAGE LACE,43252,794130-2,1269687,32.4,0,0,794130,22.2,-10.2,PO MISMATCH,HERITAGE LACE 060518 (3) C
IRONWOOD INDUSTRIES,43256,772182-2,27944,34,0,0,772182,30,-4,PO MISMATCH,IRONWOOD 060618 PMT RECPT 884.00 27944C
IRONWOOD INDUSTRIES,43256,782750-3,27955,180,0,0,782750,175,-5,PO MISMATCH,IRONWOOD 060618 PMT RECPT 884.00 27955C
IRONWOOD INDUSTRIES,43256,783240-1,27948,121,0,0,783240,119,-2,PO MISMATCH,IRONWOOD 060618 PMT RECPT 884.00 27948C
IRONWOOD INDUSTRIES,43256,783279-2,27939,151,0,0,783279,149,-2,PO MISMATCH,IRONWOOD 060618 PMT RECPT 884.00 27939C
IRONWOOD INDUSTRIES,43256,783354-1,27947,48,0,0,783354,47,-1,PO MISMATCH,IRONWOOD 060618 PMT RECPT 884.00 27947C
IRONWOOD INDUSTRIES,43256,783867-1,27943,34,0,0,783867,30,-4,PO MISMATCH,IRONWOOD 060618 PMT RECPT 884.00 27943C
MEXPORTS,43278,794310-3,7720,478,0,0,794310,298,-180,PO MISMATCH,MEXPORTS 060718 7720C
NEW WORLD TRADING,43255,764275-3,25499,350,0,0,764275,319.5,-30.5,PO MISMATCH,NEW WORLD TRADING 060518 (4) C
PARK DESIGN,43236,789056-2,1503979,237.1,5,18.75,789056,213.35,-32.3,PO MISMATCH,PARK 051718 1503979C
PARK DESIGN,43258,789056-2,1506195,32.3,0,0,789056,213.35,-32.3,PO MISMATCH,PARK 060818 1506195C
Pure Country,43256,792591-2,898233,30.8,6,0,792591,22.5,-2.3,PO MISMATCH,PURE CO 060518 898233C
Pure Country,43255,793365-1,897859,30.8,6,0,793365,22.5,-2.3,PO MISMATCH,PURE CO 060518 897859C
Pure Country,43256,793814-1,898246,19.1,6,0,793814,12.6,-0.5,PO MISMATCH,PURE CO 060518 898246C
Pure Country,43252,794384-1,897527,30.8,6,0,794384,22.5,-2.3,PO MISMATCH,PURE CO 060418 897527C
Pure Country,43255,796036-1,897898,30.8,6,0,796036,22.5,-2.3,PO MISMATCH,PURE CO 060518 897898C
Pure Country,43257,796041-2,899070,106.4,6,0,796041,90,-10.4,PO MISMATCH,PURE CO 060718 899070C
Pure Country,43255,796138-2,897915,30.8,6,0,796138,22.5,-2.3,PO MISMATCH,PURE CO 060518 897915C
S.P.I.,43251,776260-1,629356,75,0,0,776260,72,-3,PO MISMATCH,SPI 060418 629356C
Sierra Lifestyles,43252,776023-4,33687,36,0,0,776023,35.48,-0.52,PO MISMATCH,SIERRA 060518 PMT RECPT 115.25 33687C
Sierra Lifestyles,43251,793244-3,33682,29,0,0,793244,28.56,-0.44,PO MISMATCH,SIERRA 060518 PMT RECPT 115.25 33682C
Sierra Lifestyles,43251,794499-2,33683,19.5,0,0,794499,19.2,-0.3,PO MISMATCH,SIERRA 060518 PMT RECPT 115.25 33683C
STEEL PARTNERS,43185,766647-1,15041,213.32,5,0,766647,140,-68.32,PO MISMATCH,STEEL PARTNERS 060818 15041C
STEEL PARTNERS,43252,789419-3,15130,192.28,10,0,789419,105,-77.28,PO MISMATCH,STEEL PARTNERS 060418 15130C
VILLAGE WROUGHT IRON,43258,788501-1,189070,46.95,5,0,788501,39.95,-2,PO MISMATCH,VWI 060718 189070C
VILLAGE WROUGHT IRON,43258,789831-1,189163,46.95,5,0,789831,39.95,-2,PO MISMATCH,VWI 060718 189163C
VILLAGE WROUGHT IRON,43256,796081-2,189593,40.65,5,0,796081,33.95,-1.7,PO MISMATCH,VWI 060518 189593C
VILLAGE WROUGHT IRON,43256,796713-2,189594,63.7,5,0,796713,55.9,-2.8,PO MISMATCH,VWI 060518 189594C
VILLAGE WROUGHT IRON,43257,796890-1,189633,141.3,5,0,796890,129.8,-6.5,PO MISMATCH,VWI 060618 189633C
