Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
AMERICAN DAKOTA,43206,764902-1,29072,51.16,0,0,764902,49,-2.16,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82 (18) C
AMERICAN DAKOTA,43206,765455-2,29082,51.57,0,0,765455,49,-2.57,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82C
AMERICAN DAKOTA,43206,765711-1,29089,309.31,0,0,765711,294,-15.31,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82C
AMERICAN DAKOTA,43206,765940-2,29103,79.02,0,0,765940,76,-3.02,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82C
AMERICAN DAKOTA,43206,766852-1,29138,50.96,0,0,766852,49,-1.96,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82C
AMERICAN DAKOTA,43206,767458-1,29149,303.23,0,0,767458,294,-9.23,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82C
AMERICAN DAKOTA,43206,767948-4,29168,154.93,0,0,767948,150,-4.93,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82C
AMERICAN DAKOTA,43206,768257-1,29172,50.69,0,0,768257,49,-1.69,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82C
AMERICAN DAKOTA,43206,768412-1,29180,79.95,0,0,768412,76,-3.95,PO MISMATCH,AMERICAN DAKOTA 041618 PMT RECPT 9680.82C
BUCK SNORT,43208,777209-3,38751,17.95,3,6.95,777209,7.6,-0.4,PO MISMATCH,BUCK SNORT 041818 PMT RECPT 215.45C
CAPITOL IMPORTING,43201,774932-1,170087,53,3,0,774932,49.5,-0.5,PO MISMATCH,CAPITOL 041218 170087C
CAPITOL IMPORTING,43206,777481-1,170333,85,3,0,777481,76,-6,PO MISMATCH,CAPITOL 041918 170333C
CARSTENS INC,43201,774502-4,225581,39,3,0,774502,32,-4,PO MISMATCH,CARSTENS 041218 PMT RECPT 1373.40C (16)
Celebration Tablecloths,43202,776346-2,1181,38.99,0,0,776346,35.99,-3,PO MISMATCH,CELEBRATION TABLESCLOTHS 041218 1181C
IMAX CORPORATION,43208,778769-4,1537425,20.39,0,0,778769,19.44,-0.95,PO MISMATCH,IMAX 041818 1537425C
IRONWOOD INDUSTRIES,43206,766059-1,27760,22,0,0,766059,21,-1,PO MISMATCH,IRONWOOD 041718 PMT RECPT 2402.00 27760C
IRONWOOD INDUSTRIES,43206,766106-1,27756,71,0,0,766106,69,-2,PO MISMATCH,IRONWOOD 041718 PMT RECPT 2402.00 27756C
IRONWOOD INDUSTRIES,43206,766173-1,27751,32,0,0,766173,31,-1,PO MISMATCH,IRONWOOD 041718 PMT RECPT 2402.00 27751C
IRONWOOD INDUSTRIES,43207,766277-3,27768,151,0,0,766277,149,-2,PO MISMATCH,IRONWOOD 041818 PMT RECPT 568.00 27768C
IRONWOOD INDUSTRIES,43206,766727-1,27749,105,0,0,766727,103,-2,PO MISMATCH,IRONWOOD 041718 PMT RECPT 2402.00 27749C
IRONWOOD INDUSTRIES,43206,767607-2,27734,32,0,0,767607,29,-3,PO MISMATCH,IRONWOOD 041718 PMT RECPT 2402.00 27734C
IRONWOOD INDUSTRIES,43206,768300-2,27754,106,0,0,768300,99,-7,PO MISMATCH,IRONWOOD 041718 PMT RECPT 2402.00 27754C
"Kalalou, Inc.",43202,776017-1,658725,101.1,6,0,776017,85.5,-9.6,PO MISMATCH,KALALOU 041318 658725C
"Kalalou, Inc.",43202,776060-1,658762,38.1,6,0,776060,26.1,-6,PO MISMATCH,KALALOU 041318 658762C
"Kalalou, Inc.",43205,776579-1,658898,43.5,6,0,776579,28.8,-8.7,PO MISMATCH,KALALOU 041618 658898C
Montana Woodworks,43206,777523-1,35955,94,0,0,777523,90,-4,PO MISMATCH,MONTANA WOODWORKS 041618 35955C
PARK DESIGN,43209,778403-2,1501553,215.91,28.16,0,778403,182.75,-5,PO MISMATCH,PARK 042018 1501553C
Pure Country,43187,768395-1,878540,175.69,2,0,768395,173.69,-28,PO MISMATCH,PURE CO 032918 878540C
Pure Country,43203,768395-1,883403,28,0,0,768395,173.69,-28,PO MISMATCH,PURE CO 041618 883403C
S.P.I.,43202,776169-2,627204,42.5,0,0,776169,30.6,-11.9,PO MISMATCH,SPI 041318 627204C
S.P.I.,43202,776337-1,627223,198,0,0,776337,195,-3,PO MISMATCH,SPI 041318 627223C
S.P.I.,43206,777165-1,627346,285,0,0,777165,281.2,-3.8,PO MISMATCH,SPI 041718 627346C
Sierra Lifestyles,43201,772914-2,33190,23.5,0,0,772914,23.14,-0.36,PO MISMATCH,SIERRA 041218 PMT RECPT 195.03 33190C
Sierra Lifestyles,43201,773875-1,33186,80,0,0,773875,78.77,-1.23,PO MISMATCH,SIERRA 041218 PMT RECPT 195.03 33186C
Sierra Lifestyles,43201,774792-2,33185,17,0,0,774792,16.74,-0.26,PO MISMATCH,SIERRA 041218 PMT RECPT 195.03 33185C
Sierra Lifestyles,43201,775077-1,33187,47.5,0,0,775077,46.77,-0.73,PO MISMATCH,SIERRA 041218 PMT RECPT 195.03 33187C
Sierra Lifestyles,43201,775326-2,33189,10.5,0,0,775326,10.34,-0.16,,SIERRA 041218 PMT RECPT 195.03 33189C
Sierra Lifestyles,43201,775482-3,33188,6.5,0,0,775482,6.4,-0.1,,SIERRA 041218 PMT RECPT 195.03 33188C
VAXCEL,43202,772963-1,813687,357.8,2.5,0,772963,351.5,-3.8,PO MISMATCH,VAXCEL 041218 PMT RECPT 2659.24C
VAXCEL,43202,775863-1,813680,100.5,2.5,0,775863,91.2,-6.8,PO MISMATCH,VAXCEL 041218 PMT RECPT 2659.24C
VAXCEL,43206,776168-2,814285,84.2,2.5,0,776168,79.32,-2.38,PO MISMATCH,VAXCEL 041618 PMT RECPT 2072.05C
VAXCEL,43206,776715-1,814460,28.5,2.5,0,776715,24.7,-1.3,PO MISMATCH,VAXCEL 041618 PMT RECPT 2072.05C
VAXCEL,43206,776766-2,814442,122.2,2.5,0,776766,116.85,-2.85,PO MISMATCH,VAXCEL 041618 PMT RECPT 2072.05C
VAXCEL,43206,776965-1,814506,28.5,2.5,0,776965,24.7,-1.3,PO MISMATCH,VAXCEL 041618 PMT RECPT 2072.05C
VAXCEL,43209,777997-2,815635,412.9,2.5,0,777997,401.85,-8.55,PO MISMATCH,VAXCEL 041918 PMT RECPT 2019.64C
VAXCEL,43208,778162-1,815267,151.5,2.5,0,778162,141.55,-7.45,PO MISMATCH,VAXCEL 041818 PMT RECPT 2272.38C
VAXCEL,43209,778318-1,815576,112.7,2.5,0,778318,107.36,-2.84,PO MISMATCH,VAXCEL 041918 PMT RECPT 2019.64C
VAXCEL,43209,778364-1,815594,113.63,2.5,0,778364,108.31,-2.82,PO MISMATCH,VAXCEL 041918 PMT RECPT 2019.64C
