Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
"American Cover Design 26, Inc.",43151,755335-1,111952,12.5,5,0,755335,83,75.5,,AMERICAN OVER 030818 (4) N
Artisans Gallery,43168,744109-1,744109-1,517.95,36,0,744109,486,-481.95,PO MISMATCH,ARTISANS GALLERY 030918 744109-1N
Artisans Gallery,43168,744109-1,744109-1,540,54,0,744109,486,-481.95,PO MISMATCH,ARTISANS GALLERY 031217 744109-1N
Artisans Gallery,43161,759508-1,759508-1,102,14,0,759508,86,-2,PO MISMATCH,ARTISANS GALLERY 030218 759508-1N
Artisans Gallery,43168,762534-2,762534-2,102,14,0,762534,86,-2,PO MISMATCH,ARTISANS GALLERY 031218 762534-2N
Artisans Gallery,43173,764567-3,764567-3,66.5,2,0,764567,63,-1.5,PO MISMATCH,ARTISANS GALLERY 031418 764567-3N
Artisans Gallery,43096,733005-5,733005-5,47,6.05,0,733005,40,-0.95,PO MISMATCH,ARTISANS GALLERY 030818 733005-5N
Artisans Gallery,43165,760958-1,760958-1,49.38,6.38,0,760958,42.5,-0.5,PO MISMATCH,ARTISANS GALLERY 030818 760958-1N
Artisans Gallery,43168,754937-2,754937-2,36.5,2,0,754937,34.6,0.1,,ARTISANS GALLERY 031217 754937-2N
Artisans Gallery,43166,742964-4,742964-4,172,0,0,742964,344,172,,ARTISANS GALLERY 030818 742964-4N
Artisans Gallery,43168,755026-1,755026-1,36.5,2,0,755026,34.6,0.1,,ARTISANS GALLERY 030918 755026-1N
Artisans Gallery,43168,755118-1,755118-1,36.5,2,0,755118,34.6,0.1,,ARTISANS GALLERY 030918 755118-1N
Artisans Gallery,43168,755526-1,755526-1,36.5,2,0,755526,34.6,0.1,,ARTISANS GALLERY 030918 755526-1N
Artisans Gallery,43168,755879-2,755879-2,68.5,4,0,755879,64.6,0.1,,ARTISANS GALLERY 030918 755879-2N
Artisans Gallery,43172,748701-4,748701-4,175,24,0,748701,906,755,,ARTISANS GALLERY 031418 748701-4N
Bacova Guild,43167,759048-2,4617033,8,0,0,759048,7.04,-6.81,PO MISMATCH,BACOVA 030918 (10) N
Bacova Guild,43167,759048-2,4617041,5.85,0,0,759048,7.04,-6.81,PO MISMATCH,BACOVA 030918 (10) N
Certified International Corporation,43166,761670-2,761670-2,43,0,0,761670,75,32,,CERTIFIED INTL 030818 761670-2N
Colorado Carpets,43163,754660-1,1803-1,149,0,0,754660,634,485,,COLORADO CARPETS 030518 BFD1803-1N
Colorado Carpets,43170,757001-2,1803-2,149,0,0,757001,298,149,,COLORADO DALLAS 031218 BFD1803-2N
Colorado Carpets,43170,758567-2,1803-2,25,0,0,758567,149,124,,COLORADO DALLAS 031218 BFD1803-2N
Colorado Carpets,43170,759379-1,1803-2,593,0,0,759379,882,289,,COLORADO DALLAS 031218 BFD1803-2N
Crestview Collection,43160,756933-5,297300,94.95,0,0,756933,99.95,5,,CRESTVIEW 030218 297300.302 (2) N
Crestview Collection,43160,739517-3,297302,94.95,0,0,739517,99.95,5,,CRESTVIEW 030218 297300.302 (2) N
Crestview Collection,43160,739402-2,297303,94.95,0,0,739402,99.95,5,,CRESTVIEW 030218 297303.304 (2) N
Crestview Collection,43160,750693-2,297304,94.95,0,0,750693,99.95,5,,CRESTVIEW 030218 297303.304 (2) N
Crestview Collection,43160,754064-1,297305,94.95,0,0,754064,99.95,5,,CRESTVIEW 030218 297305.306 (2) N
Crestview Collection,43160,755084-3,297306,94.95,0,0,755084,99.95,5,,CRESTVIEW 030218 297305.306 (2) N
Crestview Collection,43160,756826-1,297307,94.95,0,0,756826,99.95,5,,CRESTVIEW 030218 297307.309 (2) N
