Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
ASHTON ART,43451,882506-2,21334,86,0,0,882506,76,-10,PO MISMATCH,7754256-20181221180007
ASHTON ART,43453,884914-1,21377,86,0,0,884914,76,-10,PO MISMATCH,7760288-20181221180007
ASHTON ART,43453,885642-2,21378,70,0,0,885642,64.8,-5.2,PO MISMATCH,7760289-20181221180007
CARSTENS INC,43446,845391-6,239231,68,0,0,845391,52,-16,PO MISMATCH,7749976-20181218180005
CARSTENS INC,43446,867765-6,239226,34,0,0,867765,7.5,-34,PO MISMATCH,7749996-20181218180005
CARSTENS INC,43446,867765-2,239285,10.5,3,0,867765,7.5,-34,PO MISMATCH,7750028-20181218180005
CARSTENS INC,43441,874512-4,238837,48,3,0,874512,45,-34,PO MISMATCH,7735314-20181211180006
CARSTENS INC,43446,874512-6,239225,34,0,0,874512,45,-34,PO MISMATCH,7749995-20181218180005
CARSTENS INC,43446,875291-1,239583,78,3,0,875291,61,-14,PO MISMATCH,7750066-20181218180005
CARSTENS INC,43446,879386-4,239222,34,0,0,879386,7.5,-26.5,PO MISMATCH,7749993-20181218180005
COAST LAMP,43434,862074-1,57400,79.8,0,0,862074,75,-4.8,PO MISMATCH,7712037-20181221180007
COAST LAMP,43448,873357-1,57672,159.6,0,0,873357,158,-1.6,PO MISMATCH,7749674-20181221180007
COLORADO DALLAS LLC,43447,863291-2,20083,59.52,0,0,863291,58.9,-0.62,PO MISMATCH,7742902-20181218180005
COLORADO DALLAS LLC,43448,863477-2,20086,374.4,0,0,863477,370.5,-3.9,PO MISMATCH,7746314-20181218180005
COLORADO DALLAS LLC,43453,865985-2,20105,319.68,0,0,865985,316.35,-3.33,PO MISMATCH,7759708-20181221180007
COLORADO DALLAS LLC,43454,867490-1,20116,103.68,0,0,867490,102.6,-1.08,PO MISMATCH,7760296-20181221180007
COLORADO DALLAS LLC,43454,873644-3,20117,133.44,0,0,873644,132.05,-1.39,PO MISMATCH,7760298-20181221180007
COLORADO DALLAS LLC,43451,873801-1,20092,52.8,0,0,873801,52.25,-0.55,PO MISMATCH,7750674-20181218180005
COLORADO DALLAS LLC,43451,874063-2,20095,105.6,0,0,874063,105.05,-0.55,PO MISMATCH,7750678-20181218180005
COLORADO DALLAS LLC,43447,874452-1,20082,133.44,0,0,874452,132.05,-1.39,PO MISMATCH,7742901-20181218180005
COLORADO DALLAS LLC,43453,881041-1,20110,28.8,0,0,881041,28.5,-0.3,PO MISMATCH,7759717-20181221180007
COLORADO DALLAS LLC,43451,882301-1,20094,105.6,0,0,882301,104.5,-1.1,PO MISMATCH,7750675-20181218180005
COLORADO DALLAS LLC,43454,883197-1,20118,400.32,0,0,883197,396.15,-4.17,PO MISMATCH,7760301-20181221180007
COLORADO DALLAS LLC,43453,885355-1,20106,44.16,0,0,885355,43.7,-0.46,PO MISMATCH,7759709-20181221180007
COLORADO DALLAS LLC,43453,886282-1,20112,43.2,0,0,886282,42.75,-0.45,PO MISMATCH,7759719-20181221180007
CRIPPLE CREEK,43431,869759-3,18-9592,79,0,0,869759,70,-9,PO MISMATCH,7698789-20181221180007
MEISSENBURG DESIGNS,43447,874858-1,282335,63.25,2,0,874858,55,-6.25,PO MISMATCH,7749950-20181218180005
P GRAHAM DUNN,43451,884264-4,2027552,23.3,8,0,884264,14.4,-0.9,PO MISMATCH,7753874-20181218180005
P GRAHAM DUNN,43453,887031-1,2028024,23.3,8,0,887031,14.4,-0.9,PO MISMATCH,7759864-20181221180007
P GRAHAM DUNN,43453,887114-3,2028025,23.3,8,0,887114,14.4,-0.9,PO MISMATCH,7759865-20181221180007
STEEL PARTNERS,43437,872357-3,15426,176.12,5,0,872357,171.12,-171.12,PO MISMATCH,7717277-20181204180008
STEEL PARTNERS,43451,872357-3,15433,176.12,5,0,872357,171.12,-171.12,PO MISMATCH,7750808-20181218180005
STEEL PARTNERS,43444,878202-1,15445,110,5,0,878202,96,-9,PO MISMATCH,7760328-20181221180007
Tayse International,43447,851575-1,498114,54,0,0,851575,48.6,-5.4,PO MISMATCH,7746243-20181218180005
Tayse International,43447,859378-1,498115,54,0,0,859378,48.6,-5.4,PO MISMATCH,7746240-20181218180005
Tayse International,43447,861482-1,498031,148.5,0,0,861482,137.7,-10.8,PO MISMATCH,7746239-20181218180005
Tayse International,43446,867080-1,497983,55,0,0,867080,49.5,-5.5,PO MISMATCH,7742748-20181218180005
Tayse International,43445,870237-2,497502,22,0,0,870237,19.8,-2.2,PO MISMATCH,7742743-20181218180005
Tayse International,43447,882370-1,498118,89.1,0,0,882370,84.6,-4.5,PO MISMATCH,7746247-20181218180005
UNITED WEAVERS,43404,857415-2,-1182073,43.75,2.5,0,857415,41.75,-15.5,PO MISMATCH,7645176-20181221180007
UNITED WEAVERS,43418,862391-2,-1187777,25,2.5,0,862391,21,-1.5,PO MISMATCH,7677814-20181221180007
