Vendor Name,"Invoice 
Date",PO Num,"Invoice 
Number",Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
HiEnd Accents,43133,748482-1,233221,155,5,0,748482,150,0,,HI END 020718 132 N
HiEnd Accents,43133,748509-1,233222,170,5,0,748509,165,0,,HI END 020718 132 N
HiEnd Accents,43133,748175-1,233223,170,5,0,748175,165,0,,HI END 020718 132 N
HiEnd Accents,43133,748336-2,233224,30,5,0,748336,25,0,,HI END 020718 132 N
HiEnd Accents,43133,748238-2,233225,185,5,0,748238,180,0,,HI END 020718 132 N
HiEnd Accents,43133,748267-1,233226,130,5,0,748267,125,0,,HI END 020718 132 N
HiEnd Accents,43133,748542-1,233227,102,5,0,748542,97,0,,HI END 020718 132 N
HiEnd Accents,43133,748285-1,233228,165,5,0,748285,160,0,,HI END 020718 132 N
HiEnd Accents,43133,747938-1,233229,185,5,0,747938,180,0,,HI END 020718 132 N
HiEnd Accents,43133,748212-1,233230,260,5,0,748212,255,0,,HI END 020718 132 N
HiEnd Accents,43133,748433-1,233231,125,5,0,748433,120,0,,HI END 020718 132 N
HiEnd Accents,43133,748343-2,233232,25,5,0,748343,20,0,,HI END 020718 132 N
HiEnd Accents,43133,747943-2,233233,187.5,5,0,747943,182.5,0,,HI END 020718 132 N
HiEnd Accents,43133,748268-3,233234,26,5,0,748268,21,0,,HI END 020718 132 N
HiEnd Accents,43133,748026-1,233235,205,5,0,748026,200,0,,HI END 020718 132 N
HiEnd Accents,43133,748086-1,233236,185,5,0,748086,180,0,,HI END 020718 132 N
HiEnd Accents,43133,748054-1,233237,185,5,0,748054,180,0,,HI END 020718 132 N
HiEnd Accents,43133,748099-3,233238,265,5,0,748099,260,0,,HI END 020718 132 N
HiEnd Accents,43133,748548-2,233239,115,5,0,748548,110,0,,HI END 020718 132 N
HiEnd Accents,43133,748182-2,233240,55,5,0,748182,50,0,,HI END 020718 132 N
HiEnd Accents,43133,748034-2,233241,110,5,0,748034,105,0,,HI END 020718 132 N
HiEnd Accents,43133,748082-1,233242,94,5,0,748082,89,0,,HI END 020718 132 N
HiEnd Accents,43133,748139-2,233243,22.5,5,0,748139,17.5,0,,HI END 020718 132 N
HiEnd Accents,43133,747989-1,233244,20,5,0,747989,15,0,,HI END 020718 132 N
HiEnd Accents,43133,731254-2,233272,50,5,0,731254,45,0,,HI END 020718 132 N
HiEnd Accents,43133,734063-1,233273,135,5,0,734063,130,0,,HI END 020718 132 N
HiEnd Accents,43133,745119-3,233274,25,5,0,745119,20,0,,HI END 020718 132 N
HiEnd Accents,43133,709208-6,233275,45,5,0,709208,40,0,,HI END 020718 132 N
HiEnd Accents,43133,733323-2,233276,25,5,0,733323,20,0,,HI END 020718 132 N
HiEnd Accents,43133,741520-1,233277,205,5,0,741520,200,0,,HI END 020718 132 N
HiEnd Accents,43133,714834-3,233278,25,5,0,714834,20,0,,HI END 020718 132 N
HiEnd Accents,43133,734629-1,233279,45,5,0,734629,40,0,,HI END 020718 132 N
HiEnd Accents,43133,745461-1,233281,79,5,0,745461,74,0,,HI END 020718 132 N
HiEnd Accents,43133,719627-1,233282,79,5,0,719627,74,0,,HI END 020718 132 N
HiEnd Accents,43133,730322-1,233283,79,5,0,730322,74,0,,HI END 020718 132 N
HiEnd Accents,43133,731360-1,233284,79,5,0,731360,74,0,,HI END 020718 132 N
HiEnd Accents,43133,740689-3,233285,25,5,0,740689,20,0,,HI END 020718 132 N
HiEnd Accents,43136,721967-2,233425,153,5,0,721967,148,0,,HI END 020718 132 N
HiEnd Accents,43136,723670-2,233428,74,5,0,723670,69,0,,HI END 020718 132 N
HiEnd Accents,43136,745438-2,233430,45,5,0,745438,40,0,,HI END 020718 132 N
HiEnd Accents,43136,747314-1,233431,195,5,0,747314,190,0,,HI END 020718 132 N
HiEnd Accents,43136,749806-4,233432,55,5,0,749806,50,0,,HI END 020718 132 N
HiEnd Accents,43136,749772-1,233433,185,5,0,749772,180,0,,HI END 020718 132 N
HiEnd Accents,43136,749877-1,233434,25,5,0,749877,20,0,,HI END 020718 132 N
HiEnd Accents,43136,749802-3,233435,42.5,5,0,749802,37.5,0,,HI END 020718 132 N
HiEnd Accents,43136,745987-1,233436,123,5,0,745987,118,0,,HI END 020718 132 N
HiEnd Accents,43136,749322-1,233437,170,5,0,749322,165,0,,HI END 020718 132 N
HiEnd Accents,43136,749209-1,233438,25,5,0,749209,20,0,,HI END 020718 132 N
HiEnd Accents,43136,748872-2,233439,55,5,0,748872,50,0,,HI END 020718 132 N
HiEnd Accents,43136,749106-2,233440,40,5,0,749106,35,0,,HI END 020718 132 N
HiEnd Accents,43136,748900-2,233441,49,5,0,748900,44,0,,HI END 020718 132 N
HiEnd Accents,43136,748961-2,233442,259,5,0,748961,254,0,,HI END 020718 132 N
HiEnd Accents,43136,748697-1,233444,200,5,0,748697,195,0,,HI END 020718 132 N
HiEnd Accents,43136,748584-1,233445,200,5,0,748584,195,0,,HI END 020718 132 N
HiEnd Accents,43136,748783-1,233446,200,5,0,748783,195,0,,HI END 020718 132 N
HiEnd Accents,43136,749355-2,233447,30,5,0,749355,25,0,,HI END 020718 132 N
HiEnd Accents,43136,748867-1,233448,200,5,0,748867,195,0,,HI END 020718 132 N
HiEnd Accents,43136,749617-1,233449,285,5,0,749617,280,0,,HI END 020718 132 N
HiEnd Accents,43136,749220-2,233450,50,5,0,749220,45,0,,HI END 020718 132 N
HiEnd Accents,43136,749267-2,233451,26,5,0,749267,21,0,,HI END 020718 132 N
HiEnd Accents,43136,749359-1,233452,26,5,0,749359,21,0,,HI END 020718 132 N
HiEnd Accents,43136,749611-1,233453,50,5,0,749611,45,0,,HI END 020718 132 N
HiEnd Accents,43136,749724-1,233454,95,5,0,749724,90,0,,HI END 020718 132 N
HiEnd Accents,43137,736069-2,233622,216,5,0,736069,211,0,,HI END 020718 132 N
HiEnd Accents,43137,741963-1,233623,96,5,0,741963,91,0,,HI END 020718 132 N
HiEnd Accents,43137,749537-1,233624,55,5,0,749537,50,0,,HI END 020718 132 N
HiEnd Accents,43137,749505-1,233625,125,5,0,749505,120,0,,HI END 020718 132 N
HiEnd Accents,43137,749179-1,233631,202,5,0,749179,197,0,,HI END 020718 132 N
HiEnd Accents,43137,749463-1,233632,85,5,0,749463,80,0,,HI END 020718 132 N
HiEnd Accents,43137,749163-2,233633,22.5,5,0,749163,17.5,0,,HI END 020718 132 N
HiEnd Accents,43137,748820-1,233640,130,5,0,748820,125,0,,HI END 020718 132 N
HiEnd Accents,43137,742196-1,233643,70,5,0,742196,65,0,,HI END 020718 132 N
HiEnd Accents,43137,749341-1,233645,185,5,0,749341,180,0,,HI END 020718 132 N
HiEnd Accents,43137,749216-1,233646,95,5,0,749216,90,0,,HI END 020718 132 N
HiEnd Accents,43137,740847-2,233648,95,5,0,740847,90,0,,HI END 020718 132 N
HiEnd Accents,43137,735982-1,233651,80,5,0,735982,75,0,,HI END 020718 132 N
HiEnd Accents,43137,748302-1,233652,95,5,0,748302,90,0,,HI END 020718 132 N
HiEnd Accents,43137,740252-1,233654,95,5,0,740252,90,0,,HI END 020718 132 N
HiEnd Accents,43137,749445-1,233656,95,5,0,749445,90,0,,HI END 020718 132 N
HiEnd Accents,43137,744632-2,233660,135,5,0,744632,130,0,,HI END 020718 132 N
HiEnd Accents,43137,740042-2,233661,135,5,0,740042,130,0,,HI END 020718 132 N
HiEnd Accents,43137,740511-2,233662,161,5,0,740511,156,0,,HI END 020718 132 N
HiEnd Accents,43137,749066-2,233663,182,5,0,749066,177,0,,HI END 020718 132 N
HiEnd Accents,43137,733011-2,233664,269,5,0,733011,264,0,,HI END 020718 132 N
HiEnd Accents,43137,748246-2,233666,195,5,0,748246,190,0,,HI END 020718 132 N
HiEnd Accents,43137,740900-1,233669,95,5,0,740900,90,0,,HI END 020718 132 N
HiEnd Accents,43137,742121-1,233670,95,5,0,742121,90,0,,HI END 020718 132 N
HiEnd Accents,43137,747646-1,233671,178,5,0,747646,173,0,,HI END 020718 132 N
HiEnd Accents,43137,746136-1,233672,95,5,0,746136,90,0,,HI END 020718 132 N
HiEnd Accents,43137,740905-1,233673,95,5,0,740905,90,0,,HI END 020718 132 N
HiEnd Accents,43137,748606-2,233675,100,5,0,748606,95,0,,HI END 020718 132 N
HiEnd Accents,43137,746813-2,233677,182,5,0,746813,177,0,,HI END 020718 132 N
HiEnd Accents,43138,750784-1,223810,185,5,0,750784,180,0,,HI END 020818 12 N
HiEnd Accents,43138,750240-1,223813,150,5,0,750240,145,0,,HI END 020818 12 N
HiEnd Accents,43137,750394-2,233626,115,5,0,750394,110,0,,HI END 020718 132 N
HiEnd Accents,43137,749900-2,233627,144.5,5,0,749900,139.5,0,,HI END 020718 132 N
HiEnd Accents,43137,749199-1,233628,48,5,0,749199,43,0,,HI END 020718 132 N
HiEnd Accents,43137,749974-1,233629,205,5,0,749974,200,0,,HI END 020718 132 N
HiEnd Accents,43137,749241-1,233630,55,5,0,749241,50,0,,HI END 020718 132 N
HiEnd Accents,43137,750217-2,233634,237,5,0,750217,232,0,,HI END 020718 132 N
HiEnd Accents,43137,750225-1,233635,85,5,0,750225,80,0,,HI END 020718 132 N
HiEnd Accents,43137,750436-1,233636,185,5,0,750436,180,0,,HI END 020718 132 N
HiEnd Accents,43137,749301-1,233637,244,5,0,749301,239,0,,HI END 020718 132 N
HiEnd Accents,43137,749848-3,233638,30,5,0,749848,25,0,,HI END 020718 132 N
HiEnd Accents,43137,749374-1,233639,334.5,5,0,749374,329.5,0,,HI END 020718 132 N
HiEnd Accents,43137,750370-1,233641,26.5,5,0,750370,21.5,0,,HI END 020718 132 N
HiEnd Accents,43137,750016-2,233642,25,5,0,750016,20,0,,HI END 020718 132 N
HiEnd Accents,43137,750090-2,233644,22.5,5,0,750090,17.5,0,,HI END 020718 132 N
HiEnd Accents,43137,750051-1,233647,187,5,0,750051,182,0,,HI END 020718 132 N
HiEnd Accents,43137,749043-3,233649,20,5,0,749043,15,0,,HI END 020718 132 N
HiEnd Accents,43137,749990-1,233650,187.5,5,0,749990,182.5,0,,HI END 020718 132 N
HiEnd Accents,43137,749695-3,233653,45,5,0,749695,40,0,,HI END 020718 132 N
HiEnd Accents,43137,748990-1,233665,68,5,0,748990,63,0,,HI END 020718 132 N
HiEnd Accents,43137,749749-2,233667,26,5,0,749749,21,0,,HI END 020718 132 N
HiEnd Accents,43137,749561-2,233668,27,5,0,749561,22,0,,HI END 020718 132 N
HiEnd Accents,43137,750189-1,233674,11.5,5,0,750189,6.5,0,,HI END 020718 132 N
HiEnd Accents,43137,750119-1,233676,22.5,5,0,750119,17.5,0,,HI END 020718 132 N
HiEnd Accents,43137,750181-1,233678,85,5,0,750181,80,0,,HI END 020718 132 N
HiEnd Accents,43138,750417-2,233811,185,5,0,750417,180,0,,HI END 020818 12 N
HiEnd Accents,43138,750816-1,233812,64,5,0,750816,59,0,,HI END 020818 12 N
HiEnd Accents,43138,750822-1,233814,95,5,0,750822,90,0,,HI END 020818 12 N
HiEnd Accents,43138,750458-1,233815,95,5,0,750458,90,0,,HI END 020818 12 N
HiEnd Accents,43138,750702-1,233816,125,5,0,750702,120,0,,HI END 020818 12 N
HiEnd Accents,43138,750828-1,233817,43,5,0,750828,38,0,,HI END 020818 12 N
HiEnd Accents,43138,750595-1,233818,25,5,0,750595,20,0,,HI END 020818 12 N
HiEnd Accents,43138,750739-2,233819,22.5,5,0,750739,17.5,0,,HI END 020818 12 N
HiEnd Accents,43138,750466-1,233820,85,5,0,750466,80,0,,HI END 020818 12 N
HiEnd Accents,43138,750593-1,233821,55,5,0,750593,50,0,,HI END 020818 12 N
HiEnd Accents,43137,749959-1,233659,447.5,5,0,749959,447.5,5,,HI END 020718 132 N
HiEnd Accents,43129,735975-2,232713,297,5,0,735975,297,5,,HI END 013118 23
HiEnd Accents,43133,697685-1,233280,79,5,0,697685,164,90,,HI END 020718 132 N
HiEnd Accents,43136,728269-2,233422,60,0,0,728269,322.5,262.5,,HI END 020718 132 N
HiEnd Accents,43136,732619-2,233423,20,0,0,732619,224,204,,HI END 020718 132 N
HiEnd Accents,43136,733636-1,233424,180,0,0,733636,254,74,,HI END 020718 132 N
HiEnd Accents,43136,728488-2,233426,69,0,0,728488,114,45,,HI END 020718 132 N
HiEnd Accents,43136,717767-2,233427,74,0,0,717767,164,90,,HI END 020718 132 N
HiEnd Accents,43136,714006-1,233429,20,0,0,714006,255,235,,HI END 020718 132 N
HiEnd Accents,43136,742707-1,233443,540,5,0,742707,600,65,,HI END 020718 132 N
HiEnd Accents,43137,725922-2,233621,79,5,0,725922,659,585,,HI END 020718 132 N
HiEnd Accents,43137,744284-2,233657,30,5,0,744284,30,5,,HI END 020718 132 N
HiEnd Accents,43137,748807-1,233658,30,5,0,748807,30,5,,HI END 020718 132 N
HiEnd Accents,43137,740887-1,233679,436,5,0,740887,436,5,,HI END 020718 132 N
HOMEFIRES,43137,749417-3,45576,72.5,5,0,749417,67.5,0,,HOMEFIRES 020618 45576 N
HOMEFIRES,43137,749735-2,45577,27.5,5,0,749735,22.5,0,,HOMEFIRES 020618 45577 N
"KAS Oriental Rugs, Inc.",43138,749356-1,677834,39.9,0,0,749356,39.9,0,,KAS 020718 677834 N
"KAS Oriental Rugs, Inc.",43139,750469-1,678083,47.5,0,0,750469,47.5,0,,KAS 020818 678083 N
"KAS Oriental Rugs, Inc.",43136,748217-1,677190,52.25,0,0,748217,52.25,0,,KAS 020518 677190 (2) N
"KAS Oriental Rugs, Inc.",43136,749371-1,677191,142.5,0,0,749371,142.5,0,,KAS 020518 677190 (2) N
LoLoi,43137,748232-1,2950412,322,7,0,748232,315,0,,LOLOI 020618 2950412 N
LoLoi,43138,748665-2,2950828,76,7,0,748665,69,0,,LOLOI 020718 2950828 N
LoLoi,43136,747073-1,2949852,1397,7,0,747073,1575,185,,LOLOI 020618 2949852 N
"Marco International, Inc.",43138,749999-2,48219,74.7,0,0,749999,74.7,0,,MARCO 020718 48219 N
Mexican Country Imports,43137,738746-1,10916,239.66,53.66,0,738746,186,0,,MEXICAN CO 020718 10916 N
Mexican Country Imports,43137,748776-1,10917,233.59,49.59,0,748776,184,0,,MEXICAN CO 020718 10917 N
Mexican Country Imports,43137,746110-2,10919,167.78,53.78,0,746110,114,0,,MEXICAN CO 020718 10919 N
Mexican Country Imports,43137,736974-1,10920,105.92,48.92,0,736974,57,0,,MEXICAN CO 020718 10920 N
Mexican Country Imports,43137,730311-1,10921,93.78,36.78,0,730311,57,0,,MEXICAN CO 020718 10921 N
Mexican Country Imports,43139,733160-1,10926,101.93,44.93,0,733160,57,0,,MEXICAN CO 020818 10926 N
Mexican Country Imports,43137,749965-1,10915,107.02,45.02,0,749965,62,0,,MEXICAN CO 020718 10915 N
