Vendor Name,"Invoice 
Date",PO Num,"Invoice 
Number",Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
Always Azul Pottery,43133,741273-1,18258,248,8,0,741273,240,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43133,744831-4,18258,62,4,0,744831,58,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43126,738904-2,18229,22,2,0,738904,21,1,,ALWAYS AZUL 020518 18229 N
American Crystal,43082,728382-1,12839,36,0,0,728382,36,0,,AMERICAN CRYSTAL 020618 12839
ANASAZI METAL WORKS,43123,736070-1,3578,61.9,21.9,0,736070,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,729345-1,3578,46,6,0,729345,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,733746-3,3578,46,6,0,733746,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,734608-1,3578,46,6,0,734608,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,736186-1,3578,46,6,0,736186,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,739100-2,3578,46,6,0,739100,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,742810-2,3578,46,6,0,742810,40,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,742051-,3578,46,6,0,742051,80,40,,ANASAZI 020518 3578 N
Artisans Gallery,43133,738458-1,738458-1,106,6.05,0,738458,99,-0.95,,ARTISANS GALLERY 020518 738458-1 N
Artisans Gallery,43133,721080-1,721080-1,214,24,0,721080,190,0,,ARTISANS GALLERY 020518 721080-1 N
Artisans Gallery,43133,729077-1,729077-1,889,20,0,729077,869,0,,ARTISANS GALLERY 020518 729077-1 N
Artisans Gallery,43133,729707-2,729707-2,214,24,0,729707,190,0,,ARTISANS GALLERY 020518 729707-2 N
Artisans Gallery,43133,732392-2,732392-2,109.25,14.25,0,732392,95,0,,ARTISANS GALLERY 020518 732392-2 N
Artisans Gallery,43137,732817-1,732817-1,382,24,0,732817,358,0,,ARTISTIC GALLERY 020718 732817-1 N
Artisans Gallery,43112,733543-3,733543-3,180,18,0,733543,162,0,,ARTISANS GALLERY 020818 733543-3
Artisans Gallery,43133,733555-2,733555-2,98,4,0,733555,94,0,,ARTISANS GALLERY 020518 733555-2 N
Artisans Gallery,43133,733608-1,733608-1,98,4,0,733608,94,0,,ARTISANS GALLERY 020518 733608-1 N
Artisans Gallery,43112,734335-1,734335-1,172,12,0,734335,160,0,,ARTISANS GALLERY 020818 734335-1 N
Artisans Gallery,43112,735842-2,735842-2,172,12,0,735842,160,0,,ARTISANS GALLERY 020818 735842-2
Artisans Gallery,43137,736031-2,736031-2,78.25,10,0,736031,68.25,0,,ARTISTIC GALLERY 020718 736031-2 N
Artisans Gallery,43136,736101-1,736101-1,29.5,5,0,736101,24.5,0,,ARTISANS GALLERY 020618 736101-1 N
Artisans Gallery,43136,736266-1,736266-1,98,4,0,736266,94,0,,ARTISANS GALLERY 020618 736266-1 N
Artisans Gallery,43133,736912-1,736912-1,59,0,0,736912,59,0,,ARTISANS GALLERY 020518 736912-1 N
Artisans Gallery,43133,737360-1,737360-1,59,0,0,737360,59,0,,ARTISANS GALLERY 020518 737360-1 N
Artisans Gallery,43133,737396-2,737396-2,59,0,0,737396,59,0,,ARTISANS GALLERY 020518 737396-2 N
Artisans Gallery,43133,737911-1,737911-1,59,0,0,737911,59,0,,ARTISANS GALLERY 020518 737911-1 N
Artisans Gallery,43133,738263-1,738263-1,59,0,0,738263,59,0,,ARTISANS GALLERY 020518 738263-1 N
Artisans Gallery,43133,738468-1,738468-1,59,0,0,738468,59,0,,ARTISANS GALLERY 020518 738468-1 N
Artisans Gallery,43133,738963-3,738963-3,112.13,14.63,0,738963,97.5,0,,ARTISANS GALLERY 020518 738963-3 N
Artisans Gallery,43112,739385-1,739385-1,279,12,0,739385,267,0,,ARTISANS GALLERY 020818 739385-1 N
Artisans Gallery,43137,739495-2,739495-2,59,0,0,739495,59,0,,ARTISTIC GALLERY 020718 739495-2 N
Artisans Gallery,43112,739585-1,739585-1,78,4,0,739585,74,0,,ARTISANS GALLERY 020818 739585-1 N
Artisans Gallery,43112,739590-1,739590-1,60.6,6,0,739590,54.6,0,,ARTISANS GALLERY 020818 739590-1 N
Artisans Gallery,43136,741166-1,741166-1,110,6,0,741166,104,0,,ARTISANS GALLERY 020818 741166-1 N
