Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
A HOMESTEAD SHOPPE,43192,772542-1,432356,24,5,0,772542,19,0,,AHS 040218 432356C
A HOMESTEAD SHOPPE,43194,772893-1,432480,585.2,0,0,772893,585.2,0,,AHS 040518 432480C
ART EFFECTS,43194,772233-3,53911,75.76,0,0,772233,75.76,0,,ART EFFECTS 040518 53911C
ART EFFECTS,43194,772332-2,53910,57.86,0,0,772332,57.86,0,,ART EFFECTS 040518 53910C
ART EFFECTS,43195,772636-2,53930,97.8,0,0,772636,97.8,0,,ART EFFECTS 040518 53930C
ASHTON ART,43188,758152-2,17644,266,5,0,758152,261,0,,ASHTON 040318 PMT RECPT 17644C
ASHTON ART,43188,760685-3,17645,219,5,0,760685,214,0,,ASHTON 040318 PMT RECPT 17645C
ASHTON ART,43187,760921-1,17614,185,5,0,760921,180,0,,ASHTON 040318 PMT RECPT 17614C
ASHTON ART,43185,762647-1,17566,109,5,0,762647,104,0,,ASHTON 040318 PMT RECPT 17566C
ASHTON ART,43188,766384-2,17646,67,5,0,766384,62,0,,ASHTON 040318 PMT RECPT 17646C
ASHTON ART,43185,766824-1,17567,218,5,0,766824,213,0,,ASHTON 040318 PMT RECPT 17567C
BUCK SNORT,43187,753190-2,38642,178.95,3,10.95,753190,165, ,DUPLICATE,BUCK SNORT 033018 PMT RECPT 38642C
BUCK SNORT,43194,772340-2,38667,26.55,3,6.95,772340,16.2,-0.4,PO MISMATCH,BUCK SNORT 040518 PMT RECPT (5) C
BUCK SNORT,43194,750289-2,38651,543.4,3,0,750289,540.4,0,,BUCK SNORT 040518 PMT RECPT (5) C
BUCK SNORT,43194,772347-3,38668,18.9,3,6.95,772347,8.95,0,,BUCK SNORT 040518 PMT RECPT (5) C
BUCK SNORT,43194,772452-1,38666,19.25,3,6.95,772452,9.3,0,,BUCK SNORT 040518 PMT RECPT (5) C
BUCK SNORT,43194,772710-1,38669,28.55,3,6.95,772710,18.6,0,,BUCK SNORT 040518 PMT RECPT (5) C
C AND F ENTERPRISES,43193,760037-2,C041600,-26.8,0,0,760037,26,26.8,CREDIT,C&F 040618 PMT RECPT 5342.64C
C AND F ENTERPRISES,43003,,AMEX,-106,0,0, , , ,CREDIT,C&F PAYMENT RECPT 033018 18067.78C
C AND F ENTERPRISES,43180,,C041481,-106,0,0, , , ,CREDIT,C&F PAYMENT RECPT 033018 18067.78C
C AND F ENTERPRISES,43173,765328-1,583038,30,6,0,765328,23.5,-0.5,PO MISMATCH,C&F 031518 582773C
C AND F ENTERPRISES,43189,7143-,587044,390,6,0, , , ,WAREHOUSE,C&F 040618 PMT RECPT 5342.64C
C AND F ENTERPRISES,43189,7207-,587046,260,6,0, , , ,WAREHOUSE,C&F 040618 PMT RECPT 5342.64C
C AND F ENTERPRISES,43000,690171-1,529313,106,6,0,690171,100,0,,C&F PAYMENT RECPT 033018 18067.78C
C AND F ENTERPRISES,43187,748620-4,586284,45,6,0,748620,84.5,45.5,,C&F PAYMENT RECPT 033018 18067.78C
C AND F ENTERPRISES,43167,753644-1,581321,126,6,0,753644,120,0,,C&F 030918 PMT RECPT 7103.45C
C AND F ENTERPRISES,43167,755327-4,581521,41,6,0,755327,182,147,,C&F 030918 PMT RECPT 7103.45C
