Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
STEEL PARTNERS,43308,810433-1,15205,400.6,10,0,810433,364.56,-26.04,PO MISMATCH,STEEL PARTNERS 073018 15205C
CARSTENS INC,43306,812979-2,230150,21,3,0,812979,18,-18,PO MISMATCH,7405244-20180803180201
CARSTENS INC,43306,812979-2,230192,18,0,0,812979,18,-18,PO MISMATCH,7405248-20180803180201
IRONWOOD INDUSTRIES,43312,809096-2,28246,93,0,0,809096,77,-16,PO MISMATCH,IRONWOOD 080118 PMT RECPT 93.00 28246C
CARSTENS INC,43306,808766-2,229980,47,3,0,808766,36,-8,PO MISMATCH,7405253-20180803180201
CARSTENS INC,43308,814646-2,230359,25,3,0,814646,15,-7,PO MISMATCH,7410669-20180803180201
DONNA SHARP,43308,816563-1,429937,121.5,0,0,816563,115.2,-6.3,PO MISMATCH,DONNA SHARP 073018 429937C
HERITAGE LACE,43312,817833-2,1275302,24.6,0,0,817833,18.45,-6.15,PO MISMATCH,HERITAGE LACE 073118 (2) C
IRONWOOD INDUSTRIES,43311,807102-3,28241,94,0,0,807102,89,-5,PO MISMATCH,IRONWOOD 073118 PMT RECPT 1165.00 28241C
Pure Country,43311,813646-2,912604,52.85,6,0,813646,41.85,-5,PO MISMATCH,PURE CO 073118 912604C
HERITAGE LACE,43314,818485-1,1275650,16.8,0,0,818485,12.6,-4.2,PO MISMATCH,7428266-20180803180201
CARSTENS INC,43306,808725-1,229979,25,3,0,808725,18,-4,PO MISMATCH,7405252-20180803180201
CARSTENS INC,43306,811090-3,230060,25,3,0,811090,18,-4,PO MISMATCH,7405239-20180803180201
CARSTENS INC,43306,812089-4,230054,25,3,0,812089,18,-4,PO MISMATCH,7405255-20180803180201
"Kalalou, Inc.",43312,816479-1,682593,40.2,6,0,816479,30.6,-3.6,PO MISMATCH,KALALOU 073118 682593C
Celebration Tablecloths,43313,818327-1,818327-1,66.97,3,0,818327,60.97,-3,PO MISMATCH,CELEBRATION TABLECLOTHS 080118 1212C
DEMDACO 0000        LEAWOOD,43307,784578-1,21974737,60,0,0,784578,57,-3,PO MISMATCH,7417834-20180803180201
DEMDACO 0000        LEAWOOD,43307,796867-2,21974660,60,0,0,796867,57,-3,PO MISMATCH,7417832-20180803180201
SKYHAWK,43293,811164-2,811164-2,202,2,0,811164,198,-2,PO MISMATCH,SKYHAWK 080218 811164-2
Pure Country,43307,813146-1,911790,19.1,6,0,813146,12.6,-0.5,PO MISMATCH,PURE CO 073018 911790C
Pure Country,43312,810907-4,912780,231.88,4,28.52,810907,199.76,0.4,PO MISMATCH,PURE CO 080118 912780C
