Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
Kimlor,43088,840003,365.45,6.95,0,729498,358.5,729498-1,0,,KIMLOR 122717 (111)
Colorado Carpets,43100,1712-4,289,0,0,729439,289,729439-1,0,,COLORADO CARPETS 010218 BFD1712-4
Kimlor,43088,840002,102.95,6.95,0,729434,96,729434-1,0,,KIMLOR 122717 (111)
SOLSTICE ARTS,43084,79990,23,5,0,729411,18,729411-2,0,,SOLSTICE 121517 79990
Laural Home,43087,17353,20,0,0,729409,20,729409-2,0,,LAURAL HOME 122717 (23)
Kimlor,43084,839353,23.2,6.95,0,729359,16.25,729359-1,0,,KIMLOR 122717 (111)
Colorado Carpets,43100,1712-4,75.5,0,0,729336,75.5,729336-2,0,,COLORADO CARPETS 010218 BFD1712-4
Laural Home,43091,17432,22.5,0,0,729299,22.5,729299-1,0,,LAURAL HOME 122717 (23)
WILD WINGS,43084,338100,38.25,5,0,729298,33.25,729298-1,0,,WILD WINGS 122717 (16)
Colorado Carpets,43100,1712-4,289,0,0,729294,882,729294-2,593,,COLORADO CARPETS 010218 BFD1712-4
Kimlor,43084,839352,41.95,6.95,0,729289,35,729289-1,0,,KIMLOR 122717 (111)
WGI Gallery,43091,175981,58.84,3,0,729284,55.84,729284-1,0,,WGI 010418 175981
Kimlor,43084,839351,39.45,6.95,0,729242,32.5,729242-1,0,,KIMLOR 122717 (111)
SOLSTICE ARTS,43084,79990,23,5,0,729238,18,729238-1,0,,SOLSTICE 121517 79990
WGI Gallery,43091,175981,58.84,3,0,729224,55.84,729224-1,0,,WGI 010418 175981
"American Cover Design 26, Inc.",43084,110376,17,5,0,729220,12,729220-2,0,,AMERICAN COVER 010218 (4)
Laural Home,43091,17423,49,0,0,729213,49,729213-1,0,,LAURAL HOME 122717 (23)
Kimlor,43087,839629,125.45,6.95,0,729181,118.5,729181-1,0,,KIMLOR 122717 (111)
WGI Gallery,43091,175981,70.02,3,0,729178,67.02,729178-2,0,,WGI 010418 175981
Laural Home,43091,17431,22.5,0,0,729114,22.5,729114-1,0,,LAURAL HOME 122717 (23)
SOLSTICE ARTS,43084,79990,67,5,0,729066,62,729066-1,0,,SOLSTICE 121517 79990
Kimlor,43087,839628,71.45,6.95,0,729059,64.5,729059-1,0,,KIMLOR 122717 (111)
SOLSTICE ARTS,43084,79990,63,5,0,729057,116,729057-7,58,,SOLSTICE 121517 79990
WGI Gallery,43091,175981,70.02,3,0,729030,55.84,729030-1,-11.18,PO MISMATCH,WGI 010418 175981
Colorado Carpets,43100,1712-4,65,0,0,728974,65,728974-2,0,,COLORADO CARPETS 010218 BFD1712-4
"American Cover Design 26, Inc.",43084,110376,134,5,0,728972,129,728972-2,0,,AMERICAN COVER 010218 (4)
WILD WINGS,43084,338101,62,5,0,728942,57,728942-2,0,,WILD WINGS 122717 (16)
Kimlor,43084,839350,24.95,6.95,0,728912,18,728912-1,0,,KIMLOR 122717 (111)
Kimlor,43084,839349,33.45,6.95,0,728906,26.5,728906-1,-3.55271E-15,,KIMLOR 122717 (111)
"American Cover Design 26, Inc.",43084,110376,154,5,0,728874,149,728874-1,0,,AMERICAN COVER 010218 (4)
SOLSTICE ARTS,43084,79990,50,5,0,728873,38,728873-1,-7,PO MISMATCH,SOLSTICE 121517 79990
Kimlor,43084,839348,74.45,6.95,0,728852,67.5,728852-1,0,,KIMLOR 122717 (111)
Kimlor,43087,839627,56.45,6.95,0,728828,49.5,728828-1,0,,KIMLOR 122717 (111)
"American Cover Design 26, Inc.",43084,110376,63,5,0,728809,58,728809-1,0,,AMERICAN COVER 010218 (4)
Savoy House,43089,179609,223.2,0,0,728786,223.2,728786-1,0,Duplicate - NOT UPLOADED,SAVOY 122717 179609
Kimlor,43084,839347,24.95,6.95,0,728725,18,728725-1,0,,KIMLOR 122717 (111)
Kimlor,43087,839626,122.95,6.95,0,728685,116,728685-1,0,,KIMLOR 122717 (111)
Kimlor,43084,839346,74.45,6.95,0,728671,67.5,728671-1,0,,KIMLOR 122717 (111)
Designers Fountain,43087,92914589,71.75,5,0,728655,66.75,728655-1,0,,DESIGNERS FOUNTAIN 122717 (3)
Colorado Carpets,43100,1712-4,75.5,0,0,728610,75.5,728610-1,0,,COLORADO CARPETS 010218 BFD1712-4
Crestview Collection,43103,283253,399.5,0,0,728571,399.5,728571-1,0,,CRESTVIEW 010318 (2.3)
Colorado Carpets,43100,1712-4,289,0,0,728521,289,728521-1,0,,COLORADO CARPETS 010218 BFD1712-4
SOLSTICE ARTS,43083,79906,23,5,0,728484,18,728484-3,0,,SOLSTICE 121517 79906
Kimlor,43084,839345,120.2,6.95,0,728478,113.25,728478-1,0,,KIMLOR 122717 (111)
Kimlor,43084,839344,45.95,6.95,0,728466,39,728466-1,0,,KIMLOR 122717 (111)
Kimlor,43084,839343,39.95,6.95,0,728446,33,728446-1,0,,KIMLOR 122717 (111)
Kimlor,43084,839342,23.45,6.95,0,728437,16.5,728437-1,0,,KIMLOR 122717 (111)
Kimlor,43084,839341,59.95,6.95,0,728422,53,728422-1,0,,KIMLOR 122717 (111)
SOLSTICE ARTS,43083,79906,40,5,0,728419,35,728419-2,0,,SOLSTICE 121517 79906
Kimlor,43084,839340,106.45,6.95,0,728411,99.5,728411-1,0,,KIMLOR 122717 (111)
"American Cover Design 26, Inc.",43084,110376,35.9,5,0,728405,99.9,728405-1,69,,AMERICAN COVER 010218 (4)
Kimlor,43084,839339,90.95,6.95,0,728383,84,728383-1,0,,KIMLOR 122717 (111)
Artisans Gallery,43084,728358-2,80.4,13.4,0,728358,67,728358-2,0,,ARTISANS GALLERY 121817 728358-2
WILD WINGS,43083,337974,0,0,0,728355,57,728355-2,0,,WILD WINGS 122217 (7)
WILD WINGS,43084,338080,62,5,0,728355,57,728355-2,0,,WILD WINGS 122717 (16)
"American Cover Design 26, Inc.",43084,110376,46.7,5,0,728342,41.7,728342-2,0,,AMERICAN COVER 010218 (4)
Kimlor,43084,839338,68.95,6.95,0,728297,62,728297-1,0,,KIMLOR 122717 (111)
Kimlor,43084,839337,121.45,6.95,0,728247,114.5,728247-1,0,,KIMLOR 122717 (111)
Colorado Carpets,43100,1712-4,159,0,0,728241,159,728241-2,0,,COLORADO CARPETS 010218 BFD1712-4
SOLSTICE ARTS,43083,79906,23,5,0,728204,18,728204-2,0,,SOLSTICE 121517 79906
Kimlor,43084,839336,86.45,6.95,0,728176,79.5,728176-1,0,,KIMLOR 122717 (111)
Laural Home,43093,17455,47,0,0,728159,47,728159-1,0,,LAURAL HOME 122717 (23)
Kimlor,43083,838980,41.45,6.95,0,728101,34.5,728101-1,0,,KIMLOR 122217 (35)
