Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
"All My Walls-Recherche,LLC",43279,805223-2,6191,75,0,0,805223,75,-75,PO MISMATCH,ALL MY WALLS RECHERCHE LLC 071118 6191N
"All My Walls-Recherche,LLC",43283,805223-2,6192,75,0,0,805223,75,-75,PO MISMATCH,ALL MY WALLS RECHERCHE LLC 071118 6192N
Artisans Gallery,43286,807294-1,807294-1,59,0,0,807294,59,-79,PO MISMATCH,ARTISANS GALLERY 070918 807294-1N
Artisans Gallery,43286,807294-2,807294-2,83,4,0,807294,59,-79,PO MISMATCH,ARTISANS GALLERY 070918 807294-2N
Bacova Guild,43290,806802-2,4672544,31,0,0,806802,25.08,-5.92,PO MISMATCH,BACOVA 071018 (12)N
Bacova Guild,43290,808129-1,4672553,15.5,0,0,808129,10.47,-5.03,PO MISMATCH,BACOVA 071018 (12)N
Crestview Collection,43082,725795-1,279784,74.95,0,0,725795,74.95,-59.95,PO MISMATCH,CRESTVIEW 061418 (35)N
Crestview Collection,43125,725795-1,288389,59.95,0,0,725795,74.95,-59.95,PO MISMATCH,CRESTVIEW 071118 (8)N
Designers Fountain,43283,805911-2,92956597,69.95,5,0,805911,63.75,-1.2,PO MISMATCH,DESIGNERS FTN 071118 (3)N
EVERGREEN ENTERPRISES,43292,807768-1,6588347,17.5,5,0,807768,11.25,-1.25,PO MISMATCH,EVERGREEN 071218 6588347N
HiEnd Accents,43293,810669-2,247054,35,5,0,810669,26,-4,PO MISMATCH,HIEND 071318 (12)N
HOMEFIRES,43294,773659-1,47530,48.5,3.5,0,773659,22.5,-22.5,PO MISMATCH,HOMEFIRES 071318 47530N
"Midwest-CBK, LLC",43294,807713-1,1094180,50,5,0,807713,40,-5,PO MISMATCH,MIDWEST 071318 1094180N
Savoy House,43287,806655-1,426172,399,0,0,806655,399,0,PO MISMATCH,SAVOY 070918 426172N
Savoy House,43291,808948-1,430783,274,24,0,808948,250,0,PO MISMATCH,SAVOY 071118 430783N
WGI Gallery,43286,802696-2,177748,29,3,0,802696,25.72,-0.28,PO MISMATCH,WGI 070918 177748N
WILD WINGS,43222,783763-1,346316,47.75,5,0,783763,90.25,-76,PO MISMATCH,WILD WINGS 050918 (4)N
WILD WINGS,43263,783763-1,347499,61.75,0,0,783763,90.25,-76,PO MISMATCH,WILD WINGS 061918 (16)N
WILD WINGS,43279,783763-1,348049,61.75,0,0,783763,90.25,-76,PO MISMATCH,WILD WINGS 071118 (4)N
HiEnd Accents,43273,802874-2,245484,23.5,5,0,802874,18.5,-18.5,REVISED,HIEND 062518 (21)N
HiEnd Accents,43291,802874-2,246806,18.5,0,0,802874,18.5,-18.5,REVISED,HIEND 071218 (32)N
