Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
C AND F ENTERPRISES,43130,C040753,-70,0,0,726278,115,726278-1,185,CREDIT,C&F PMT RECPT 020218 6103.18
C AND F ENTERPRISES,43130,C040746,-64,0,0,702022,183,702022-1,189,CREDIT,C&F PMT RECPT 020218 6103.18
C AND F ENTERPRISES,43129,C040720,-30,0,0,731171,15,731171-1,36,CREDIT,C&F PMT RECPT 020218 6103.18
Mayberry Rugs,43139,11050,-17.5,-5,0,747301,12.5,747301-1,12.5,CREDIT,MAYBERRY PMT RECPT 020818 (8) 355.50 CC
Pure Country,43132,861915,30.8,4,2,746653,25.2,746653-2,0,DUPLICATE,PURE CO 020118 861914 CC
ASHTON ART,43091,16167,48,0,0,,,No PO-,,NO PO ON INVOICE,ASHTON 122717 671.80
ASHTON ART,43091,16171,67,0,0,,,No PO-,,NO PO ON INVOICE,ASHTON 122717 671.80
ASHTON ART,43091,16170,72,0,0,,,No PO-,,NO PO ON INVOICE,ASHTON 122717 671.80
ASHTON ART,43091,16172,74,0,0,,,No PO-,,NO PO ON INVOICE,ASHTON 122717 671.80
ASHTON ART,43091,16168,76,0,0,,,No PO-,,NO PO ON INVOICE,ASHTON 122717 671.80
ASHTON ART,43091,16169,100.4,0,0,,,No PO-,,NO PO ON INVOICE,ASHTON 122717 671.80
ASHTON ART,43091,16173,100.4,0,0,,,No PO-,,NO PO ON INVOICE,ASHTON 122717 671.80
ASHTON ART,43091,16166,134,0,0,,,No PO-,,NO PO ON INVOICE,ASHTON 122717 671.80
IRONWOOD INDUSTRIES,43136,27403,15.9,0,0,,,No PO-,,NO PO ON INVOICE,IRONWOOD 020818 27403 CC
NEW WORLD TRADING,43136,15454,859.28,0,0,,,NO PO-,,NO PO ON INVOICE,NEW WORLD TRADING 020618 (2) CC
DECOBREEZE GPR,43131,39440,18,5,0,,,746791-1,,NOT ON DROP SHIP REPORT,GPR 020118 39440 CC
MEISSENBURG DESIGNS,43124,268696,47.5,2,0,,,742579-1,,NOT ON DROP SHIP REPORT,MEISSENBURG PMT RECPT.2 020618 667.45 CC (13)
AMERICAN DAKOTA,43076,27768,306.49,0,0,718546,294,718546-1,-12.49,PO MISMATCH,AMERICAN DAKOTA PMT RECPT 12.09.17
BEL AIR LIGHTING,43049,1961800,44.9,0,0,708125,39,708125-2,-5.9,PO MISMATCH,BEL AIR LIGHTING TRANS GLOBE 111317 1961800
BEL AIR LIGHTING,43133,2005634,44.9,0,0,746955,39,746955-1,-5.9,PO MISMATCH,TRANS GLOBE 020518 2005634 CC
BEL AIR LIGHTING,43039,1955636,79,0,0,703623,69,703623-2,-10,PO MISMATCH,BEL AIR LIGHTING TRANS GLOBE 110117 1955636
BEL AIR LIGHTING,43039,1955567,129,0,0,703974,119,703974-2,-10,PO MISMATCH,BEL AIR LIGHTING TRANS GLOBE 110117 195567
BEL AIR LIGHTING,43131,2004182,129,0,0,745533,119,745533-3,-10,PO MISMATCH,TRANS GLOBE 020118 2004182 CC
BEL AIR LIGHTING,43137,2008670,129,0,0,749022,119,749022-1,-10,PO MISMATCH,TRANS GLOBE 020718 2008670 CC
CAPITOL IMPORTING,43136,166160,30.5,3,0,749229,26,749229-2,-1.5,PO MISMATCH,CAPITOL 020618 166160 CC
CAPITOL IMPORTING,43136,166102,42.5,3,0,747986,37,747986-3,-2.5,PO MISMATCH,CAPITOL 020518 166102 CC
CAPITOL IMPORTING,43136,166168,42.5,3,0,748888,37,748888-2,-2.5,PO MISMATCH,CAPITOL 020618 166168 CC
CAPITOL IMPORTING,43136,166100,53,3,0,747803,46.5,747803-2,-3.5,PO MISMATCH,CAPITOL 020518 166100 CC
CAPITOL IMPORTING,43136,166098,84.5,3,0,747577,76,747577-1,-5.5,PO MISMATCH,CAPITOL 020518 166098 CC
Carroll Companies,43126,339696,5180,25,0,719639,4955,719639-1,-200,PO MISMATCH,CARROLL CO 020518 339696 CC
IMAX CORPORATION,43132,1503606,109.49,0,0,747216,106.64,747216-1,-2.85,PO MISMATCH,IMAX 020218 1503606 CC
"Kalalou, Inc.",43082,631036,32.1,6,0,727277,48.6,727277-2,-3.6,PO MISMATCH,KALALOU 121317 631036
"Kalalou, Inc.",43086,632065,32.1,6,0,727277,48.6,727277-2,-3.6,PO MISMATCH,KALALOU 121817 632065
"Kalalou, Inc.",43081,630773,34.8,6,0,725526,26.1,725526-3,-2.7,PO MISMATCH,KALALOU 121317 630773
"Kalalou, Inc.",43131,641753,47.1,6,0,746494,35.1,746494-1,-6,PO MISMATCH,KALALOU 020118 641717 CC
"Kalalou, Inc.",43131,641687,56.11,6,0,746533,44.1,746533-2,-6.01,PO MISMATCH,KALALOU 020118 641753 CC
"Kalalou, Inc.",43131,641717,65.1,6,0,745738,53.1,745738-3,-6,PO MISMATCH,KALALOU 020118 641708 CC
"Kalalou, Inc.",43074,628008,140.1,6,0,721364,125.1,721364-1,-9,PO MISMATCH,KALALOU 120617 628008
"Kalalou, Inc.",43131,641788,155.1,6,0,746539,143.1,746539-1,-6,PO MISMATCH,KALALOU 020718 43346 CC
"Kalalou, Inc.",43132,642227,169.5,6,0,747067,157.5,747067-1,-6,PO MISMATCH,KALALOU 020118 641788 CC
MEISSENBURG DESIGNS,43130,268911,40,2,0,745793,32,745793-2,-6,PO MISMATCH,MEISSENBURG PMT RECPT.2 020618 299.00 (5) CC
MEXPORTS,43132,7496,829,0,0,749926,749,749926-1,-80,PO MISMATCH,MEXPORTS 020718 201810003 N
PARK DESIGN,43090,1391489,24,5,2.85,731630,155.39,731630-4,-8.66,PO MISMATCH,PARK 122117 1391489
PARK DESIGN,43069,1389325,24.5,5,2.92,718072,14.09,718072-2,-2.49,PO MISMATCH,PARK 113017 1389325
PARK DESIGN,43084,1391080,24.5,5,2.92,728538,14.09,728538-2,-2.49,PO MISMATCH,PARK 121517 1391080
PARK DESIGN,43139,1397284,28.8,5,0,748700,20.24,748700-1,-3.56,PO MISMATCH,PARK 020818 1397284 CC
PARK DESIGN,43089,1391392,30,5,3.75,717331,170.72,717331-4,-7.51,PO MISMATCH,PARK 122017 1391392
PARK DESIGN,43110,1392913,30,5,3.75,734356,18.06,734356-1,-3.19,PO MISMATCH,PARK 011018 1392913
PARK DESIGN,43139,1397285,30.5,5,0,748071,21.68,748071-2,-3.82,PO MISMATCH,PARK 020818 1397208 CC
PARK DESIGN,43124,1394839,33,5,4.2,742852,20.24,742852-2,-3.56,PO MISMATCH,PARK 012418 1394839
PARK DESIGN,43069,1389323,33,5,4.2,717538,20.24,717538-2,-3.56,PO MISMATCH,PARK 113017 1389323
PARK DESIGN,43076,1390128,33,5,4.2,720702,20.24,720702-2,-3.56,PO MISMATCH,PARK 120717 1390128
PARK DESIGN,43119,1394345,35,5,4.5,742698,21.68,742698-2,-3.82,PO MISMATCH,PARK 011918 1394345
