Vendor Name,Invoice  Date,PO Num,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,Total    Difference,Discrepancy,Memo
VAXCEL,43173,764794-2,806123,91.8,2.5,0,764794,88.35,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764840-1,806090,187.75,2.5,0,764840,181.45,-3.8,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,764914-1,806091,492.7,2.5,0,764914,485.45,-4.75,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43173,765039-1,806118,73.75,2.5,0,765039,68.4,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43177,765126-2,806380,74.7,2.5,0,765126,71.25,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43178,765233-3,806690,186.8,2.5,0,765233,183.35,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43173,765282-1,806144,82.3,2.5,0,765282,76,-3.8,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43178,765284-3,806624,73.75,2.5,0,765284,70.3,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43178,765293-1,806622,35.51,2.5,0,765293,31.35,-1.66,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43177,765315-2,806381,74.7,2.5,0,765315,71.25,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43178,765355-2,806620,287.5,2.5,0,765355,273.6,-11.4,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43178,765448-2,806621,46.2,2.5,0,765448,42.99,-0.71,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43173,765451-2,806147,162.1,2.5,0,765451,152,-7.6,PO MISMATCH,VAXCEL 032118 PMT RECPT 4597.01C
VAXCEL,43178,765462-2,806669,216.25,2.5,0,765462,210.9,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43178,765503-2,806747,309.35,2.5,0,765503,298.3,-8.55,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43177,765714-2,806388,91.8,2.5,0,765714,88.35,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,765795-2,806333,715,2.5,0,765795,708.47,-4.03,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,765802-2,806433,259,2.5,0,765802,252.7,-3.8,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43178,765824-1,806688,319.8,2.5,0,765824,314.45,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43177,765869-1,806378,35.51,2.5,0,765869,31.35,-1.66,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,765873-1,806390,62.35,2.5,0,765873,58.9,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,765888-1,806394,130.75,2.5,0,765888,126.35,-1.9,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,765899-1,806428,68.53,2.5,0,765899,62.7,-3.33,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43178,765916-1,806689,145,2.5,0,765916,136.8,-5.7,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43178,765932-1,806672,129.8,2.5,0,765932,125.4,-1.9,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43177,766022-1,806396,73.75,2.5,0,766022,68.4,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,766029-2,806391,73.75,2.5,0,766029,68.4,-2.85,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43177,766126-1,806400,59.5,2.5,0,766126,56.05,-0.95,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43178,766251-1,806616,54.75,2.5,0,766251,50.82,-1.43,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43177,766284-1,806399,35.51,2.5,0,766284,31.35,-1.66,PO MISMATCH,VAXCEL 032118 PMT RECPT 2710.85C
VAXCEL,43178,766362-1,806691,211.5,2.5,0,766362,203.28,-5.72,PO MISMATCH,VAXCEL 032118 PMT RECPT 2380.20C
VAXCEL,43180,766532-2,807631,46.2,2.5,0,766532,42.99,-0.71,PO MISMATCH,VAXCEL 032218 PMT RECPT 1473.90C
VAXCEL,43180,766541-1,807629,116.5,2.5,0,766541,113.05,-0.95,PO MISMATCH,VAXCEL 032218 PMT RECPT 1473.90C
VAXCEL,43181,766627-1,808071,130.75,2.5,0,766627,126.35,-1.9,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43180,766659-1,807625,107,2.5,0,766659,101.64,-2.86,PO MISMATCH,VAXCEL 032218 PMT RECPT 1473.90C
VAXCEL,43181,766667-1,808078,130.75,2.5,0,766667,126.35,-1.9,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,766868-2,808075,116.5,2.5,0,766868,113.05,-0.95,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,766905-2,808135,230.5,2.5,0,766905,226.1,-1.9,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43180,766987-1,807626,54.75,2.5,0,766987,50.83,-1.42,PO MISMATCH,VAXCEL 032218 PMT RECPT 1473.90C
VAXCEL,43180,767152-4,807633,230.5,2.5,0,767152,226.1,-1.9,PO MISMATCH,VAXCEL 032218 PMT RECPT 1473.90C
VAXCEL,43181,767372-2,808003,230.5,2.5,0,767372,226.1,-1.9,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767385-2,808120,145,2.5,0,767385,136.8,-5.7,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767438-1,808010,102.25,2.5,0,767438,95,-4.75,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767455-1,808065,101.54,2.5,0,767455,94.05,-4.99,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767599-1,808062,152.13,2.5,0,767599,142.5,-7.13,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767656-2,808122,145,2.5,0,767656,136.8,-5.7,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767675-2,808060,102.25,2.5,0,767675,251.75,-13.06,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767675-1,808064,167.56,2.5,0,767675,251.75,-13.06,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767679-2,808107,73.75,2.5,0,767679,68.4,-2.85,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767687-1,808106,236.2,2.5,0,767687,230.85,-2.85,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,767852-1,808265,335.95,2.5,0,767852,330.61,-2.84,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,768162-1,808267,116.5,2.5,0,768162,112.1,-1.9,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,768168-1,808268,68.53,2.5,0,768168,62.7,-3.33,PO MISMATCH,VAXCEL 032318 PMT RECPT 4010.50C
VAXCEL,43181,702802-1,808178,0,0,0,702802,237.5,237.5,REVISED ,VAXCEL 032318 PMT RECPT 808178C
VILLAGE WROUGHT IRON,43165,761251-2,187172,60.9,5,0,761251,55.9,-55.9,PO MISMATCH,VWI 030618 187172C
VILLAGE WROUGHT IRON,43165,761251-2,187221,60.9,5,0,761251,55.9,-55.9,PO MISMATCH,VWI 030618 187221C
