Vendor Name,Invoice  Date,Invoice Number,Invoice Total,Drop Ship Fee,Shipping Fee,OMX PO,OMX Total,PO Num,Total    Difference,Discrepancy,Memo
Always Azul Pottery,43133,18258,248,8,0,741273,240,741273-1,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43133,18258,62,4,0,744831,58,744831-4,0,,ALWAYS AZUL 020518 18258 N
Always Azul Pottery,43126,18229,22,2,0,738904,21,738904-2,1,,ALWAYS AZUL 020518 18229 N
American Crystal,43082,12839,36,0,0,728382,36,728382-1,0,,AMERICAN CRYSTAL 020618 12839
ANASAZI METAL WORKS,43123,3578,61.9,21.9,0,736070,40,736070-1,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,3578,46,6,0,729345,40,729345-1,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,3578,46,6,0,733746,40,733746-3,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,3578,46,6,0,734608,40,734608-1,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,3578,46,6,0,736186,40,736186-1,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,3578,46,6,0,739100,40,739100-2,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,3578,46,6,0,742810,40,742810-2,0,,ANASAZI 020518 3578 N
ANASAZI METAL WORKS,43123,3578,46,6,0,742051,80,742051-,40,,ANASAZI 020518 3578 N
Artisans Gallery,43133,738458-1,106,6.05,0,738458,99,738458-1,-0.95,,ARTISANS GALLERY 020518 738458-1 N
Artisans Gallery,43133,721080-1,214,24,0,721080,190,721080-1,0,,ARTISANS GALLERY 020518 721080-1 N
Artisans Gallery,43133,729077-1,889,20,0,729077,869,729077-1,0,,ARTISANS GALLERY 020518 729077-1 N
Artisans Gallery,43133,729707-2,214,24,0,729707,190,729707-2,0,,ARTISANS GALLERY 020518 729707-2 N
Artisans Gallery,43133,732392-2,109.25,14.25,0,732392,95,732392-2,0,,ARTISANS GALLERY 020518 732392-2 N
Artisans Gallery,43137,732817-1,382,24,0,732817,358,732817-1,0,,ARTISTIC GALLERY 020718 732817-1 N
