Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
MNMWEPCV,MWEPCV,661890412191,"Montana Collection Patio Chair, Exterior Finish",168.00,,168.00,,168.00,,168.00,,,,,,,,,,
MNMWGCTWFMR,MWGCTWFMR,661890455143,Glacier Country Collection Twin Bunk Bed over Full Futon Frame w/ Mattress,1000.00,,1000.00,,1000.00,,1000.00,,,,,,,,,,
MNMWHC4DSL,MWHC4DSL,661890410197,"Homestead Collection 4 Drawer Chest of Drawers, Stain & Clear Lacquer Finish",405.00,,405.00,,405.00,,405.00,,,,,,,,,,
MNMWHCCR3SL,MWHCCR3SL,661890414775,"Homestead Collection Coat Rack, 3 Foot, Stain & Clear Lacquer Finish",66.00,,66.00,,66.00,,66.00,,,,,,,,,,
MNMWHCDC,MWHCDC,661890409399,"Homestead Collection Deck Chair, Ready to Finish",140.00,,140.00,,140.00,,140.00,,,,,,,,,,
MNMWHCKHB,MWHCKHB,661890411279,"Homestead Collection Eastern King Headboard, Ready to Finish",150.00,,150.00,,150.00,,150.00,,,,,,,,,,
MNMWDT4PSV,MWDT4PSV,661890409917,"Montana Collection Square 4 Post Dining Table, Clear Lacquer Finish",275.00,,275.00,,275.00,,275.00,,,,,,,,,,
MNMWGCRDGS,MWGCRDGS,661890412382,Glacier Country Collection Small Pet Bed w/ 16x20 Mattress,140.00,,140.00,,140.00,,140.00,,,,,,,,,,
MNMWHCCASC,MWHCCASCN,661890415376,"Homestead Collection Captain's Chair, Ready to Finish w/ Ergonomic Wooden Seat",194.00,,194.00,,194.00,,194.00,,,,,,,,,,
MNMWHCFC2,MWHCFC2,661890410531,"Homestead Collection 2 Drawer File Cabinet, Ready to Finish",280.00,,280.00,,280.00,,280.00,,,,,,,,,,
MNMWHCFCV,MWHCFCV,661890410609,"Homestead Collection 4 Drawer File Cabinet, Clear Lacquer Finish",565.00,,565.00,,565.00,,565.00,,,,,,,,,,
MN-MWNDS,MWND,661890411934,"Montana Collection Nightstand with Drawer & Shelf, Ready to Finish",110.00,,110.00,,110.00,,110.00,,,,,,,,,,
MN-MWNSS,MWNS,661890411873,"Montana Collection Nightstand with Shelf, Ready to Finish",73.00,,73.00,,73.00,,73.00,,,,,,,,,,
MNMWSBC,MWSBC,661890407548,"Montana Collection Blanket Chest, Ready to Finish",375.00,,375.00,,375.00,,375.00,,,,,,,,,,
MNMWWR,MWWR,661890414041,"Montana Collection Wine Cabinet, Ready to Finish",162.00,,162.00,,162.00,,162.00,,,,,,,,,,
MNMWHCN2DNSL,MWHCN2DNSL,661890412115,"Homestead Collection Nightstand with 2 Drawers, Stain & Clear Lacquer Finish",215.00,,215.00,,215.00,,215.00,,,,,,,,,,
MNMWBWR,MWBWR,661890406442,"Montana Collection Bar with Foot Rail, Ready to Finish",680.00,,680.00,,680.00,,680.00,,,,,,,,,,
MNMWBBTF-1,MWBBTF-Right extension,,Montana Twin/Full Bunk Bed - Unfinished,725.00,,725.00,,725.00,,725.00,,,,,Right,,,,,
MNMWGCCKHB,MWGCCKHB,661890411323,Glacier Country Collection California King Headboard,225.00,,225.00,,225.00,,225.00,,,,,,,,,,
MNMWGCFC,MWGCFC,661890410586,Glacier Country Collection 4 Drawer File Cabinet,585.00,,585.00,,585.00,,585.00,,,,,,,,,,
MNMWGCLGNR,MWGCLGNR,661890415109,"Glacier Country Collection Glider, Exterior Stain Finish",335.00,,335.00,,335.00,,335.00,,,,,,,,,,
MNMWGCSSGNR,MWGCSSGNR,661890415048,"Glacier Country Collection Single Seat Glider, Exterior Stain Finish",285.00,,285.00,,285.00,,285.00,,,,,,,,,,
MNMWHCFCSL,MWHCFCSL,661890410616,"Homestead Collection 4 Drawer File Cabinet, Stain & Clear Lacquer Finish",585.00,,585.00,,585.00,,585.00,,,,,,,,,,
MNMWHCFLV,MWHCFLV,661890410661,"Homestead Collection Floor Lamp, Clear Lacquer Finish",105.00,,105.00,,105.00,,105.00,,,,,,,,,,
MNMWPTTVOCT,MWPTTV-OCT,,Montana Pub Table - Lacquered,350.00,,350.00,,350.00,,350.00,,,,,,,,,,
MNMWSC,MWSC,661890413266,"Montana Collection 4 Drawer Sitting Chest, Ready to Finish",315.00,,315.00,,315.00,,315.00,,,,,,,,,,
MNMWHCTRSL,MWHCTRSL,661890413495,"Homestead Collection Towel Rack, Stain & Clear Lacquer Finish",28.00,,28.00,,28.00,,28.00,,,,,,,,,,
MN-MWCAKBS,MWCAKB,661890407340,"Montana Collection California King Bed, Ready to Finish",380.00,,380.00,,380.00,,380.00,,,,,,,,,,
MNMWDLWV,MWDLWV,661890409672,"Montana Collection Writing Desk, Clear Lacquer Finish",250.00,,250.00,,250.00,,250.00,,,,,,,,,,
MNMWHCFBSL,MWHCFBSL,661890407036,"Homestead Collection Full Bed, Stain & Clear Lacquer Finish",335.00,,335.00,,335.00,,335.00,,,,,,,,,,
MNMWHCFMNSL,MWHCFMRSL,661890455235,"Homestead Collection Futon Frame w/ Mattress, Stain & Clear Lacquer Finish",625.00,,625.00,,625.00,,625.00,,,,,,,,,,
MNMWLP,MWLP,661890413389,"Montana Collection Table Lamp, Ready to Finish",63.00,,63.00,,63.00,,63.00,,,,,,,,,,
MNMWHCQHBSL,MWHCQHBSL,661890411231,"Homestead Collection Queen Headboard, Stain & Clear Lacquer Finish",185.00,,185.00,,185.00,,185.00,,,,,,,,,,
MNMWHCTVSL,MWHCTVSL,661890415017,"Homestead Collection Television Stand, Stain & Clear Lacquer Finish",600.00,,600.00,,600.00,,600.00,,,,,,,,,,
MNMWHLB6V,MWHLB6V,661890411019,"Montana Collection Half Log Bench, Clear Lacquer Finish, 6 Foot",155.00,,155.00,,155.00,,155.00,,,,,,,,,,
MNMWBSWSNRV,MWBSWSNRV,661890415154,"Montana Collection Barstool w/ Back & Swivel, Clear Lacquer Finish",177.00,,177.00,,177.00,,177.00,,,,,,,,,,
MNMWHCFC2V,MWHCFC2V,661890410548,"Homestead Collection 2 Drawer File Cabinet, Clear Lacquer Finish",320.00,,320.00,,320.00,,320.00,,,,,,,,,,
MNMWHCKSCV-1,MWHCKSCNV,661890415802,"Homestead Collection Side Chair, Clear Lacquer Finish w/ Ergonomic Wooden Seat",120.00,,120.00,,120.00,,120.00,,,,,Wood Seat,,,,,
