Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
SVCKP112,CKP-112,,Cicero Reversible Coverlet - King Plus,332.12,,361.00,,332.12,,361.00,,,,,,,,,,
SVCKP141,CKP-141,,Cozumel Reversible Coverlet - King Plus,286.12,,311.00,,286.12,,311.00,,,,,,,,,,
SVCQP112,CQP-112,,Cicero Reversible Coverlet - Queen Plus,309.12,,336.00,,309.12,,336.00,,,,,,,,,,
SVCT120,CT-120,,Oasis Reversible Coverlet - Twin,274.16,,298.00,,274.16,,298.00,,,,,,,,,,
SVBRCAK1525,BRCAK-1525,,Hanover Reversible Bed Runner - Cal King,142.60,,155.00,,142.60,,155.00,,,,,,,,,,
SVBSETCAK224,BSETCAK-224,,Wrangler Basic Bed Set - Cal King,401.12,,436.00,,401.12,,436.00,,,,,,,,,,
SVBSETCAKP219,BSETCAKP-219,,Echo Canyon Basic Bed Set - Cal King Plus,455.40,,495.00,,455.40,,495.00,,,,,,,,,,
SVQPADREDVAIBRI,Q-PADRED/VAIBRI,,Paddington Red Coverlet Set - Queen,352.36,,383.00,,352.36,,383.00,,,,,,,,,,
SVSK712,SK-712,,Cicero King Sham,66.24,,72.00,,66.24,,72.00,,,,,,,,,,
SVCAPRIBEDRUQ,CAPRI-BEDRUQ-CAPRI/TROPICALFLOWER,,Giardini Bedrunner - Queen,137.08,,149.00,,137.08,,149.00,,,,,,,,,,
SVCAVERNRIDGK-2,CAVERNRIDGE-K-SOPHIASTEEL,,Cavern Ridge Deluxe Bed Set - King,968.76,,1053.00,,968.76,,1053.00,,,,,Sophia Steel Bedskirt,,,,,
SVCCALK135,CCALK-135,,Durango Reversible Coverlet - Cal King,292.56,,318.00,,292.56,,318.00,,,,,,,,,,
SVBSETQP226,BSETQP-226,,Pensacola Basic Bed Set - Queen Plus,503.24,,547.00,,503.24,,547.00,,,,,,,,,,
SVBSETQP230,BSETQP-230,,Eureka Basic Bed Set - Queen Plus,468.28,,509.00,,468.28,,509.00,,,,,,,,,,
SVBSETT237,BSETT-237,,Sun Valley Basic Bed Set - Twin,343.16,,373.00,,343.16,,373.00,,,,,,,,,,
SVSQ629,SQ-629,,Denali Queen Sham,57.04,,62.00,,57.04,,62.00,,,,,,,,,,
SVSS539,SS-539,,Seneca Reversible Standard Sham,56.12,,61.00,,56.12,,61.00,,,,,,,,,,
SVP18LUG,P18--LUG,,Oro Valley Square Accent Pillow,41.40,,45.00,,41.40,,45.00,,,,,,,,,,
SVDTP123,DTP-123,,Montego Reversible Duvet - Twin Plus,245.64,,267.00,,245.64,,267.00,,,,,,,,,,
SVLSETQP320,LSETQP-320,,Oasis Luxury Bed Set - Queen Plus,667.00,,725.00,,667.00,,725.00,,,,,,,,,,
SVLSETQP329,LSETQP-329,,Denali Luxury Bed Set - Queen Plus,667.00,,725.00,,667.00,,725.00,,,,,,,,,,
SVLSETQP331,LSETQP-331,,Wellington Luxury Bed Set - Queen Plus,631.12,,686.00,,631.12,,686.00,,,,,,,,,,
SVLUMINP12X16,LUMINESQUE-P12x16-GLADERUNNER/LUXURYSHAG,,Luminesque Faux Crocodile Leather Accent Pillow,41.40,,45.00,,41.40,,45.00,,,,,,,,,,
SVLSETCAK324,LSETCAK-324,,Wrangler Luxury Bed Set - Cal King,585.12,,636.00,,585.12,,636.00,,,,,,,,,,
SVLSETK315,LSETK-315,,Sahara Luxury Bed Set - King,694.60,,755.00,,694.60,,755.00,,,,,,,,,,
SVLSETK339,LSETK-339,,Seneca Luxury Bed Set - King,732.32,,796.00,,732.32,,796.00,,,,,,,,,,
SVCCALK140,CCALK-140,,Concha Reversible Coverlet - Cal King,334.88,,364.00,,334.88,,364.00,,,,,,,,,,
SVCORSTRNAPKNS4,N17-504x4,,Corfu Stripe Napkins - Set of 4,33.12,,36.00,,33.12,,36.00,,,,,,,,,,
SVDCALKP134,DCALKP-134,,Canberra Reversible Duvet - Cal King Plus,309.12,,336.00,,309.12,,336.00,,,,,,,,,,
SVFRRDS4TTPM,FD-TOTR/FD-RAREx4,,Frisco Red Placemats with Tooled Trail Back - Set of 4,55.20,,60.00,,55.20,,60.00,,,,,,,,,,
SVK4PCSNSTRSNSH,K-4 PIECE-SENSTR/SENSHI,,Heritage Coverlet Set - King,379.04,,412.00,,379.04,,412.00,,,,,,,,,,
SVLSETCAKP330,LSETCAKP-330,,Eureka Luxury Bed Set - Cal King Plus,702.88,,764.00,,702.88,,764.00,,,,,,,,,,
