Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
VCCVFZR1551,CVFZR1551,883581099638,Seaside White Shell Trunks - Set of 3,107.96,,119.95,,144.95,,144.95,,,,,,,,,,
VCCVFZR1910,CVFZR1910,883581106237,La Salle Metal and Wood Etagere,143.96,,159.95,,184.95,,184.95,,,,,,,,,,
VCCVFZR691,CVFZR691,883581064162,Newport Weathered Wood Accent Table,89.96,,99.95,,124.95,,124.95,,,,,,,,,,
VCCVTWA1431,CVTWA1431,883581097924,Bear Cubs Photo Frame,62.96,,69.95,,84.95,,84.95,,,,,,,,,,
VCCVA3277,CVA3277,883581077292,Perfect Spot Framed Art,89.96,,99.95,,124.95,,124.95,,,,,,,,,,
VCCVA3468,CVA3468,883581090376,"""HIKING-CANOE-CABINS-BAIT""",53.96,,59.95,,81.00,,81.00,,,,,,,,,,
VCCVA3535,CVA3535,883581108484,"""OCEANSCAPE""",89.96,,99.95,,125.00,,125.00,,,,,,,,,,
VCCVAVP111,CVAVP1114,,Bear Trail Table Lamp,35.96,,39.95,,55.00,,55.00,,,,,,,,,,
VCCVAVP922,CVAVP922,,Madelyn Table Lamp,62.96,,69.95,,88.00,,88.00,,,,,,,,,,
VCCVFZR699,CVFZR699,883581063523,Cheyenne Stackable Etagere,89.96,,99.95,,124.95,,124.95,,,,,,,,,,
VCCVJDP816,CVJDP816,883581105421,Skyler Lidded Vases - Set of 2,62.96,,69.95,,84.95,,84.95,,,,,,,,,,
VCCVA3458,CVA3458,883581090161,Inside The Pond II Framed Art,62.96,,69.95,,94.95,,94.95,,,,,,,,,,
VCCVAER936,CVAER936,883581108217,Elk Creek Floor Lamp,107.96,,119.95,,134.95,,134.95,,,,,,,,,,
VCCVFZR1709,CVFZR1709,883581100143,Sea Isle Two Tone Wood and Rope Apron Accent Table,62.96,,69.95,,94.95,,94.95,,,,,,,,,,
VCCVFZR1825,CVFZR1825,883581105735,Millenium Bent Mirror 3 Drawer Chest,278.96,,309.95,,334.95,,334.95,,,,,,,,,,
VCCVTOP1809,CVTOP1809,883581077964,Prince Canvas Art,44.96,,49.95,,64.95,,64.95,,,,,,,,,,
VCCVA3301,CVA3301,883581088779,Best Friends Framed Art,89.96,,99.95,,124.95,,124.95,,,,,,,,,,
VCCVA3615,CVA3615,883581109092,Gentle Reader Framed Print,107.96,,119.95,,144.95,,144.95,,,,,,,,,,
VCCVA3645,CVA3645,883581109344,Elk Study Framed Print,62.96,,69.95,,94.95,,94.95,,,,,,,,,,
VCCVAER760R,CVAER760R,,Horseshoe Table Lamp,53.96,,59.95,,81.00,,81.00,,,,,,,,,,
VCCVAP1853,CVAP1853,883581095401,Chatham Table Lamp,44.96,,49.95,,64.95,,64.95,,,,,,,,,,
VCCVA3436,CVA3436,883581089967,Field of Dreams I Framed Art,98.96,,109.95,,134.95,,134.95,,,,,,,,,,
VCCVA3662,CVA3662,883581109467,Under the Palm I Framed Print,53.96,,59.95,,84.95,,84.95,,,,,,,,,,
VCCVACR923,CVACR923,883581029352,Dinsmore Floor Lamp,80.96,,89.95,,104.95,,104.95,,,,,,,,,,
VCCVAER1091,CVAER1091,,Times Square Table Lamp,62.96,,69.95,,88.00,,88.00,,,,,,,,,,
VCCVAP1840,CVAP1840,883581091472,Shell Accent Lamp,26.96,,29.95,,44.95,,44.95,,,,,,,,,,
VCCVAQP936,CVAQP936,,Horse Creek Table Lamp,62.55,,,,84.50,,,,,,,,,,,,
VCCVATP649,CVATP649,883581028546,Vista Table Lamp with Nightlight,80.96,,89.95,,104.95,,104.95,,,,,,,,,,
VCCVATP765,CVATP765,883581029444,Bronze Baluster Floor Lamp,62.96,,69.95,,84.95,,84.95,,,,,,,,,,
VCCVAVP421,CVAVP421,883581102079,Kenwood Table Lamp,71.96,,79.95,,94.95,,94.95,,,,,,,,,,
VCCVAVP433,CVAVP433,883581105254,Prescott Table Lamp,40.46,,44.95,,59.95,,59.95,,,,,,,,,,
VCCVAZBS023,CVAZBS023,883581109665,Ocean Air Table Lamp,89.96,,99.95,,114.95,,114.95,,,,,,,,,,
VCCVFZR1005,CVFZR1005,883581075335,Grand Isle Chairside Table,62.96,,69.95,,94.95,,94.95,,,,,,,,,,
VCCVTRA381,CVTRA381,883581104271,Scalloped Edge Trays - Set of 3,40.46,,44.95,,59.95,,59.95,,,,,,,,,,
VCCVAVP734,CVAVP734,,Harlow Table Lamp,62.96,,69.95,,88.00,,88.00,,,,,,,,,,
VCCVA3425,CVA3425,883581089868,Equine Study II Framed Art,98.96,,109.95,,134.95,,134.95,,,,,,,,,,
VCCVA3509,CVA3509,883581100471,"""DENIM WASH JELLY FISH""",116.96,,129.95,,156.00,,156.00,,,,,,,,,,
VCCVAP1871,CVAP1871,883581102130,Tuscan Cream Andrea Table Lamp,62.96,,69.95,,84.95,,84.95,,,,,,,,,,
VCCVAVP084,CVAVP084,883581077452,Ashton Table Lamp,62.96,,69.95,,84.95,,84.95,,,,,,,,,,
VCCVAVP142,CVAVP142,883581081299,Corsica Table Lamp,35.96,,39.95,,54.95,,54.95,,,,,,,,,,
VCCVA3247,CVA3247,883581088352,Cloudbreak Framed Art,116.96,,129.95,,154.95,,154.95,,,,,,,,,,
VCCVA3606,CVA3606,883581109054,Ft. Worth Longhorn Collage Framed Print,71.96,,79.95,,104.95,,104.95,,,,,,,,,,
VCCVA3614,CVA3614,883581109085,Sense Memory Framed Print,107.96,,119.95,,144.95,,144.95,,,,,,,,,,
VCCVA3745,CVA3745,883581114539,"""WHITE BOATS""",89.96,,99.95,,125.00,,125.00,,,,,,,,,,
VCCVABS774,CVABS774,883581070255,Willow Table Lamp,53.96,,59.95,,74.95,,74.95,,,,,,,,,,
VCCVAER771,CVAER771,883581105193,Sherwin Table Lamp,53.96,,59.95,,74.95,,74.95,,,,,,,,,,
VCCVAP1256,CVAP1256,883581039504,Hammered Ceramic Table Lamp,53.96,,59.95,,74.95,,74.95,,,,,,,,,,
VCCVAP1747,CVAP1747,,Santa Cruz Table Lamp,71.96,,79.95,,100.00,,100.00,,,,,,,,,,
VCCVAVP376,CVAVP376,883581101454,Antique Corbel Table Lamp,62.96,,69.95,,84.95,,84.95,,,,,,,,,,
VCCVFNR320,CVFNR320,,Bengal Manor Light Mango Wood Cathedral Sideboard,476.96,,529.95,,554.95,,554.95,,,,,,,,,,
VCCVFZR1908,CVFZR1908,883581106213,La Salle Metal and Wood Cocktail Table,143.96,,159.95,,184.95,,184.95,,,,,,,,,,
VCCVTMR1490,CVTMR1490,883581090888,Sawyer Octagonal Wood Framed Mirror,80.96,,89.95,,104.95,,104.95,,,,,,,,,,
VCCVA3386,CVA3386,883581089493,River Canyon I Framed Art,98.96,,109.95,,134.95,,134.95,,,,,,,,,,
VCCVABS682,CVABS682,883581070248,Bayside Oyster Table Lamp,80.96,,89.95,,104.95,,104.95,,,,,,,,,,
VCCVANP812,CVANP812,883581021608,Tuscan Four Column Torchiere,134.96,,149.95,,164.95,,164.95,,,,,,,,,,
VCCVAUP129,CVAUP129,883581033847,Darby Table Lamp,44.96,,49.95,,64.95,,64.95,,,,,,,,,,
VCCVAVP124,CVAVP124,883581081312,Oak Creek Canyon Table Lamp,35.96,,39.95,,54.95,,54.95,,,,,,,,,,
VCCVFNR304,CVFNR304,883581092615,Bengal Manor Mango Wood Accent Table,134.96,,149.95,,174.95,,174.95,,,,,,,,,,
VCCVFZR1901,CVFZR1901,883581111187,Seaport Paddle Cabinet,152.96,,169.95,,194.95,,194.95,,,,,,,,,,
VCCVTMR1499,CVTMR1499,883581090581,Chevron Wooden Slat Framed Mirror,71.96,,79.95,,94.95,,94.95,,,,,,,,,,
VCCVTOP1920,CVTOP1920,883581081831,"""PIG OUT""",44.96,,49.95,,68.00,,68.00,,,,,,,,,,
VCCVA3333,CVA3333,883581089028,Pink Lady Framed Art,62.96,,69.95,,94.95,,94.95,,,,,,,,,,
VCCVA3803,CVA3803,883581114843,"""MISTY WILD""",98.96,,109.95,,138.00,,138.00,,,,,,,,,,
VCCVAP1253,CVAP1253,883581020106,Sandshell Table Lamp,58.46,,64.95,,79.95,,79.95,,,,,,,,,,
VCCVAP1712,CVAP1712,,Duncan Table Lamp,62.96,,69.95,,88.00,,88.00,,,,,,,,,,
VCCVAP1807,CVAP1807,883581087178,Coastal Marine Table Lamp,44.96,,49.95,,64.95,,64.95,,,,,,,,,,
VCCVA3321,CVA3321,883581088960,Lingering Gray I Framed Art,116.96,,129.95,,154.95,,154.95,,,,,,,,,,
VCCVAUP687,CVAUP687,883581051285,Infinity Branch Table Lamp,62.96,,69.95,,88.00,,88.00,,,,,,,,,,
VCCVAVP1001,CVAVP1001,,Pineapple Table Lamp,44.96,,49.95,,68.00,,68.00,,,,,,,,,,
VCCVAER576,CVAER576,883581092424,Embossed Red Metal Table Lamp,44.96,,49.95,,64.95,,64.95,,,,,,,,,,
VCCVAER677,CVAER677,883581095340,Harbor Side Floor Lamp,62.96,,69.95,,84.95,,84.95,,,,,,,,,,
