Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
2AR841864117660,841864117660,841864117660,Antigua Tropical floral woven area rug 4 X 6,42.00,,42.00,,42.00,,42.00,,,,,,,,,,
2AR841864117707,841864117707,841864117707,Antigua Tropical floral woven area rug 9 X 12,214.00,,214.00,,214.00,,214.00,,,,,,,,,,
2AR841864117967,841864117967,841864117967,Antigua Parrots woven area rug 8 X 11,157.00,,157.00,,157.00,,157.00,,,,,,,,,,
2AR841864129410,841864129410,841864129410,Plymouth Starfish flat woven indoor/outdoor area rug 4' X 6',36.00,,36.00,,36.00,,36.00,,,,,,,,,,
2AR841864131437,841864131437,841864131437,Palm Coast Frond woven area rug_Beige/Aqua/Green 9 X 12,214.00,,214.00,,214.00,,214.00,,,,,,,,,,
2AR841864129786,841864129786,841864129786,Plymouth Refreshing flat woven indoor/outdoor area rug 5' X 8',60.00,,60.00,,60.00,,60.00,,,,,,,,,,
2AR841864130034,841864130034,841864130034,Plymouth Roped flat woven indoor/outdoor area rug 3' X 4',17.00,,17.00,,17.00,,17.00,,,,,,,,,,
2AR841864117110,841864117110,841864117110,Seaport Waves woven area rug 3 X 4,20.00,,20.00,,20.00,,20.00,,,,,,,,,,
2AR841864131352,841864131352,841864131352,Palm Coast Frond woven area rug_Beige/Green 2 X 8,33.00,,33.00,,33.00,,33.00,,,,,,,,,,
2AR841864117721,841864117721,841864117721,Antigua Tropical floral woven area rug Round 5,52.00,,52.00,,52.00,,52.00,,,,,,,,,,
2AR841864117776,841864117776,841864117776,Antigua Aloha woven area rug 7 X 9,114.00,,114.00,,114.00,,114.00,,,,,,,,,,
2AR841864131161,841864131161,841864131161,Palm Coast Tranquil woven area rug_Beige 9 X 12,214.00,,214.00,,214.00,,214.00,,,,,,,,,,
2AR841864131208,841864131208,841864131208,Palm Coast Tranquil woven area rug_Blue 3 X 4,20.00,,20.00,,20.00,,20.00,,,,,,,,,,
2AR841864117523,841864117523,841864117523,Seaport Waves woven area rug 9 X 12,214.00,,214.00,,214.00,,214.00,,,,,,,,,,
2AR841864129793,841864129793,841864129793,Plymouth Refreshing flat woven indoor/outdoor area rug 7' X 9',93.00,,93.00,,93.00,,93.00,,,,,,,,,,
