Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
PC1706WH,1706-WH,,From the Wine Land I Wall Hanging,39.60,,,,39.60,,,,,,,,,,,,
PC1851WH,1851-WH,,Messengers of Spirit Wall Hanging,72.00,,,,72.00,,,,,,,,,,,,
PC2022WH,2022-WH,,Curacao II Wall Tapestry,45.00,,,,45.00,,,,,,,,,,,,
PC2103WH,2103-WH,,Kimono Orchid Plum I Wall Hanging,36.00,,,,36.00,,,,,,,,,,,,
PC2112WH,2112-WH,,The Monarch Wall Hanging,81.00,,,,81.00,,,,,,,,,,,,
PC2304WH,2304-WH,,Hollyhock Hummer Wall Hanging,72.00,,,,72.00,,,,,,,,,,,,
PC2723WH,2723-WH,,Pretty in Pink Wall Hanging,76.50,,,,76.50,,,,,,,,,,,,
PC2769WH,2769-WH,,Oriental Still Life with Lilies Wall Hanging - Large,144.00,,,,144.00,,,,,,,,,,,,
PC2891WH,2891-WH,,Lilies II Wall Hanging,81.00,,,,81.00,,,,,,,,,,,,
PC2929WH,2929-WH,,Flowers of Antiquity II Wall Hanging,72.00,,,,72.00,,,,,,,,,,,,
PC1493WH,1493-WH,,Dance at Bougival Wall Hanging,72.00,,,,72.00,,,,,,,,,,,,
PC6037WH,6037-WH,,Monogram Medallion U Wall Hanging,130.50,,,,130.50,,,,,,,,,,,,
PC6048WH,6048-WH,,Lady Of Shalott Wall Hanging - Small,58.50,,,,58.50,,,,,,,,,,,,
PC6413WHROD10A,6413-WH,,Looking Back Tapestry Wall Hanging - Large,76.50,,,,76.50,,,,,,,,,,,,
PC6457WH,6457-WH,,Sea of Life Wall Tapestry,144.00,,,,144.00,,,,,,,,,,,,
PC6473WH,6473-WH,,Elk Wall Tapestry,117.00,,,,117.00,,,,,,,,,,,,
PC6635P,6635-P,666576705574,Turquoise Diamond Southwest Geometric Pillow,12.60,,14.00,,12.60,,14.00,,,,,,,,,,
PC6703WHROD9B,6703-WH,,Noahâs Ark Tapestry Wall Hanging,76.50,,,,76.50,,,,,,,,,,,,
PC6883WHROD5B,6883-WH,,Parade Tapestry Wall Hanging,112.50,,,,112.50,,,,,,,,,,,,
PC8124P,8124-P,666576818403,Rimrock Dusk Pillow,16.65,,18.50,,16.65,,18.50,,,,,,,,,,
PC3605WH,3605-WH,,Rejoice Wall Hanging,72.00,,,,72.00,,,,,,,,,,,,
PC3638T,3638-T,,Southwest Ancient Ones Blanket,22.50,,,,22.50,,,,,,,,,,,,
PC3875T,3875-T,,Southwest Geometric Black and Russet Blanket,22.50,,,,22.50,,,,,,,,,,,,
PC4126WH,4126-WH,,Rose Topiary I Wall Hanging,45.00,,,,45.00,,,,,,,,,,,,
PC1717WH,1717-WH,,Empire Urn II Wall Hanging,36.00,,,,36.00,,,,,,,,,,,,
PC1789LS,1789-LS,,Western Horseshoe Small Blanket,19.35,,,,19.35,,,,,,,,,,,,
PC1829WH,1829-WH,,Masoala Panel II Wall Tapestry,45.00,,,,45.00,,,,,,,,,,,,
