Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
AS4099,4099,AS4099,Elmer Mirror Wrapped Canvas,95.40,,106.00,,95.40,,106.00,,,,,,,,,,
AS4539,4539,,Outer Banks North Carolina Beach Map Framed Canvas,50.00,,56.00,,50.00,,56.00,,,,,,,,,,
AS5015,5015,,Sunset on the Prairie,320.00,,356.00,,320.00,,356.00,,,,,,,,,,
AS5728,5728,847515072340,Sea and Cliffs,144.00,,160.00,,144.00,,160.00,,,,,,,,,,
AS5833,5833,847515061832,DESERT GARDEN,233.00,,258.00,,233.00,,258.00,,,,,,,,,,
AS6093,6093,847515095028,Companions Framed Print,115.00,,128.00,,115.00,,128.00,,,,,,,,,,
AS6117,6117,847515095127,Country Lane Sunset Framed Print,63.00,,70.00,,63.00,,70.00,,,,,,,,,,
AS6427,6427,847515094021,In Motion Canvas Wall Print,162.00,,180.00,,162.00,,180.00,,,,,,,,,,
AS6460,6460,847515094137,Square Silver Leaves I Framed Print,36.00,,40.00,,36.00,,40.00,,,,,,,,,,
AS6569,6569,847515094526,Stallion in the Garden Framed Canvas,110.00,,122.00,,110.00,,122.00,,,,,,,,,,
AS6576,6576,847515094311,Waterbirds and Cattails I Framed Print,73.00,,81.00,,73.00,,81.00,,,,,,,,,,
AS6871,6871,,The Alamo - Framed,371.00,,412.00,,371.00,,412.00,,,,,,,,,,
AS6889,6889,,Ranger Code - Framed,275.00,,306.00,,275.00,,306.00,,,,,,,,,,
AS6910,6910,,In the Still of the Evening - Framed,201.00,,223.00,,201.00,,223.00,,,,,,,,,,
AS7231,7231,847515096513,Golden Shell II Framed Print,93.00,,103.00,,93.00,,103.00,,,,,,,,,,
AS3072,3072,,Seashore Field Notes III Framed Print,66.00,,73.00,,66.00,,73.00,,,,,,,,,,
AS3090,3090,,Sail Block Framed Print,80.00,,89.00,,80.00,,89.00,,,,,,,,,,
AS3111,3111,,Blue Shell Gallery Wrapped Canvas,101.00,,112.00,,101.00,,112.00,,,,,,,,,,
AS7535,7535,,Where Eagles Fly,239.00,,266.00,,239.00,,266.00,,,,,,,,,,
AS7700,7700,8.47515E+11,GRIZZLY BEAR CUB,114.00,,126.00,,114.00,,126.00,,,,,,,,,,
ASJWD59F262,JWD59-F262,,Autumn Calm Framed Wall Art,78.00,,87.00,,78.00,,87.00,,,,,,,,,,
AS7757,7757,847515063324,OLD MAN WINTER,118.00,,131.00,,118.00,,131.00,,,,,,,,,,
ASPL055F335VP89,PL055-F335/VP89,,Cobb Framed Wall Art,150.00,,167.00,,150.00,,167.00,,,,,,,,,,
AS3784,3784,,Sierra Morning Framed Canvas,167.00,,186.00,,167.00,,186.00,,,,,,,,,,
AS3788,3788,,Teo on the Ranch Gallery Wrapped Canvas,36.00,,40.00,,36.00,,40.00,,,,,,,,,,
AS4042,4042,,Country Drive Cows III Framed Print,146.00,,162.00,,146.00,,162.00,,,,,,,,,,
AS4058,4058,,Sea Ephemera IV Framed Print,72.00,,80.00,,72.00,,80.00,,,,,,,,,,
AS5734,5734,847515072401,L'Esprit Du Soleil,114.00,,126.00,,114.00,,126.00,,,,,,,,,,
AS5855,5855,847515062334,ENGELMANN'S PRICKLY PEAR,241.00,,267.00,,241.00,,267.00,,,,,,,,,,
AS6882,6882,,Eternal Vista - Framed,390.00,,433.00,,390.00,,433.00,,,,,,,,,,
AS6891,6891,,Chilling in the Wildflowers - Framed,118.00,,131.00,,118.00,,131.00,,,,,,,,,,
AS3454,3454,,Amazing Grays II Multicolor Framed Canvas,60.00,,67.00,,60.00,,67.00,,,,,,,,,,
AS7760,7760,847515062990,AUTUMN BULL,118.00,,131.00,,118.00,,131.00,,,,,,,,,,
AS3785,3785,,Star Spur Framed Canvas,161.00,,179.00,,161.00,,179.00,,,,,,,,,,
AS3787,3787,,Taking a Break Gallery Wrapped Canvas,73.00,,81.00,,73.00,,81.00,,,,,,,,,,
AS4094,4094,,Western Skull Mount III Gallery Wrapped Canvas,194.00,,216.00,,194.00,,216.00,,,,,,,,,,
AS4922,4922,,Bonnie Portrait Framed Print,72.00,,80.00,,72.00,,80.00,,,,,,,,,,
