Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
KDR0750,R0750,723886507509,Moose Terry Kitchen Towel,2.85,,,,2.85,,,,,,,,,,,,
KDR0752,R0752,723886507523,Moose Wilderness Pot Holder,2.38,,2.50,,2.38,,,,,,,,,,,,
KDR3929,R3929,723886539296,Lake Lodge Table Runner,9.50,,10.00,,9.50,,,,,,,,,,,,
KDR9168,R9168,723886591683,Western Boots Tea Towel,2.85,,3.00,,3.00,,3.00,,,,,,,,,,
KDR9165,R9165,723886591652,Western Jacquard Tea Towel,2.85,,3.00,,3.00,,3.00,,,,,,,,,,
KDR2999,R2999,723886529990,Home Is Bear Tea Towel,2.85,,3.00,,2.85,,,,,,,,,,,,
KDR9166,R9166,723886591669,Bright Skies Southwest Napkin,1.90,,2.00,,2.00,,,,,,,,,,,,
KDR3000,R3000,723886530002,Welcome Cabin & Bear Terry Towel,2.85,,,,2.85,,,,,,,,,,,,
KDR9167,R9167,723886591676,Southwest Skull Tea Towel,2.85,,3.00,,3.00,,3.00,,,,,,,,,,
KDR0760,R0760,723886507608,Black Bear Terry Kitchen Towel,2.85,,3.00,,2.85,,,,,,,,,,,,
