Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
HFPPVE001G,PP-VE001G,,Coastal Stripes & Shells Rug - 8 x 10,350.00,,350.00,,350.00,,350.00,,,,,,,,,,
HFPYJG001,PY-JG001,,Fresh Catch Crab Accent Rug,22.50,,,,22.50,,,,,,,,,,,,
HFPPATV001G,PP-ATV001G,,Lighthouse Brigade Rug - 8 x 10,350.00,,,,350.00,,,,,,,,,,,,
HFPMFMC01E,PMF-MC001E,,Oceania Rug - 5 x 7,158.00,,158.00,,158.00,,158.00,,,,,,,,,,
HFPPHF006E,PP-HF006E,,Starfish Field Rug - 5 x 7,158.00,,,,158.00,,,,,,,,,,,,
HFPPHF039E,PP-HF039E,708793991948,Ocean Waves,158.00,,158.00,,158.00,,158.00,,,,,,,,,,
HFPPRP001J,PP-RP001J,,Underwater & Coral Starfish Rug,49.00,,,,49.00,,,,,,,,,,,,
HFPPRP006E,PP-RP006E,,Ocean Coral Rug - 5 x 7,158.00,,,,158.00,,,,,,,,,,,,
HFPPSGC01G,PPS-GC001G,,Serenity At Sea Rug - 8 x 10,350.00,,350.00,,350.00,,350.00,,,,,,,,,,
HFPPSJVP015B,PPS-JVP015B,708793991962,Sea Glass Sandollars,22.50,,22.50,,22.50,,22.50,,,,,,,,,,
HFPYMK011,PY-MK011,708793464220,Surfboard Hawaiian Turquoise Rug,39.50,,,,39.50,,,,,,,,,,,,
HFPPSGC01B,PPS-GC001B,,Serenity At Sea Rug - 22 x 34,22.50,,22.50,,22.50,,22.50,,,,,,,,,,
HFPYAS001,PY-AS001,,Reflective Sandpipers Accent Rug,22.50,,,,22.50,,,,,,,,,,,,
HFPPSPB063J,PPS-PB063J,HFPPSPB063J,White Coral Reef Rug,49.00,,49.00,,49.00,,,,,,,,,,,,
HFPPSSDG001G,PPS-SDG001G,,Nautical Plaid Indoor/Outdoor Rug - 8 x 10,350.00,,,,350.00,,,,,,,,,,,,
HFPMFJHN1C,PMF-JHN001C,,Surfside Sand Dollars Rug - 3 x 5,68.00,,68.00,,68.00,,68.00,,,,,,,,,,
HFPPSJVP015E,PPS-JVP015E,708793991986,Sea Glass Sandollars,158.00,,158.00,,158.00,,158.00,,,,,,,,,,
HFPPAJR014B,PP-AJR014B,708793990972,Starfish Scatter Rug - 22 x 34,22.50,,22.50,,22.50,,22.50,,,,,,,,,,
HFPPPB062C,PP-PB062C,,Sea Breeze Stripes Indoor/Outdoor Rug - 3 x 5,68.00,,,,68.00,,,,,,,,,,,,
HFPSJB115J,PPS-JB115J,,Beachcomber Neutral Rug - 26 x 60,49.00,,49.00,,49.00,,49.00,,,,,,,,,,
HFPPRP013B,PP-RP013B,,Shell Treasure Indoor/Outdoor Rug - 2 x 3,22.50,,,,22.50,,,,,,,,,,,,
