Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
GHCHHAMV2,CHHA-MV2,,"""Maverick II"" Chair and 1/2",1754.00,,1754.00,,1754.00,,1754.00,,,,,,,,,,
GHMAV10SOF,MAV10SOF,,Maverick 3 Cushion Sofa - 10 Ft.,4095.00,,4095.00,,4095.00,,4095.00,,,,,,,,,,
GHCHSTOT,CH-STOT,0,Stotler Lounge Chair,1345.00,,1345.00,,1345.00,,1345.00,,,,,,,,,,
GHDRKWGCH,DRKWGCH,,DKR Wing Chair,1495.00,,1495.00,,1495.00,,1495.00,,,,,,,,,,
GHMEDSWG,MEDSWG,,Medina Tall Back Swivel Glider,1545.00,,1545.00,,1545.00,,1545.00,,,,,,,,,,
GHVAQ10SOF,VAQ10SOF,,Vaquero 3 Cushion Sofa - 10 Ft.,4295.00,,4295.00,,4295.00,,4295.00,,,,,,,,,,
GHBOW20128INCH,BOW201-28Inch,,Bowlegged Barstool,307.00,,307.00,,307.00,,307.00,,,,,,,,,,
GHGRAYQUADPILLO,GRAYQUADPILLO,,Gray Cowhide Pillow,70.00,,70.00,,70.00,,70.00,,,,,,,,,,
GHROE142TRIHIDE,ROE142-Trihide,,Rodeo Recliner,1780.00,,1780.00,,1780.00,,1780.00,,,,,,,,,,
GHOTTODURII,OTTO-DURII,,"""Durango II"" Medium Ottoman",690.00,,690.00,,690.00,,690.00,,,,,,,,,,
GHWHITEQUADPILL,WHITEQUADPILL,,White Cowhide Pillow,70.00,,70.00,,70.00,,70.00,,,,,,,,,,
GHTBSGSNOW,TBSG-SNOW,0,"""Snowmass"" tall back tufted swivel glider",1595.00,,1595.00,,1595.00,,1595.00,,,,,,,,,,
GHTRMPH36OTT,TRMPH36OTT,,Triumph Ottoman,795.00,,795.00,,795.00,,795.00,,,,,,,,,,
GHVAQUEROOTTO,VAQUEROOTTO,,Vaquero Ottoman,1295.00,,1295.00,,1295.00,,1295.00,,,,,,,,,,
GHSAT142,SAT142,,San Antonio Swivel/Glider Recliner,1710.00,,1710.00,,1710.00,,1710.00,,,,,,,,,,
GHSGLUC,SG-LU C,,Luchesse Swivel Glider,1260.00,,1260.00,,1260.00,,1260.00,,,,,,,,,,
GHWESTEXCOFFCH,WESTEXCOFFCH,,Western Executive Office Chair,1695.00,,1695.00,,1695.00,,1695.00,,,,,,,,,,
GHCOL201,COL201,,Colorado Barstool,973.00,,973.00,,973.00,,973.00,,,,,,,,,,
GHFTWORTHCHSLNG,FTWORTHCHSLNG,,Ft. Worth Chaise Lounge,2095.00,,2095.00,,2095.00,,2095.00,,,,,,,,,,
GHGUNNCH,GUNNCH,,Gunner Leather Chair,1370.00,,1370.00,,1370.00,,1370.00,,,,,,,,,,
GHOTTOMESA36,OTTO-MESA36,0,Mesa Square Ottoman,895.00,,895.00,,895.00,,895.00,,,,,,,,,,
GHWHITECUBEOTT,WHITECUBEOTT,,Cowhide Cube Ottoman - White,150.00,,150.00,,150.00,,150.00,,,,,,,,,,
GHLSGR,LS-GR,,Grey Rock Tufed Love Seat,2745.00,,2745.00,,2745.00,,2745.00,,,,,,,,,,
GHROJAOTTO,ROJAOTTO,,Roja Ottoman,1145.00,,1145.00,,1145.00,,1145.00,,,,,,,,,,
GHWESROYCHHF,WESROYCHHF,,Western Royalty Chair and a Half,1795.00,,1795.00,,1795.00,,1795.00,,,,,,,,,,
GH24OTTOLTBROWN,24OTTOLTBROWN,,Light Brown Round Cowhide Ottoman - 24 Inch,165.00,,165.00,,165.00,,165.00,,,,,,,,,,
GHHAVTFTOTTO,HAVTFTOTTO,,Havana Tufted Ottoman,1145.00,,1145.00,,1145.00,,1145.00,,,,,,,,,,
GHMRT003,MRT003,,Martin Sofa,2479.00,,2479.00,,2479.00,,2479.00,,,,,,,,,,
GHCALISWVGLD,CALISWVGLD,,California Swivel Glider,1345.00,,1345.00,,1345.00,,1345.00,,,,,,,,,,
GHCLUMV,CLU-MV,0,"""Maverick"" Club Chair",1495.00,,1495.00,,1495.00,,1495.00,,,,,,,,,,
GHBRO001,BRO001,,Bronco Chair,1331.00,,1331.00,,1331.00,,1331.00,,,,,,,,,,
GHCHCH,CH-CH,,Brazilian Cowhide - Champagne,245.00,,245.00,,245.00,,245.00,,,,,,,,,,
GHGUNNOTTO,GUNNOTTO,,Gunner Leather Ottoman,635.00,,635.00,,635.00,,635.00,,,,,,,,,,
GHLCHGR,LCH-GR,,Grey Rock Lounge chair,1165.00,,1165.00,,1165.00,,1165.00,,,,,,,,,,
GHLNGHRNCHS,LNGHRNCHS,,Longhorn Chaise Lounge,2195.00,,2195.00,,2195.00,,2195.00,,,,,,,,,,
GHOTTOVIC,OTTO-VIC,0,"""Victoria"" small roll top Ottoman",595.00,,595.00,,595.00,,595.00,,,,,,,,,,
GHWESTROYCLCH,WESTROYCLCH,,Western Royalty Club Chair,1595.00,,1595.00,,1595.00,,1595.00,,,,,,,,,,
GHDURAN2OTTO,DURAN2OTTO,,Turquoise Leather & Cowhide Ottoman,645.00,,645.00,,645.00,,645.00,,,,,,,,,,
GHOTTOVAQR,OTTO-VAQR,0,"""Vaquero"" Rectangle 36""x60"" Ottoman",1295.00,,1295.00,,1295.00,,1295.00,,,,,,,,,,
GHWILDHORSSLWG,WILDHORSSLWG,,Wild Horse Saloon Wing Back Chair,1395.00,,1395.00,,1395.00,,1395.00,,,,,,,,,,
GHALBUSWVGLD,ALBUSWVGLD,,Albuquerque Swivel Glider,1345.00,,1345.00,,1345.00,,1345.00,,,,,,,,,,
GHCHHALG,CHHA-LG,0,"""Longhorn"" Chair and 1/2",1795.00,,1795.00,,1795.00,,1795.00,,,,,,,,,,
GHCOWHIDECUBEOT,COWHIDECUBEOT,,Cowhide Cube Ottoman,495.00,,495.00,,495.00,,495.00,,,,,,,,,,
GHGRAYCUBEOTT,GRAYCUBEOTT,,Cowhide Cube Ottoman - Gray,150.00,,150.00,,150.00,,150.00,,,,,,,,,,
GHHAVTFTCLBCH,HAVTFTCLBCH,,Havana Tufted Club Chair,1795.00,,1795.00,,1795.00,,1795.00,,,,,,,,,,
GHLSBART,LS-BART,,Bartlett Love Seat,2390.00,,2390.00,,2390.00,,2390.00,,,,,,,,,,
GHMAN003,MAN003,,Manhattan Sofa,2421.00,,2421.00,,2421.00,,2421.00,,,,,,,,,,
GHMAVCHANDHALF,MAVCHANDHALF,,Maverick Chair and a Half,1745.00,,1745.00,,1745.00,,1745.00,,,,,,,,,,
GHRAN150,RAN150,,Ranger Wing Club Chair,1843.00,,1843.00,,1843.00,,1843.00,,,,,,,,,,
GHVICLOCH,VICLOCH,,Victoria Lounge Chair,1295.00,,1295.00,,1295.00,,1295.00,,,,,,,,,,
GH36OTTOGRAY,36OTTOGRAY,,Gray Round Cowhide Ottoman - 36 Inch,375.00,,375.00,,375.00,,375.00,,,,,,,,,,
GHCBCVAQ,CBC-VAQ,,Vaquero Curved Back Chair,1520.00,,1520.00,,1520.00,,1520.00,,,,,,,,,,
GHCLUMV2,CLU-MV2,,"""Maverick II"" Club Chair",1545.00,,1545.00,,1545.00,,1545.00,,,,,,,,,,
GHADSWG,ADSWG,,Adrian Swivel Glider,1295.00,,1295.00,,1295.00,,1295.00,,,,,,,,,,
GHAMARCOWOTTO,AMARCOWOTTO,,Boomtown Brindle Cowhide Ottoman,1095.00,,1095.00,,1095.00,,1095.00,,,,,,,,,,
GHCHLQ,CHL-Q,0,"""Queen"" Chaise Lounge",2195.00,,2195.00,,2195.00,,2195.00,,,,,,,,,,
GHCOW20228INCH,COW202-28Inch,,XL Cowgirl Barstool,307.00,,307.00,,307.00,,307.00,,,,,,,,,,
GHOTTOHD,OTTO-HD,0,Hondo Rectangle Ottoman,1195.00,,1195.00,,1195.00,,1195.00,,,,,,,,,,
GHRANF10SOF,RANF10SOF,,Ranch Foreman Sofa - 10 Ft.,4195.00,,4195.00,,4195.00,,4195.00,,,,,,,,,,
GHTBSGLH,TBSG-LH,0,"""Longhorn"" Tallback Swivel Glider",1395.00,,1395.00,,1395.00,,1395.00,,,,,,,,,,
GH36OTTOWHITE,36OTTOWHITE,,White Round Cowhide Ottoman - 36 Inch,375.00,,375.00,,375.00,,375.00,,,,,,,,,,
GHCHLCOL,CHL-COL,0,Colorado Chaise Lounge,2345.00,,2345.00,,2345.00,,2345.00,,,,,,,,,,
GHCSSR,CS-SR,,Splitrail Conversational Sofa,3475.00,,3475.00,,3475.00,,3475.00,,,,,,,,,,
