Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
DDRAULOXT30X2,"RAULOX-T30""x2",,Turquoise Santa Fe Barstools - Set of 2,430.00,,,,430.00,,,,,,,,,,,,
DD-881-45,DD-881-45,,Chaps Bench - Large,300.00,,,,300.00,,,,,,,,,,,,
DDLQBLKTQ,LQ-BLKT-Q,,La Quinta Blanket Chest - Queen,475.00,,,,475.00,,,,,,,,,,,,
DDWALBARTURQ,ASTeal-Turqcroc ,,Laramie Plains Barstool with Turquoise Leather,400.00,,,,400.00,,,,,,,,,,,,
DDSANDPED36,SANDPED36,,Hand Forged Mesquite Table with Turquoise Inlay - Large,210.00,,210.00,,210.00,,210.00,,,,,,,,,,
DD-881-24,DD-881-24,,Chaps Bench - Small,200.00,,,,200.00,,,,,,,,,,,,
DDSANDPED30,SANDPED30,,Hand Forged Mesquite Table with Turquoise Inlay - Medium,190.00,,190.00,,190.00,,190.00,,,,,,,,,,
DDSTW1545,STW1545,,Horseshoe Wine Rack Table,285.00,,,,285.00,,,,,,,,,,,,
DDLQBLKTK,LQ-BLKT-K,,La Quinta Blanket Chest - King,525.00,,,,525.00,,,,,,,,,,,,
DD-OXYT,OXYT,,Turquoise Inlay Table,950.00,,950.00,,950.00,,950.00,,,,,,,,,,
DDLAQNST,LAQ-NS-T,,San Miguel Turquoise Nightstand,395.00,,,,395.00,,,,,,,,,,,,
DDHSTW,HSTW,,Horseshoe Towel Holder,40.00,,,,40.00,,,,,,,,,,,,
DDSANDPED24,SANDPED24,,Hand Forged Mesquite Table with Turquoise Inlay - Small,185.00,,185.00,,185.00,,185.00,,,,,,,,,,
DDROPSTOOL30,ROP-STOOL-30,,Carved Wood Roper Bar Stool - Bar Height,210.00,,,,210.00,,,,,,,,,,,,
