Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
HOL809AU7,L809A-U7,,Harbour Island Floor Lamp,114.00,,120.00,,114.00,,120.00,,,,,,,,,,
HOL1156U,L1156-U,,Richmond Floor Lamp Black,111.63,,117.50,,111.62,,117.50,,,,,,,,,,
HOCL2587BC,CL2587BC,,Newton Chandelier,95.00,,100.00,,95.00,,100.00,,,,,,,,,,
HOL2088BWU1,L2088BW-U1,,Wimberly Wood Table Lamp Tan Linen Shade,95.00,,100.00,,95.00,,100.00,,,,,,,,,,
HOL2769UP1,L2769-UP1,,Champion,25.65,,27.00,,25.65,,27.00,,,,,,,,,,
HOL1984BLU1,L1984BL-U1,,Spa Glass Table Lamp with Burlap Shade,66.50,,70.00,,66.50,,70.00,,,,,,,,,,
HOL2573BNU1,L2573BNU1,,Pinecone Perch Table Lamp,47.50,,,,47.50,,,,,,,,,,,,
HOL2137GRUP1,L2137GR-UP1,,Starfish Buoy,19.00,,20.00,,19.00,,20.00,,,,,,,,,,
HOL2591BNUP1,L2591BN-UP1,,Hooâs Home Accents Lamp,40.38,,42.50,,40.38,,42.50,,,,,,,,,,
HOL776U,L776-U,,Richmond Table Lamp Black,77.90,,82.00,,77.90,,82.00,,,,,,,,,,
HOL813U,L813-U,,Standing Horse Table Lamp,47.50,,50.00,,47.50,,50.00,,,,,,,,,,
HOL1459TPU1,L1459TP-U1,,Bayfield Taupe Floor Lamp,66.50,,70.00,,66.50,,70.00,,,,,,,,,,
HOL2539SGU1,L2539SG-U1,848527060165,ATHENS CERAMIC SAGE GLOSS,109.25,,115.00,,114.00,,120.00,,,,,,,,,,
HOL2586BNU3,L2586BN-U3,,Lexington Table Lamp Jefferson Linen,47.50,,50.00,,47.50,,50.00,,,,,,,,,,
HOL2768BL,L2768BL,,Starfish & Seahorse Lantern - Blue,20.00,,22.00,,22.00,,22.00,,,,,,,,,,
HOL2385BNU1,L2385BN-U1,,Sonoma Wood Table Lamp,133.00,,140.00,,133.00,,140.00,,,,,,,,,,
HOL1968BKU6,L1968BK-U6,,Bishop Black With Dakota Shade,71.25,,75.00,,71.25,,75.00,,,,,,,,,,
HOL2295BLU1,L2295BL-U1,,Waterstone Table Lamp,38.00,,40.00,,38.00,,40.00,,,,,,,,,,
HOL2611UP1,L2611-UP1,,Welcome Aboard,22.80,,24.00,,22.80,,24.00,,,,,,,,,,
HOL2704U1,L2704U1,,Sea Glass Escape Table Lamp,37.00,,40.00,,40.00,,40.00,,,,,,,,,,
HOL1984BLU4,L1984BL-U4,,Crystal Bay Table Lamp,66.50,,70.00,,66.50,,70.00,,,,,,,,,,
HOCL2584BNU1,CL2584BN-U1,,Mendocino Chandelier,142.50,,150.00,,142.50,,150.00,,,,,,,,,,
HOL2293LGU1,L2293LG-U1,848527042192,ARLINGTON TBL W/MESH METAL SH,142.50,,150.00,,147.25,,155.00,,,,,,,,,,
HOL2587IVU1,L2587IV-U1,,Ridges Ivory Table Lamp,114.00,,120.00,,114.00,,120.00,,,,,,,,,,
HOL1960BLU1,L1960BL-U1,,St. Tropez Blue Spa Table Lamp,71.25,,75.00,,71.25,,75.00,,,,,,,,,,
HOL2439GNSU1,L2439GNS-U1,,Cambridge Seafoam,76.00,,80.00,,76.00,,80.00,,,,,,,,,,
HOL2768WH,L2768WH,,Starfish & Seahorse Lantern - White,20.00,,22.00,,22.00,,22.00,,,,,,,,,,
HOL2695DWUP1,L2695DW-UP1,848527083416,LUXEMBOURG,19.00,,20.00,,23.75,,25.00,,,,,,,,,,
HOL2587BLU1,L2587BL-U1,,Ridges Blue Table Lamp with Burlap Shade,114.00,,120.00,,114.00,,120.00,,,,,,,,,,
HOL2137GRU1X2,L2137GR-U1x2,,Starfish Buoy Accent Lamp with Burlap Shade - Set of 2,38.00,,40.00,,38.00,,40.00,,,,,,,,,,
HOL1859AU10,L1859A-U10,,Harlan with Birch Trees Table Lamp,66.50,,70.00,,66.50,,70.00,,,,,,,,,,
HO1707UP3,1707-UP3,,Stirrup Accent Lamp,16.63,,17.50,,17.10,,18.00,,,,,,,,,,
HOL2767WHUP1,L2767WH-UP1,848527083102,MINI TWIST ACCENT LAMP WH,16.63,,17.50,,21.38,,22.50,,,,,,,,,,
HOL1968WHU12,L1968WH-U12,848527083874,"BISHOP WH, JEFFERSON LINEN",71.25,,75.00,,76.00,,80.00,,,,,,,,,,
HOL2137BLUP1,L2137BL-UP1,,Shell Fish Buoy Accent Lamp,19.00,,20.00,,19.00,,20.00,,,,,,,,,,
HOL1458WHU1,L1458WH-U1,,"Bayfield White Table Lamp, Linen Shade",52.25,,55.00,,52.25,,55.00,,,,,,,,,,
HOL2537RDU1,L2537RD-U1,,Sailors Call Red,28.50,,30.00,,28.50,,30.00,,,,,,,,,,
