Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
ISAWBLXDUFL6,AWBL-XDUFL6,,Boardwalk Blue Duvet Set - Full,234.00,,,,234.00,,,,,,,,,,,,
ISBALIXDUQN6,BALI-XDUQN6,,Tahiti Duvet Set - Queen,169.00,,,,169.00,,,,,,,,,,,,
ISCUBAXDUTW5,CUBA-XDUTW5,,Faraway Bay Duvet Set - Twin,119.00,,,,119.00,,,,,,,,,,,,
ISPLSPXDUQN6,PLSP-XDUQN6,,Aqua Leaves 6 Piece Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISAWBLXDUQN6,AWBL-XDUQN6,,Boardwalk Blue Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISSEMEXDUKG6,SEME-XDUKG6,,Sand and Surf Duvet Set - King,349.00,,,,349.00,,,,,,,,,,,,
ISSSNAXDUCK6,SSNA-XDUCK6,,Cabana Stripe Royal Duvet Set - Cal King,299.00,,,,299.00,,,,,,,,,,,,
ISWHITXDUQN6,WHIT-XDUQN6,,Pearl Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISBALIXDUTW5,BALI-XDUTW5,,Tahiti Duvet Set - Twin,119.00,,,,119.00,,,,,,,,,,,,
ISFMSAXDUTW5,FMSA-XDUTW5,,Ahoy Sand Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISNANTXDUKG6,NANT-XDUKG6,,Floral Paradise 6 Piece Duvet Set - King,299.00,,,,299.00,,,,,,,,,,,,
ISPABEXDUKG6,PABE-XDUKG6,,Tropics Duvet Set - King,189.00,,,,189.00,,,,,,,,,,,,
ISPADEXDUFL6,PADE-XDUFL6,,Indigo Cloud 6 Piece Duvet Set - Full,234.00,,,,234.00,,,,,,,,,,,,
ISBSCAXDUTW5,BSCA-XDUTW5,,Teal Isle Stripe 5 Piece Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISRESEXDUQN6,RESE-XDUQN6,,Aqua Bay Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISCAMBXDUTW5,CAMB-XDUTW5,,Rust Brocade 5 Piece Duvet Set - Twin,249.00,,,,249.00,,,,,,,,,,,,
ISBSCAXDUQN6,BSCA-XDUQN6,,Teal Isle Stripe 6 Piece Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISNANTXDUTW5,NANT-XDUTW5,,Floral Paradise 5 Piece Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISCABOXDUTW5,CABO-XDUTW5,,Ocho Rios Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISLALUXDUKG6,LALU-XDUKG6,,Maui Luau 6 Piece Duvet Set with Mixed Pillows - King,189.00,,,,189.00,,,,,,,,,,,,
ISPLCOXDUKG6,PLCO-XDUKG6,,Copper Leaves 6 Piece Duvet Set - King,299.00,,,,299.00,,,,,,,,,,,,
ISSSCAXDUKG6,SSCA-XDUKG6,,Cabana Stripe Turquoise Duvet Set - King,299.00,,,,299.00,,,,,,,,,,,,
ISCOGAXDUFL6,COGA-XDUFL6,,Tropical Coral 6 Piece Duvet Set - Full,284.00,,,,284.00,,,,,,,,,,,,
ISNAOCXDUCK6,NAOC-XDUCK6,,Cote D'Azur Ocean Duvet Set - Cal King,299.00,,,,299.00,,,,,,,,,,,,
ISRESEXDUTW5,RESE-XDUTW5,,Aqua Bay Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISPADEXDUQN6,PADE-XDUQN6,,Indigo Cloud 6 Piece Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISFMBLXDUTW5,FMBL-XDUTW5,,Ahoy Blue Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISNAOCXDUTW5,NAOC-XDUTW5,,Cote D'Azur Ocean Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISAABLXDUTW5,AABL-XDUTW5,,Marina Blue Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISFMBLXDUQN6,FMBL-XDUQN6,,Ahoy Blue Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISFMSAXDUKG6,FMSA-XDUKG6,,Ahoy Sand Duvet Set - King,299.00,,,,299.00,,,,,,,,,,,,
ISHASHXDUQN6,HASH-XDUQN6,,Seaside Escape Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISPABEXDUFL6,PABE-XDUFL6,,Tropics Duvet Set - Full,149.00,,,,149.00,,,,,,,,,,,,
ISPADEXDUKG6,PADE-XDUKG6,,Indigo Cloud 6 Piece Duvet Set - King,299.00,,,,299.00,,,,,,,,,,,,
ISSEMEXDUFL6,SEME-XDUFL6,,Sand and Surf Duvet Set - Full,284.00,,,,284.00,,,,,,,,,,,,
ISWHITXDUTW5,WHIT-XDUTW5,,Pearl Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISPADEXDUTW5,PADE-XDUTW5,,Indigo Cloud 5 Piece Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISCAMBXDUKG6,CAMB-XDUKG6,,Rust Brocade 6 Piece Duvet Set - King,349.00,,,,349.00,,,,,,,,,,,,
ISCOGAXDUCK6,COGA-XDUCK6,,Tropical Coral 6 Piece Duvet Set - California King,349.00,,,,349.00,,,,,,,,,,,,
ISCRBLXDUKG6,CRBL-XDUKG6,,Lobster Bay Blue Duvet Set - King,299.00,,,,299.00,,,,,,,,,,,,
ISTOSEXDUCK6,TOSE-XDUCK6,,Bombay Duvet Set - Cal King,299.00,,,,299.00,,,,,,,,,,,,
ISWHITXDUKG6,WHIT-XDUKG6,,Pearl Duvet Set - King,299.00,,,,299.00,,,,,,,,,,,,
ISBEBUXDUTW5,BEBU-XDUTW5,,Oceanscape Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISBIMIXDT5,BIMI-XDUTW5,,Bimini Supreme Duvet Set - Twin,224.00,,224.00,,224.00,,224.00,,,,,,,,,,
ISSBSAXDUTW5,SBSA-XDUTW5,,Outer Shores Sand Duvet Set - Twin,199.00,,,,199.00,,,,,,,,,,,,
ISFMSAXDUCK6,FMSA-XDUCK6,,Ahoy Sand Duvet Set - Cal King,299.00,,,,299.00,,,,,,,,,,,,
ISGACAXDUQN6,GACA-XDUQN6,,Camo Universe 6 Piece Duvet Set - Queen,169.00,,,,169.00,,,,,,,,,,,,
ISAWBLXDUCK6,AWBL-XDUCK6,,Boardwalk Blue Duvet Set - Cal King,299.00,,,,299.00,,,,,,,,,,,,
ISBIMIXDQ6,BIMI-XDUQN6,,Bimini Supreme Duvet Set - Queen,309.00,,309.00,,309.00,,309.00,,,,,,,,,,
ISCAMBXDUCK6,CAMB-XDUCK6,,Rust Brocade 6 Piece Duvet Set - California King,349.00,,,,349.00,,,,,,,,,,,,
ISHASHXDUCK6,HASH-XDUCK6,,Seaside Escape Duvet Set - Cal King,299.00,,,,299.00,,,,,,,,,,,,
ISNAOCXDUFL6,NAOC-XDUFL6,,Cote D'Azur Ocean Duvet Set - Full,234.00,,,,234.00,,,,,,,,,,,,
ISBALIXDUKG6,BALI-XDUKG6,,Tahiti Duvet Set - King,189.00,,,,189.00,,,,,,,,,,,,
ISBSSAXDUQN6,BSSA-XDUQN6,,Beach Breeze Stripe Sand Duvet Set - Queen,259.00,,,,259.00,,,,,,,,,,,,
ISNANTXDUCK6,NANT-XDUCK6,,Floral Paradise 6 Piece Duvet Set - California King,299.00,,,,299.00,,,,,,,,,,,,
ISPADEXDUCK6,PADE-XDUCK6,,Indigo Cloud 6 Piece Duvet Set - California King,299.00,,,,299.00,,,,,,,,,,,,
ISSEMEXDUCK6,SEME-XDUCK6,,Sand and Surf Duvet Set - Cal King,349.00,,,,349.00,,,,,,,,,,,,
