Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
NTDVHIDE,DVHIDE,,Tooled Leather and Cowhide Bench,513.00,,570.00,,513.00,,570.00,,,,,,,,,,
NTPILDRESS7B,PILDRESS7B,,Pillares Dresser,1400.00,,1315.00,,1400.00,,1315.00,,,,,,,,,,
NTRAC10B,RAC10B,,Raphael Colonial Arm Chair,747.00,,830.00,,747.00,,830.00,,,,,,,,,,
NTSHRC10TQX2,SHRC10TQX2,,Spanish Heritage Turquoise Round Counter Stool - Set of 2,820.80,,912.00,,820.80,,912.00,,,,,,,,,,
NT-SPBEDEK2617,SPBEDEK2617,,Spanish Bed - Easter KG - Posse Back/Steer w-Brands Footbd,2250.00,,2500.00,,2250.00,,2500.00,,,,,,,,,,
NTWIBSWB10GX3,WIBWB10Gx3,,Western Iron Sage Green Barstool with Back - Colonial - Set of 3,1000.35,,1111.50,,1000.35,,1111.50,,,,,,,,,,
NT-SIBENCH-27,SIBENCH Red Leather Kokopelli Feather,,Tooled Leather Bench,594.00,,660.00,,594.00,,660.00,,,,,Red Leather,,Kokopelli Feather,,,
NTWICX3-22,WIC10Rx3,,Colonial - Red,833.63,,926.26,,833.63,,926.26,,,,,Colonial,,Red,,,
NT-SHB17-27B-1,SHB17-27B Home Delivery,,Western Spanish Heritage Counterstools - Set of 2,1026.00,,1140.00,,1026.00,,1140.00,,,,,Home Delivery,,,,,
NT-SIBENCH-28,SIBENCH Red Leather Bucking Bronco,,Tooled Leather Bench,594.00,,660.00,,594.00,,660.00,,,,,Red Leather,,Bucking Bronco,,,
NTOTCLSQMD-CUST,OT-CL-SQ-MD(Custom 14x14x14 w/Brand on all 4 sides & Larger Brand on top),,Medium Leather Ottoman (Custom- 14x14x14 w/Brand on 4 sides & larger brand on top),275.00,,305.56,,275.00,,305.56,,,,,,,,,,
NTSVHIDE10R,SVHIDE10R,,Western Single Vanity Bench with Hair on Hide - Red,405.00,,450.00,,405.00,,450.00,,,,,,,,,,
NTWIBSWARMS39,WIBSWARMS39,0,western iron barstool w/back w/swivel w/arms classico,395.00,,394.44,,395.00,,394.44,,,,,,,,,,
NT-WIBWB12ABCST,"wibwb12 ab CUSTOM (Iron Bar Stool-Plain Leather-Nailhead Seat w/Back NO SWIVEL 30"" High",,"Iron Bar Stool-Plain Leather-Nailhead Seat w/Back NO SWIVEL 30"" High",250.00,,277.78,,250.00,,277.78,,,,,,,,,,
NTWICWB25YX3,WICWB25Yx3,,Western Iron Mustard Counter Stool with Back - Bronco - Set of 3,1000.35,,1111.50,,1000.35,,1111.50,,,,,,,,,,
NTWIBX2-21,WIB10ABx2,,Colonial - Antique Brown,555.75,,617.50,,555.75,,617.50,,,,,Colonial,,Antique Brown,,,
NTI10BX3,I10Bx3,,Imperial Barstool with Tooled Leather - Set of 3,1782.00,,1980.00,,1782.00,,1980.00,,,,,,,,,,
NTSHRBX2-11,SHRB26Inch-10Bx2,,Colonial Spanish Heritage Round Barstool - Set of 2,820.80,,912.00,,820.80,,912.00,,,,,,,,,,
NTSVHIDE10B,SVHIDE10B,,Western Single Vanity Bench with Hair on Hide - Brown,405.00,,450.00,,405.00,,450.00,,,,,,,,,,
NTWICCWSHOH10X3,NTWICCWSHOH10X3,,Coronado Iron Counter stools - Set of 3,859.28,,954.76,,859.28,,954.76,,,,,,,,,,
NTWICTBRIDSILLR,WICTBRAIDSILLR,0,"Western Iron Counterstool, Ash Turquoise Braided Leather, Silver Iron",295.00,,327.78,,295.00,,327.78,,,,,,,,,,
NTWIB-21,WIB12AB,,Plain with Nailheads - Antique Brown,277.88,,308.76,,277.88,,308.76,,,,,Plain with Nailheads,,Antique Brown,,,
NTWICX2-11,WIC12ABx2,,Plain with Nailheads - Antique Brown,555.75,,617.50,,555.75,,617.50,,,,,Plain with Nailheads,,Antique Brown,,,
NTBENCAT,BenCat,,Catania Bench,630.00,,700.00,,630.00,,700.00,,,,,,,,,,
