Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
ALADMP2,AD-MP2,0,Polished Metal Manta Ray - Large,22.00,,22.00,,22.00,,22.00,,,,,,,,,,
ALCA017S,CA-017S,0,Copper Dripped Fish - Set of 3,10.00,,10.00,,10.00,,10.00,,,,,,,,,,
ALCP011,CP-011,,Wavy Fin Copper Dripped Angelfish,12.00,,12.00,,12.00,,12.00,,,,,,,,,,
ALCP081X,CP-081X,0,Copper Dripped Circle Gecko Metal Wall Art - Extra Large,39.00,,39.00,,39.00,,39.00,,,,,,,,,,
AL-GL-TVASEL,AL-GL-TVASEL-CRACKLE GLASS REPLACEMENT,0,Turquoise crackle glass triangle,59.00,,59.00,,59.00,,59.00,,,,,,,,,,
ALGL031M-2,GL031MA,,Southwestern Flower Glass Pendant Light - Medium,54.00,,54.00,,54.00,,54.00,,,,,Amber,,0,,0,
ALGL035S-2,GL-035-LA,0,Southwest Glass Sphere Pendant Light - Large,82.00,,82.00,,82.00,,82.00,,,,,Amber,,0,,0,
ALTLC2-2,TL-C2-PR-18A,,Turquoise Pottery Table Lamp with Rawhide Shade,159.00,,159.00,,159.00,,159.00,,,,,Amber,,0,,0,
ALGL031M-3,GL031MT,,Southwestern Flower Glass Pendant Light - Medium,54.00,,54.00,,54.00,,54.00,,,,,Turquoise,,0,,0,
ALB075,B-075,,Copper Dripped Crab - Large,32.50,,32.50,,32.50,,32.50,,,,,,,,,,
ALCA680,CA-680,,Copper Dripped Seahorse,53.50,,53.50,,53.50,,53.50,,,,,,,,,,
ALTLADL2P20T,TLADL2P20T,,Santa Cruz Turquoise Table Lamp with Rawhide Shade,188.00,,188.00,,188.00,,188.00,,,,,,,,,,
ALGL035O-2,GL-035-0A,0,Southwest Glass Sphere Pendant Light - Small,46.00,,49.00,,49.00,,49.00,,,,,Amber,,0,,0,
ALTLATE3PR20-1,TLATE3PR20LB,0,Desert Flower Iron Table Lamp with Rawhide Shade,179.00,,179.00,,179.00,,179.00,,,,,Natural,,0,,0,
ALTLL5PRC8-1,TLL5PRC8LB,0,Santa Clara Accent Lamp with Rawhide Shade,151.00,,151.00,,151.00,,151.00,,,,,Natural,,0,,0,
ALAD112CLA012X3,AD-112-CLA012X3,,Torn Edge Metal Candle Holders - Set of 3,55.00,,55.00,,55.00,,55.00,,,,,,,,,,
ALATE017R,ATE017R,,Wings with Hearts Metal Wall Art,34.50,,34.50,,34.50,,34.50,,,,,,,,,,
ALCP075X,CP-075X,0,Colorful Shell Copper Dripped Turtle - Extra Large,59.00,,59.00,,59.00,,59.00,,,,,,,,,,
AL-Z-17,AL-Z-17,,Rust Chandelier (Canopy only),6.00,,6.00,,6.00,,6.00,,,,,,,,,,
ALFTBCMD,FTBCMD,,Tequila Stave Round Coffee Table,475.00,,475.00,,475.00,,475.00,,,,,,,,,,
ALGLBCP4C,GL-BCP4-C,,Clear Glass Cylinder with Metal Polished Band Base Small,20.00,,20.00,,20.00,,24.00,,,,,,,,,,
