Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
UT20152,20152,792977201527,Antiqued Gold Leaf Moose Antler Bowl,100.98,,100.98,,100.98,,100.98,,,,,,,,,,
UT23131,23131,792977897607,Jia Ottoman,141.78,,141.78,,141.78,,141.78,,,,,,,,,,
UT24677,24677,7.92978E+11,Pieced Aluminum Stool on Chunky Legs,99.00,,99.00,,99.00,,99.00,,,,,,,,,,
UT710819,71081-9,792977795712,Native Stone-washed Indigo Rug - 9 x 12,299.00,,299.00,,299.00,,299.00,,,,,,,,,,
UT21856,21856,792977218563,Brandon Silver Mini Pendant,115.26,,115.26,,115.26,,115.26,,,,,,,,,,
UT23091,23091,792977230916,Shea Small Bench,115.26,,115.26,,115.26,,115.26,,,,,,,,,,
UT24491,24491,792977244913,Reclaimed Wood Accent Table with Aluminum Top,217.26,,217.26,,217.26,,217.26,,,,,,,,,,
UT25779,25779,792977257791,Slatted Round Accent Table with Hammered Metal Top,202.98,,202.98,,202.98,,202.98,,,,,,,,,,
UT273151,27315-1,792977273159,Horizontal Dark Mocha & Ivory Stripe Table Lamp,126.48,,126.48,,126.48,,126.48,,,,,,,,,,
UT34267,34267,792977342671,Middle Canvas Wall Art,182.58,,182.58,,182.58,,182.58,,,,,,,,,,
UT19344,19344,792977193440,Buck Statues - Set of 2,100.98,,100.98,,100.98,,100.98,,,,,,,,,,
UT32224,32224,792977322246,Dewdrops Canvas Wall Art,201.96,,201.96,,201.96,,201.96,,,,,,,,,,
UT20138,20138,,Marine Mollusc - Set of 2,89.00,,,,89.00,,,,,,,,,,,,
UT33668,33668,792977336687,Graceful Beach Birds Framed Prints - Set of 2,139.74,,139.74,,139.74,,139.74,,,,,,,,,,
UT710815,71081-5,792977795736,Native Stone-washed Indigo Rug - 5 x 8,124.00,,124.00,,124.00,,124.00,,,,,,,,,,
UT07634,07634,792977076347,Vermundo Mirror,201.96,,201.96,,201.96,,201.96,,,,,,,,,,
UT09297,09297,792977092972,Parquet Wood Mirror,141.78,,141.78,,141.78,,141.78,,,,,,,,,,
UT19976,19976,792977199763,White Blade Coral Statue,90.78,,90.78,,90.78,,90.78,,,,,,,,,,
UT22050,22050,792977220504,Nashua 4 Light Pendant,182.58,,182.58,,182.58,,182.58,,,,,,,,,,
UT22464,22464,792977224649,Alita Champagne Wall Sconce,66.30,,66.30,,66.30,,66.30,,,,,,,,,,
UT25592,25592,792977255926,Teak Root Forest Table / Cube,100.98,,100.98,,100.98,,100.98,,,,,,,,,,
UT35312,35312,792977353127,Majestic Horse Wood Panel Wall Hanging,80.58,,80.58,,80.58,,80.58,,,,,,,,,,
UT19658,19658,792977196588,Citrita Vases - Set of 2,95.88,,95.88,,95.88,,95.88,,,,,,,,,,
UT295731,29573-1,792977295731,Minozzo Table Lamp,60.18,,60.18,,60.18,,60.18,,,,,,,,,,
UT700318,70031-8,792977783542,Uttermost Jaylin Wool 8 X 10 Rug,841.50,,841.50,,841.50,,841.50,,,,,,,,,,
UT711465,71146-5,792977783436,Uttermost Alvy 5 X 8 Tribal Rug,176.46,,176.46,,176.46,,176.46,,,,,,,,,,
UT21105,21105,792977211052,Knotted Rattan Pendant Light,131.58,,131.58,,131.58,,131.58,,,,,,,,,,
