Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
2LRBRTENDTBLMES,BRT-END TBL-MESQ-IR,,Mesquite and Turquoise Inlay End Tables,659.99,,659.99,,659.99,,659.99,,,,,,,,,,
2LRFEXCHESTOLDF,FEX-CHEST-OLDFASH,,Old Fashioned Collection Chest,899.99,,899.99,,899.99,,899.99,,,,,,,,,,
2LRLRP18RIATAR,LR-PILLOW-18X18-RIATAROSE,,Riata Rose Accent Pillow - 18 x 18,89.99,,,,89.99,,,,,,,,,,,,
2LRFXLPSHRW18-4,FEX-LMPSHADE-RWHD-18-N,,Durango Rawhide Shade - 18 Inch,65.99,,65.99,,65.99,,65.99,,,,,Natural,,,,,
2LRFEXWINERKOLD,FEX-WINERK-OLDFASH,,Old Fashioned Wine Cabinet,399.99,,399.99,,399.99,,399.99,,,,,,,,,,
2LRLRP24RIATARO,LR-PILLOW-24X24-SDL,,Saddle Collection Pillow - 24 x 24,105.99,,,,105.99,,,,,,,,,,,,
2LRLRPI18X18CAC,LR-PILLOW-SQ-FAB-18X18-Cactus,,Serape 18 x 18 Fabric Pillow - Cactus,29.99,,29.99,,29.99,,29.99,,,,,,,,,,
2LRFEXBAR6CED,FEX-BAR-6'-CEDARTOP-WINE,,Cedar Bar with Wine Rack,1459.99,,,,1459.99,,,,,,,,,,,,
2LRFEXBEDOXYOKQ,FEX-BED-OXYOKE-Q,,Oxyoke Queen Bed,1099.99,,1099.99,,1099.99,,1099.99,,,,,,,,,,
2LRMSGBRSREGARM,MSG-BRSTL-REGENCY-ARM,,Ranch Regency Barstool with Arms,799.99,,799.99,,799.99,,799.99,,,,,,,,,,
2LRBRTBRSTLHER3,BRT-BRSTL-HERITAGE-28,,Heritage Barstool - 28 Inch,290.99,,,,290.99,,,,,,,,,,,,
2LRFEXTELETBLM,FEX-TELE-TBL-MD,,Telephone Table - Medium,69.99,,,,69.99,,,,,,,,,,,,
2LRFEXTELETBLS,FEX-TELE-TBL-SM,,Telephone Table - Small,59.99,,,,59.99,,,,,,,,,,,,
2LRFXLPSHRW22,FEX-LMPSHADE-RWHD-22,,Durango Rawhide Shade - 22 Inch,85.99,,85.99,,79.99,,85.99,,,,,,,,,,
2LRFEXTVSTANDOL,FEX-TVSTAND-OLDTIN,,Old Tin TV Stand,659.99,,659.99,,659.99,,659.99,,,,,,,,,,
2LRFXLPSHRW12-4,FEX-LMPSHADE-RWHD-12-N,,Durango Rawhide Shade - 12 Inch,34.99,,,,39.99,,,,,,,Natural,,,,,
2LRLRCHAIROFFI,LR-CHAIR-OFFICE-RANCH,,Ranch Collection Office Chair,699.99,,,,699.99,,,,,,,,,,,,
2LRFXLPSHRW15-3,FEX-LMPSHADE-RWHD-15-R,,Durango Rawhide Shade - 15 Inch,55.99,,55.99,,55.99,,55.99,,,,,Barn Red,,,,,
