Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
TA1607125X8,1607/12 5x8,,Capri Ethnic Border Pastel Rug - 5 x 8,120.00,,,,120.00,,,,,,,,,,,,
TA166524X8,1665/24x8,,Capri Jelly Fish Ocean Rug - 2 x 8,62.50,,70.00,,70.00,,70.00,,,,,,,,,,
TA32570327X8,"3257/03 27""x8'",,Arch Tile Lapis Rug - 2 x 8,115.00,,,,115.00,,,,,,,,,,,,
TA41403312X20,4140/33 12x20,,Sand Dollar Navy Pillow - 12 x 20,19.50,,,,23.50,,,,,,,,,,,,
TA41433320X20,4143/33 20x20,,Ornamental Knot Navy Pillow - 20 x 20,22.50,,,,24.50,,,,,,,,,,,,
TA6302482X3,6302/48 2x3,,Sorrento Rugby Stripe Black Rug - 2 x 3,12.00,,,,12.00,,,,,,,,,,,,
TA6305042X8,6305/04 2x8,,Sorrento Pinstripe Aqua Rug - 2 x 8,40.00,,,,40.00,,,,,,,,,,,,
TACAP71162012,CAP71162012,087215166042,"Liora Manne Capri Coral Bdr Indoor/Outdoor Rug Natural 7'6""X9'6""",240.00,,240.00,,240.00,,240.00,,,,,,,,,,
TAFTP23158644,FTP23158644,087215211797,"Liora Manne Frontporch Beach Patrol Indoor/Outdoor Rug Multi 24""X36""",19.95,,19.95,,19.95,,19.95,,,,,,,,,,
TAFTP23189903,FTP23189903,087215354661,"Liora Manne Frontporch Flamingo Indoor/Outdoor Rug Water 24""X36""",17.96,,19.95,,19.95,,19.95,,,,,,,,,,
TA1475041X2,1475/04 1x2,087215084162,Surf Dogs Beach Rug - 1 x 2,14.95,,,,15.95,,,,,,,,,,,,
TA415544,4155/44,,Lighthouse Multi Mat,19.25,,,,20.25,,,,,,,,,,,,
TATER23178327,TER23178327,087215232013,"Liora Manne Terrace Coral Bdr Indoor/Outdoor Rug Orange 23""X35""",9.50,,9.50,,9.50,,9.50,,,,,,,,,,
TATER80179027,TER80179027,087215235908,"Liora Manne Terrace Shell Toss Indoor/Outdoor Rug Orange 7'10""X9'10""",99.00,,99.00,,99.00,,99.00,,,,,,,,,,
TA1456481X2,1456/48 1x2,,Frontporch Ship Wheel Black Rug - 1 x 2,14.95,,,,15.95,,,,,,,,,,,,
