Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
MX1246L-4,1246L-Mesquite-beveled-Citr,,Ribbon Scroll Round Occasional Table,848.00,,848.00,,848.00,,848.00,,,,,Citrine,,,,,
MX1229G-12,1229G-Mesquite-rounded-Turq,,Ribbon Scroll Coffee Table,1288.00,,,,1288.00,,,,,,,Rounded,,Turquoise,,,
MX1263C-13,1263C-Mesquite-beveled-Coral,,Mesquite Accent Table with Magazine Rack,428.00,,,,428.00,,,,,,,Beveled,,Red Coral,,,
MX1211AA,1211AA,,Iron Twist Coffee Table,1139.00,,,,1139.00,,,,,,,,,,,,
MX1211C,1211C,,Iron Twist Large Console,1159.00,,,,1159.00,,,,,,,,,,,,
MX1263BB-13,1263BB-Mesquite-beveled-Coral,,Mesquite Scrollwork Large Accent Table,428.00,,,,428.00,,,,,,,Beveled,,Red Coral,,,
MX1263BB,1263BB,,Mesquite Scrollwork Large Accent Table,399.00,,,,399.00,,,,,,,,,,,,
MX1211AAF-2,1211AA-Mesquite-freeform-Turq,,Iron Twist Freeform Mesquite Coffee Table,1458.00,,1458.00,,1458.00,,1458.00,,,,,Turquoise,,,,,
MX1211AAR-1,1211AA-Mesquite-rounded-plain,,Iron Twist Coffee Table,1139.00,,1139.00,,1139.00,,1139.00,,,,,Plain,,,,,
MX1263B-23,1263B-Mesquite-rounded-Coral,,Mesquite Scrollwork Accent Table - Medium,254.00,,,,254.00,,,,,,,Rounded,,Red Coral,,,
MX1246L,1246L,,Ribbon Scroll Round Occasional Table,749.00,,749.00,,749.00,,749.00,,,,,,,,,,
MX1211A-4,1211A-Mesquite-rounded-Citr,,Iron Twist Square Coffee Table,1358.00,,,,1358.00,,,,,,,Citrine,,,,,
MX1211AAF-3,1211AA-Mesquite-freeform-Coral,,Iron Twist Freeform Mesquite Coffee Table,1458.00,,1458.00,,1458.00,,1458.00,,,,,Coral,,,,,
MX1211G-4,1211G-Mesquite-freeform-Citr,,Iron Twist Freeform Mesquite Coffee Table,1458.00,,,,1458.00,,,,,,,Citrine,,,,,
MX1211G-1,1211G-Mesquite-freeform,,Iron Twist Freeform Mesquite Coffee Table,1309.00,,,,1309.00,,,,,,,No Gemstone,,,,,
MX1212C-23,1212C-Mesquite-rounded-Coral,,Regal Twist Large Console,1308.00,,1308.00,,1308.00,,1308.00,,,,,Rounded,,Coral,,,
MX1263BB-22,1263BB-Mesquite-rounded-Turq,,Mesquite Scrollwork Large Accent Table,458.00,,,,458.00,,,,,,,Rounded,,Turquoise,,,
MX1212FF-21,1212FF-Mesquite-rounded,,Regal Twist Large Console,1159.00,,,,1159.00,,,,,,,Rounded,,No Gemstone,,,
MX1229AA-12,1229AA-Mesquite-rounded-Turq,,Ribbon Scroll Coffee Table,1288.00,,1288.00,,1288.00,,1288.00,,,,,Rounded,,Turquoise,,,
MX1229G,1229G,,Ribbon Scroll Coffee Table,1139.00,,,,1139.00,,,,,,,,,,,,
MX1212FF-24,1212FF-Mesquite-rounded-Citr,,Regal Twist Large Console,1308.00,,,,1308.00,,,,,,,Rounded,,Citrine,,,
MX1229AA-22,1229AA-Mesquite-freeform-Turq,,Ribbon Scroll Coffee Table,1458.00,,1458.00,,1458.00,,1458.00,,,,,Freeform,,Turquoise,,,
MX1404-2,1404-CHOC,,Old West Leather Bench,359.00,,,,359.00,,,,,,,Chocolate,,,,,
