Item Code,Manufacturer Model Number,UPC Code,Product Name,Current Wholesale (Stocking) Price AFTER Discount,New Wholesale (Stocking) Price AFTER Discount,Current Wholesale (Stocking) Price BEFORE Discount,New Wholesale (Stocking) Price BEFORE Discount,Current Drop Ship Price AFTER Discount,New Drop Ship Price AFTER Discount,Current Drop Ship Price BEFORE Discount,New Drop Ship Price BEFORE Discount,Drop Ship Fee (optional),MAP Price (Sale Price),Full Retail Price (MSRP),Option 1 Value,Option 1 Surcharge,Option 2 Value,Option 2 Surcharge,Option 3 Value,Option 3 Surcharge
CC163BOTNGBEARS,163BOATINGBEARS,840558128210,Boating Bears Hooked Wool Pillow,27.54,,30.60,,27.54,,30.60,,,,,,,,,,
CC165MTPATCH,165MTPATCH,,Montana Ski Patch Hooked Wool Pillow,30.60,,,,30.60,,,,,,,,,,,,
CC165UTAHPATCH,165UTAHPATCH,,Utah Patch Hooked Wool Pillow,30.60,,,,30.60,,,,,,,,,,,,
CC800OAKLEAVES,800OAKLEAVES,,Oak Leaves Hooked Wool Rug - 6 x 9,315.00,,,,315.00,,,,,,,,,,,,
CC162COLOPINE,162COLOPINE,,Colorado Pine Hooked Wool Rectangle Pillow,17.10,,,,17.10,,,,,,,,,,,,
CC162FALLLEAVES,162FALLLEAVES,840558128012,Fall Leaves Hooked Wool Pillow,15.39,,17.10,,15.39,,17.10,,,,,,,,,,
CC162WYOMING,162WYOMING,,Wyoming with Rope Hooked Wool Pillow,17.10,,,,17.10,,,,,,,,,,,,
CC165SKI,165SKI,,Ski Country Hooked Wool Pillow,30.60,,,,30.60,,,,,,,,,,,,
CC950RIVERFISH,950RIVERFISH,,River Fish Round Hooked Wool Rug,135.00,,,,135.00,,,,,,,,,,,,
CC966BEARWAGON,966BEARWAGON,840558129118,Woody Wagon Bears Hooked Wool Rug,40.50,,45.00,,40.50,,45.00,,,,,,,,,,
CC966CIGARINDIA,966CIGARINDIAN,,Cigar Store Indians Hooked Wool Rug,45.00,,50.00,,45.00,,50.00,,,,,,,,,,
