itemCode,yahooID,itemName,description,amzbulletpoint1,amzbulletpoint2,amzbulletpoint3,amzbulletpoint4,amzbulletpoint5
2BG23080E,forest-hideaway-plush-carved-rug-2-x-3,Forest Hideaway Plush Carved Rug - 2 x 3,"Trees, leaves and pinecones create a serene look on the printed, plush 100% nylon cut pile rugs in green, brown, tan and rust with carved details to add texture. Latex backing. Measures 1â7Â¾âW x 2â8Â¾âL. ~",,,,,
2PPHSV13,moose-embroidered-valance,Moose Embroidered Valance,"Exclusive - Petite, detailed embroidered moose and pine trees create a charming forest scene on the lined cotton Moose Embroidered Valance inspired by Maine artist Harry Smith.  Measures 58""W x 14""H. ~",,,,,
BS30170437,bs30170437,Bear Stone Finish Single Switch Cover,"Bear icons and tracks are embossed in hand-cast resin with the texture and color of natural stone on the Bear Stone Finish Single Switch Cover.  Metal screws included.  Measures 3Â¼""W x 5""H. ~",,,,,
CARJB1782,alpine-bear-bed-set-king,Alpine Bear Bed Set - King,"A Black Forest Decor Exclusive - Bear and pine tree appliquÃ©s, antique gold rivets and fringe add a rustic touch to the appealing olive green, faded blue and chocolate plaid microsuede Alpine Bear King Bed Set.  Includes 110""W x 96""L comforter, 76""W x 80""L x 15""H bedskirt, two 20""W x 37""L king shams and one 14""W x 26""L accent pillow.  Dry clean. ~",,,,,
DS13318,black-bear-wall-shelf-w-hooks,Black Bear Wall Shelf w/ Hooks,"Friendly black bears enhance your favorite accents on this wood wall shelf withÂ polyresin details and three hooks for hanging. 26 1/2""W x 4 1/2"" x 8""H",,,,,
DS21095,ds21095,Lone Star Fireplace Tool Set (5 pcs),"A Lone Star Western Decor Exclusive - Classic stars accented with scrollwork make the decorative and functional dark brown metal Lone Star Fireplace Tool Set the perfect western touch for your hearth.  Five piece tool set includes stand with shovel, poker, tongs and wire brush.  Dust or water clean as needed; do not oil.  Measures 10""W x 10 1/2""D x 28""H. ~",,,,,
DS21967,stars-and-studs-metal-single-hook,Stars & Studs Metal Single Hook,"Exclusive - Update your bath with dimensional western stars circled by raised studs on this metal hardware in dark golden brown powder coat.  Measures 6Â¼""W x 1Â½""D x 8Â½""H. ~",,,,,
MUMMRCRB,antler-curtain-rod-brackets-set-of-2,Antler Curtain Rod Brackets (Set of 2),"Cast from real antlers, the resin Antler Curtain Rod Brackets are meticulously finished for authenticity.  Set of two.  All hardware included.  Fits curtain rods up to 1Â½"" diameter.  Measure 1Â¼""W x 3Â½""D x 6Â½""H each. ~",,,,,
MUMMRHTH,faux-antler-towel-hook,Faux Antler Towel Hook,"Cast from naturally shed antlers and carefully painted for authenticity, the resin Faux Antler Towel Hook gives your bath a rugged look.  All hardware included.  Measures 12""W x 3""D x 12Â¼""H. ~",,,,,
MW83BFGSSOKC,southwest-expressions-tapestry-standard-sham,Southwest Expressions Tapestry Standard Sham,"Exclusive - Woven with a classic kilim design in a vintage palette of blues, reds and greens, this cotton/poly collection creates an inviting southwest space. Dry clean, machine wash coverlets and sham. Dimensions available online. Measures 20""W x 26""L. ~",,,,,
RH12034,burgundy-taos-table-runner,Burgundy Taos Table Runner,Southwest designs are woven in deep jewel tones on these bold cotton/poly table linens. Machine wash. 13âW x 72âL,,,,,
TICA609,pine-tree-forest-metal-wall-art,Pine Tree Forest Metal Wall Art,"Exclusive - With rich textural detail and 3-D layering, the handcrafted metal Pine Tree Forest Metal Wall Art adds nature-inspired beauty to your room.  Ready to hang.  Size may vary.  Measures approx. 30""W x 2""D x 10Â½""H. ~",,,,,
YG17239,great-outdoors-bear-wood-wall-sign,Great Outdoors Bear Wood Wall Sign,"This distressed wood sign with typography and burlap details adds rustic character to any room. 11 1/2""W x 1/2""D x 18""H",,,,,
WL10092,horseshoe-cowboy-hat-rack,Horseshoe Cowboy Hat Rack,"Exclusive - With a rustic horseshoe and scroll design, this cast iron wall-mount rack adds ranch style to your entryway. Measures 3Â¾""W x 8Â¼""D x 11Â¾""H. ~",,,,,
LMSW926X8,zapotec-rug-3-x-8,Zapotec Rug - 3 x 8,"Accent your hallway with the Zapotec Rug - 3 x 8. This runner features intricate geometrics in shades of midnight blue, ivory, gray and deep salmon for a southwestern addition to your home.
<ul><li>100% New Zealand wool and colorfast Swiss chrome dyes</li>
<li>Hand-knotted</li>
<li> 2'6'W x 8'L</li>
<li>Vacuum regularly without the beater brush; Spot clean with warm soapy water</li>
<li>Midnight blue, ivory, gray and deep salmon</li>
</ul> ~ Ships from the manufacturer. Allow 1 to 2 weeks.",,,,,
VS60000,bear-stepping-stones-set-of-2,Bear Stepping Stones - Set of 2,"A Black Forest Decor Exclusive - Add a whimsical walkway to your cabin with the cast iron Bear Stepping Stones in a rustic brown finish.  Set of two measure 10""W x 8 1/2""D x 1/2""H each. ~",,,,,
