itemCode,yahooID,itemName,description,amzbulletpoint1,amzbulletpoint2,amzbulletpoint3,amzbulletpoint4,amzbulletpoint5
KE13013F,rather-be-fishing-waste-basket,Rather Be Fishing Waste Basket,"Emblems of fishing life and vintage lodge signs turn your bath into a rustic getaway.  Resin bath accessories and 100% cotton ivory towels.  Measures 11""W x 11""D x 10Â¾""H. ~",,,,,
KE3801BI,denali-bear-bath-towel,Denali Bear Bath Towel,"Exclusive - A serene brown bear on a patch of greenery and pine trees is embroidered on these 100% cotton ivory towels.  Bath towel and hand towel have brown trim.  Measures 27""W x 50""L. ~",,,,,
KM07151000013RT,,Max 5 Realtree Sheet Set - Full,"Cotton/poly blend. Machine wash, tumble dry low.  Include fitted sheet, flat sheet and two pillowcases (twin has one) ~",,,,,
PS5453,bear-paw-wilderness-toilet-paper-holder,Bear Paw Wilderness Toilet Paper Holder,"The twisted steel Bear Paw Wilderness Toilet Paper Holder is embellished with a polyresin bear scene in a metallic bear track for abundant rustic style.  Measures 10""W x 3Â¼""D x 6""H. ~",,,,,
RE616,re616,Bear and Twig Outlet Cover,"A Black Forest Decor Exclusive - The poly-resin Bear and Twig Outlet Cover, featuring lounging black bears, adds a dash of whimsy to the rustic home. 9x5x1~",,,,,
RE617,re617,Bear and Twig Single Switch Plate Cover,"A Black Forest Decor Exclusive - The poly-resin Bear and Twig Single Switch Plate Cover, featuring lounging black bears, adds a dash of whimsy to the rustic home. ~",,,,,
RH19025,southwestern-cibola-lined-valance,Southwestern Cibola Lined Valance,"Give any window Santa Fe style with this cotton-poly tapestry valance in shades of terracotta, red and black. Machine wash. 54""W x 15""H",,,,,
VVCL1768,prairie-scroll-table-lamp,Prairie Scroll Table Lamp,Light your homestead in style with this metal scroll lamp in a dark brown finish with laced rawhide shade. UsesÂ one 3-way 100-watt max bulb.Â  Light your homestead in style with this metal scroll lamp in a dark brown finish with laced rawhide shade. UsesÂ one 3-way 100-watt max bulb.,,,,,
VXCC55614BBZ,timberland-flush-mount-ceiling-light,Timberland Flush Mount Ceiling Light,"The Timberland Flush Mount Ceiling Light is perfectly suited to your home or lodge.  This metal ceiling light is the perfect lighting element for your cabin decor and features moose and pine tree silhouettes.  Finished in burnished bronze with an amber flake glass shade and uses three 60-watt max bulbs.  Measures 14""W x 14""D x 7""H. ~ Ships from the manufacturer. Allow 1 week. Cannot express ship or ship to Alaska.",,,,,
WRWD80101,yellowstone-ii-leather-pillow,Yellowstone II Leather Pillow,"Give your bedroom a tribal update with the Yellowstone II Leather Pillow.  Crafted with stately chocolate leather enhanced by fringe and a corner concho, this accent pillow makes a beautiful accent. <ul><li>Leather and poly fill</li> <li>Deerskin Chocolate leather</li> <li>12""W x 18""L</li> <li>Made in the USA</li> </ul> ~ Ships from the manufacturer. Allow 3 to 5 weeks. Cannot express ship.",,,,,
