asin,sku,cost,item_description,vendor,brand, map pricing 
B01GJY34VM,2AEH85194,,Black Forest Decor The Four Seasons: Summer Framed Print,,,1000
B01GJY35X4,2AEH85195,,Black Forest Decor The Four Seasons: Winter Framed Print,,,1000
B075WX7NN4,2AEH85196,,Black Forest Decor Clint Eastwood Framed Print,,,1000
B075WVNT64,2AEH85198,,Black Forest Decor A Fistful of Dollars Framed Movie Poster,,,1000
B01GJY2J86,2AEH85266,,Black Forest Decor Early Fall I Framed Print,,,1000
B01GJY2JTK,2AEH85267,,Black Forest Decor Early Fall II Framed Print,,,1000
B01GJY3EIK,2AEI95136,,Forest Site 43 Framed Print,,,1000
B01GJY4IB2,2AEI95139,,Black Forest Decor Leaves Show I Framed Print,,,1000
B01GJY4OFC,2AEI95140,,Black Forest Decor Leaves Show II Framed Print,,,1000
B01GJY2V66,2AEI95187,,Black Forest Decor Fading to Dusk I Framed Print,,,1000
B01GJY2VWU,2AEI95188,,Black Forest Decor Fading to Dusk II Framed Print,,,1000
B01GJY2120,2AEI95195,,Black Forest Decor Cabin Rules Framed Print,,,1000
B01GJY411Y,2AEI95210,,Black Forest Decor Grizzly at Roaring Creek Framed Print,,,1000
B01GJY19H8,2AEI95213,,Black Forest Decor Alone in The Mist 2 Framed Print,,,1000
B01GJY1BNU,2AEJ10581,,Black Forest Decor Misty Meadow Framed Print,,,1000
B01GJY37CS,2AEJ10648,,Black Forest Decor The Old Lake Framed Print,,,1000
B01GJY3L24,2AEJ10649,,Black Forest Decor Time Stopped 1 Framed Print,,,1000
B01GJY3MEQ,2AEJ10650,,Black Forest Decor Time Stopped 3 Framed Print,,,1000
B075WRT4VF,2AEJ10726,,Black Forest Decor Tribal Moderne I Framed Print,,,1000
B075WSW1MT,2AEJ10727,,Black Forest Decor Tribal Moderne II Framed Print,,,1000
B075WSQ7KK,2AEJ10728,,Black Forest Decor Tribal Moderne III Framed Print,,,1000
B075X2F63X,2AEJ10729,,Black Forest Decor Tribal Moderne IV Framed Print,,,1000
B07BWBX5GK,2AEJ10758,,Black Forest Decor Iron Pattern I Framed Art,,,1000
B07CB4BF7C,2AEJ10759,,Black Forest Decor Iron Pattern II Framed Art,,,1000
B07BWL9V45,2AEJ10760,,Black Forest Decor Iron Pattern III Framed Art,,,1000
B07BW9RL2C,2AEJ10761,,Black Forest Decor Iron Pattern IV Framed Art,,,1000
B07CB4347S,2AEJ10766,,Black Forest Decor Horse Run Framed Art,,,1000
B07BWD729Y,2AEJ10769,,Black Forest Decor Towering Trees I Framed Art,,,1000
B07BWDC432,2AEJ10770,,Black Forest Decor Towering Trees II Framed Art,,,1000
B01GJY1PLI,2AEK11628,,Black Forest Decor Butterscotch Birch Trees I Framed Print,,,1000
B01GJY1Q62,2AEK11629,,Black Forest Decor Butterscotch Birch Trees II Framed Print,,,1000
B01GJY2CUQ,2AEK11630,,Black Forest Decor Crimson Woods I Framed Print,,,1000
B01GJY2DJG,2AEK11631,,Black Forest Decor Crimson Woods II Framed Print,,,1000
B01GJY2WUQ,2AEK11636,,Black Forest Decor Fall Leaves I Framed Print,,,1000
B01GJY2XZK,2AEK11637,,Black Forest Decor Fall Leaves II Framed Print,,,1000
B075WNTG6V,2AEK11683,,Black Forest Decor Spirit Horse Framed Print,,,1000
B075WSDGDM,2AEK11684,,Black Forest Decor Wind Voyager Framed Print,,,1000
B01GJY1K18,2AEK11686,,Black Forest Decor Autumn Springs I Framed Print,,,1000
B01GJY1KPY,2AEK11687,,Black Forest Decor Autumn Springs II Framed Print,,,1000
B01GJY120C,2AEL12650,,Black Forest Decor Midnight I Framed Print,,,1000
B01GJY13CO,2AEL12651,,Black Forest Decor Midnight II Framed Print,,,1000
B01GJY3DZE,2AEL12672,,Black Forest Decor Three Amigos I Framed Print,,,1000
B01GJY3JXA,2AEL12673,,Black Forest Decor Three Amigos II Framed Print,,,1000
B01GJY1HMA,2AEL12712,,Black Forest Decor Autumn Mosaic Framed Print,,,1000
B01GJY1784,2AEL12719,,Black Forest Decor Misty Marsh I Framed Print,,,1000
B01GJY180G,2AEL12720,,Black Forest Decor Misty Marsh II Framed Print,,,1000
B01GJY1OQY,2AEM13586,,Black Forest Decor Blue Moon Framed Print,,,1000
B01GJY3QD8,2AEM13587,,Black Forest Decor Golden Grove Framed Print,,,1000
B07BWFJ5JN,2AEM13621,,Black Forest Decor Geometric Study I Framed Art,,,1000
B07BW9NJMC,2AEM13622,,Black Forest Decor Geometric Study II Framed Art,,,1000
B07BWFN2FK,2AEM13623,,Black Forest Decor Geometric Study III Framed Art,,,1000
B07BW4Z9M8,2AEM13624,,Black Forest Decor Geometric Study IV Framed Art,,,1000
B01GJY2S2I,2AEN14636,,Black Forest Decor Evening Grove Framed Print,,,1000
B01GJY3NI6,2AEN14637,,Black Forest Decor Golden Branches I Framed Print,,,1000
B01GJY3P1G,2AEN14638,,Black Forest Decor Golden Branches II Framed Print,,,1000
B01GJY16U8,2AEP15631,,Black Forest Decor A Walk in The Woods Framed Print,,,1000
B01GJY21I4,2AEP15634,,Black Forest Decor Calm Before The Challenge Framed Print,,,1000
B01GJY1LE4,2AEP15647,,Black Forest Decor New Dscoveries Large Framed Print,,,1000
B01GJY3RSM,2AEP15656,,Black Forest Decor Ullswater Framed Print,,,1000
B01GJY1SY2,2AEP15700,,Black Forest Decor Oak Alley Morning Light Framed Print,,,1000
B01GJY2BNY,2AEP15705,,Black Forest Decor Road Lined with Oaks & Flowers Framed Print,,,1000
B01GJY2OEA,2AEP15708,,Black Forest Decor Stillness at Dusk Framed Print,,,1000
B01GJY2YAO,2AEP15709,,Black Forest Decor Sunlight on The Water Framed Print,,,1000
B01GJY2HOW,2AEP15737,,Black Forest Decor Down to The River Textured Canvas Print,,,1000
B01GJY2LT8,2AEP15738,,Black Forest Decor Earthly Delight Textured Canvas Print,,,1000
B07BW9NBRY,2AEP15758,,Black Forest Decor Windy Day Framed Art,,,1000
B07BW9BVTK,2AEP15770,,Black Forest Decor Whiteout Treescape Framed Art,,,1000
B01GJY1ZN6,2AEQ16793,,Black Forest Decor Overgrown I Framed Print,,,1000
B01GJY20LM,2AEQ16794,,Black Forest Decor Overgrown II Framed Print,,,1000
B075WT2TSR,2AEQ16828,,Black Forest Decor Dust Devils Framed Print,,,1000
B075WNM651,2AEQ16829,,Black Forest Decor Blaze of Glory Framed Print,,,1000
B075WW5J2P,2AEQ16837,,Black Forest Decor Flying Framed Print,,,1000
B075WSDC53,2AEQ16838,,Black Forest Decor Hoofbeats and Heartbeats Framed Print,,,1000
B01GJY3FBQ,2AEQ16842,,Black Forest Decor Fraser River Park Framed Print,,,1000
B01GJY275Q,2AEQ16843,,Black Forest Decor Place of Peace Framed Print,,,1000
B07BVZJL3D,2AEQ16881,,Black Forest Decor Aspen Pathway Framed Art,,,1000
B07BW4P1QK,2AEQ16884,,Black Forest Decor Serene Trees III Framed Art,,,1000
B07BWDB78P,2AEQ16885,,Black Forest Decor Serene Trees IV Framed Art,,,1000
B07BW4P1QN,2AEQ16894,,Black Forest Decor Fall Creek Framed Art,,,1000
B07CB46R9C,2AEQ16895,,Black Forest Decor Misty Dock Framed Art,,,1000
